process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1,1,0,1,0,1,2,546000,15.83,8.675342576,10.64157717,7.724066504,5.92,1.184,372.41
1,0,0,1,0,1,3,48800,1.52,0.61455979,1.426350569,0.689762973,0.04,0.008,65
0,1,1,0,1,0,3,75446,2.89,0.11,0.11,1.066390517,28.05,28.05,52.449
1,0,0,0,0,0,4,4560,1.9,0.133,0.18,0.00130876,3.7,0.74,2.26
0,1,0,1,0,0,3,60000,3,0.12,0.12,0.848069229,14.46,2.89,151.2
1,1,1,1,0,0,3,80000,5.6,0.18,0.18,1.130758972,15.66,3.132,50.533
0,1,0,0,0,1,2,9730.8,0.583,0.0097,0.0097,0.0017,0,0,1.554
0,0,1,0,1,0,3,639352.95,32.132,8.051651945,18.68732467,9.036926053,140,40,551.73
0,1,0,1,0,1,3,39728,1.839,0.500312118,1.16118966,0.561534905,50,50,30.9
1,1,1,1,1,0,3,29094,1.347,0.366393495,0.850373841,0.411228769,17.75,4,107.618
0,0,0,1,0,0,3,19595,0.907,0.246768424,0.572732365,0.276965276,2,0.06,2.4
0,0,0,1,0,1,3,57590,1.3131,0.725256113,1.683269043,0.814005115,21.6,1.584,86.828
0,1,1,0,0,1,3,58375,1.331,0.735141962,1.706213411,0.825100687,19.97,1.7,161.664
1,0,1,0,1,0,3,19048,0.4343,0.239879813,0.556744378,0.269233711,22,0.713,138.5
1,1,0,1,0,0,3,38660,0.8814,0.486862326,1.129973627,0.546439273,7.73,0.734,51.64
0,1,0,1,0,0,3,150000,3.42,1.889015749,4.38427429,0.05,80.6,1.675,433.692
0,1,0,0,0,1,4,10000,7.3,0.026,0.036,0.002870088,21.02757006,1.791513431,2.02
0,0,0,0,0,0,3,27000,5.19,0.081,0.081,0.381631153,0.01,1.941404576,3.8
1,0,0,0,0,0,3,10238,0.58,0.036,0.0362,0.144708879,0.44,0.25,0.834
1,0,0,0,0,0,3,13500,0.238,0.170011417,0.394584686,0.190815576,0.02,0.02,1.247
0,0,1,0,0,0,2,2491,0.75,0.08,0.083,0.035239285,4.391952119,0.204381564,0.7
1,0,1,0,1,0,2,8940,0.137,0.09,0.1,0.126470979,0.032,0.032,76.375
1,0,0,0,1,0,3,23968,2.39,0.0748,0.3667,0.009,329.57,1.723392032,10.329
0,1,0,0,0,1,3,133610,9.92,0.467,2.044,0.053,1088.91,9.607076495,54.75
0,0,0,0,1,0,3,42352,4.41,0.237,0.647,0.016,553.63,3.045272837,8.014
1,1,0,0,0,0,3,51025,1.4,0.115,0.78,0.02,268.87,3.668895129,1.971
0,1,0,1,0,0,2,61090,6.27,0.295,0.934,0.024,687.06,5.012312223,27.311
0,0,0,0,0,1,3,20896,1.5,0.1,0.319,0.008,233.12,1.502503334,0.059
0,0,0,1,0,0,1,59620,1.1625,0.0715,0.0715,1.368,4.187630566,0.294083958,2.118
1,1,0,0,0,0,2,98331,7.06,0.33,0.33,1.391053449,718.32,8.067861732,2.565
0,0,0,1,0,1,2,60547,3.4,0.189,0.189,0.85653673,440.3,4.96776016,8.528
0,1,0,1,0,0,3,30289,2.15,0.101,0.463,0.012,237.24,2.177896415,10.484
0,0,1,0,0,0,4,13831,1.34,0.06,0.211,0.005,141.02,2.477842226,2.226
0,1,0,0,0,0,4,27885,1.34,0.087,0.426,0.011,147.55,4.995635202,2.876
0,0,0,0,0,1,4,40811,2.83,0.134,0.643,0.016,312.48,7.311345462,3.84
1,0,0,0,0,0,3,15020,1.52,0.071,0.22,0.006,167.19,1.079996175,5.71
1,1,1,0,0,0,2,42710,4.271,0.6765,0.6765,0.604203078,25.37,25.37,132.36
1,0,1,0,1,0,2,57408,5.741,0.9579,0.9579,0.812130421,5.24,5.24,74.307
0,1,0,0,0,0,3,86550,34.51,7.39,9.86,4.93,0.003,0.003,0.664
1,0,0,0,0,1,2,208250,100.8,21.6,28.8,14.4,0.012,0.012,11.28
0,0,0,1,0,0,3,4590,0.8078,0.23,0.23,0.115,0.0012,0.0012,0.312
0,0,0,1,0,0,3,79900,24,3.36,3.36,0.24,0.004,0.004,2.538
1,0,0,0,1,0,3,18810,11.74,2.94,2.94,1.47,0.0058,0.0058,0.46
0,0,1,0,0,0,3,28860,1.76,0.33,1.54,0.022,0.0033,0.0033,0.5
0,0,1,1,0,0,3,31200,3.12,0.9036,0.9036,0.440995999,15.69,15.69,22.875
0,1,0,1,0,1,2,63000,6.3,1.5719,1.5719,0.891238443,5.81,5.81,95.7
0,0,1,0,0,1,3,23000,3.9,0.6,0.6,0.325093204,2.78,2.78,97.79
