process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1,1,1,1,1,1,1,144743,4.0206,0.3217,0.3217,0.143036239,0,0,2155.106
1,1,0,1,0,0,1,21646,1.71,0.2,0.2,0.021390758,1.553428971,1.023264525,82.99
0,0,1,0,0,0,1,16918,1.3703,0.1522,0.2283,0.016718509,1.214123225,0.799759274,9.77
1,0,0,0,0,0,1,6240,0.1786,0.0078,0.0357,0.007,0.3448,0.0799,1.95
1,1,1,0,1,1,1,70000,11.222,0.535,0.55,0.069174584,5.023562226,3.309087903,521
1,0,1,1,1,1,1,73372,7.554,0.254,0.3559,0.0453,0.3,3.468491395,579.528
0,1,0,0,0,0,1,120,0.007,0.007,0.0077,0.000118585,0.008611821,0.005672722,2.9
1,1,1,1,1,0,1,48283,1.07,0.0018,0.04,0.006,0.23,0.19,466.56
0,0,0,1,0,0,1,14170,0.2279,0.0228,0.0228,0.014002912,1.016912525,0.669853937,9.35
0,0,0,0,1,0,1,108000,71.1774,19.6324,19.6324,0.1067265,7.750638863,5.105449908,1
1,0,0,0,1,0,2,18548,1.151,0.037,0.0407,0.018329288,1.33110046,0.876813749,20.09
0,1,1,1,1,1,2,67236,4.483,0.2987,1.763,0.003,1.407,0.2165,343.74
1,0,1,0,0,1,2,191750,5.07,0.5589,0.6479,0.189488949,2.46,1.7969,90.48
0,0,1,0,1,0,2,7600,0.155,0.006,0.0066,0.007510383,0.007,0.002,41
1,0,0,1,0,1,2,27195.496,0.2923,0.0326,0.0358,0.026874816,1.32,0.853,96
0,0,1,0,0,0,2,82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,18.442
0,1,0,0,0,0,2,73872,4.5,0.158,0.1738,0.073000926,1.3338,0.8208,39.33
1,1,1,0,1,1,2,143120,6.44,0.1732,0.1732,0.036,10.2710318,6.765666582,947.406
1,1,1,1,1,1,2,201307.5,6.0392,0.4026,0.4026,0.19893375,14.4468679,9.516345902,1101.435
0,1,0,1,0,0,2,48604,13.7363,0.007,0.0077,0,0.7234,0.102,23.64
1,0,1,0,1,0,2,83660,2.0915,0.251,0.2761,0.0033,3.765,0,133.078
1,1,0,0,1,0,2,138875.4,3.652,0.978865479,1.323234721,0.137237828,9.966417337,6.565012946,85
0,1,0,1,0,1,2,62720,2.152,0.0951,0.1625,0.061980427,3.25,2.964942761,137.831
1,0,1,0,1,1,2,187202,18.1489,0.161,0.176,0.0256,3.234,3.234,295.96
1,0,1,1,1,0,2,108788,3.231,0.4352,0.4787,0.012,0.2676,0.0795,332.355
1,0,1,0,1,0,2,170925,7.29,0.807,0.8877,0.02,3.84,0.684,1766.8
1,0,0,0,0,0,2,2812028,225,90.25,99.275,2.778869516,85.48,11.85,1.91
0,1,1,0,1,0,2,39082,3.09,0.04,0.04,0.0166,2.082,0.3123,126
1,0,1,1,0,0,2,54234,4.28,0.54,0.54,0.01,3.892112483,2.563786762,126
1,1,0,1,0,0,2,52082,4.11,0.4,0.4,0.005,0.36,2.462055945,138
0,0,1,0,1,0,2,43171,3.41,0.22,0.22,0,0,0,64.26
1,1,1,0,0,0,2,25734,2.03,0.06,0.06,0.0042,0.43,0.08,174.198
0,1,0,1,0,1,2,372863,29.46,1.02,1.02,0.048,0,0,793.302
0,0,1,0,1,1,2,99245,7.84,0.74,0.74,0.035,7.122334759,4.691577557,147.5
0,0,0,0,1,0,2,3500,0.1,0.007,0.007,0.003458729,0.251178111,0.165454395,30
0,1,0,0,0,0,2,40000,1,0.08,0.08,0.001,2.870606986,1.890907373,26
1,0,0,1,0,0,2,53392,4.22,0.06,0.06,0,0,0,418.169
1,0,1,1,1,0,2,34032,2.69,0.22,0.22,0,0.05,0.05,128.66
1,0,1,0,0,1,2,90154,7.12,0.65,0.65,0.089090934,2.88,1.91,85
1,0,1,0,1,0,2,32589,2.57,0.21,0.21,0.005,0.35,1.54056951,68
0,0,0,1,1,1,2,7131,0.56,0.04,0.04,0,0.02,0.006,139.547
1,0,1,1,0,1,2,83714,6.61,0.64,0.64,0.025,0.196,0.196,886.07
0,1,1,1,1,1,2,108138,8.54,0.76,0.76,0,0.1117,0.0809,547.97
1,0,0,0,0,0,2,118942,9.4,0.55,0.55,0.0289,2.0164,5.62270762,48.5
1,0,1,1,1,1,2,211116,16.68,1.51,1.51,0.03,0,0,1129.29
1,1,1,1,0,1,2,116543,9.21,0.88,0.88,0.137,6,6,583.32
1,1,1,1,0,0,2,70583,5.58,0.09,0.09,0,0.084,0.084,283.02
0,0,1,1,1,1,2,166797,13.18,1.11,1.11,0.039,1.717,0.687,306.84
1,0,1,1,0,1,2,20684,1.63,0.18,0.18,0,0.208,0.029,117.4
1,1,1,1,1,1,2,144322,11.4,1.09,1.09,0.49,26,13.96,617.24
0,0,0,1,1,0,2,122730,9.7,0.79,0.79,0,0,0,69.6
1,1,1,0,0,1,2,49905,3.94,0.11,0.11,0,1.00E-04,1.00E-04,200.45
1,1,1,0,1,1,2,187126,14.78,1.34,1.34,0.06,8.2,2.3,704.78
1,1,1,0,1,0,2,112629,8.9,0.84,0.84,6.00E-04,3,5.324275164,167.71
1,0,1,1,1,1,2,109978,8.69,0.83,0.83,0.108681177,0.77,0.17,852
1,1,0,1,1,1,2,120331,9.51,0.84,0.84,0.118912098,0.44,0.43,415
1,0,1,0,1,0,2,22367,1.77,0.1364,0.1364,0.022103256,0.396,0.096,116
1,0,1,0,0,0,2,49665,3.92,0.43,0.43,0,3.5642174,2.347797867,72.296
1,0,1,1,0,1,2,71972,5.69,0.31,0.31,0.07112333,1.02,0.03,648
1,1,1,1,1,1,2,69100,2.3033,0.3946,0.4341,0.068285196,3.8388,3.266542487,1107.3
1,1,1,0,1,1,2,321448,25.39,2.43,2.43,0.0292,13,4.5,770
0,1,1,0,1,0,2,51100,3.11,0.28,0.28,0.0015,3.667200425,2.415634169,128.84
0,0,0,0,0,0,2,83083,6.56,0.82,0.82,0.082103313,6.15,6.15,0.1
1,0,1,0,1,0,2,50266,3.97,0.4,0.4,9.00E-04,0.177,0.047,130
0,0,1,0,0,0,2,4459,0.032,0.0216,0.0216,0.004406421,0.320000914,0.210788899,6
0,1,0,0,0,1,2,32709,2.58,0.14,0.14,0.032323307,9.00E-04,9.00E-04,11.5
1,0,1,0,0,1,2,59337,2.39,0.12,0.12,0.058637318,0.9,0.3,69.263
0,1,1,1,1,1,2,92498,7.29,0.36,0.36,0,0.43,0.25,373.68
1,1,1,1,0,0,2,59398,4.19,0.41,0.41,0.014,1.12,0.238,712
0,0,0,0,0,0,2,2800,0.0455,0.0045,0.0048,0,0,0,0.01
0,1,1,1,1,1,2,182776,14.0555,1.7638,1.7638,0.180620767,13.11695156,8.640312152,873.04
0,1,0,1,0,1,2,35000,2.758,0.336,0.336,0.034587292,0.35,0.245,134.29
0,0,1,0,0,0,2,7000,0.2464,0.0469,0.1646,0.006917458,0.502356223,0.33090879,44.62
1,1,1,1,1,0,2,343013,30.53,3.12,3.12,0.338968307,9,1,712.798
0,1,0,1,0,0,2,22745,1.8,0.22,0.22,0.022476799,2.05,0.36,57.33
1,0,1,1,1,0,2,4655,0.472,0.023,0.026,0.00460011,0.0062,0.0046,157.92
0,1,0,0,0,0,2,82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,4.85
1,0,0,0,0,0,2,82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,8.959
0,0,0,0,0,0,2,145188,5.3545,0.097,1.2608,6.00E-04,0.9437,0,7.48
0,1,0,1,0,1,2,103596.4,3.1079,3.4705,4.6204,0.0162,1.6834,1.4356,126.66
0,1,0,0,0,0,2,174379.81,5.2314,0.0069,0.4312,0.0013,0,0,5.02
0,0,0,0,1,0,2,76662,3.2294,0.1344,0.5071,0.0082,0.2913,0.092,3.21
0,0,0,0,0,1,2,102000,10.0708,0.3846,2.805,0.0925,2.21,1.088,3.92
1,0,1,0,0,0,2,368500,11.055,0.1489,0.6191,0.0116,0,17.41998418,85.45
1,0,0,1,0,0,2,354037,10.6211,0.1929,1.4277,0.032,1.2391,1.2391,18.61
0,0,0,1,0,1,2,216000,6.48,0.0264,0.8872,0.0097,6.318,0,8.151
1,1,1,1,0,1,2,160000,14.5758,0.9453,0.9453,0.0464,0.8,0.32,1871.27
0,1,1,0,0,1,2,132671,32.2572,1.5667,1.5667,0.131106588,0.6634,0.2653,2670.315
0,0,0,1,0,0,2,13260,0.4557,0.1125,0.1125,0.013103643,0.951606216,0.626835794,7.5
0,0,1,0,1,0,2,103576,4.291,0.479,0.853,0.03,0,0,65.5
1,0,1,0,1,0,2,148830,15.646,1.202,1.202,0.147075047,5.7418,7.035593609,88.7
1,1,0,1,0,0,2,59862,6.869,0.377,1.97,0.0011,4.296006886,2.82983743,91.39
0,1,0,1,0,1,2,216000,47.8994,0.21,0.221,0,4.4906,3.6067,96.595
0,1,0,0,0,0,2,120905,6.9172,0.84,2.07,0.43,1.205,0.967,2
1,0,1,1,1,1,2,136840,6.1304,1.1501,1.2652,0.135226429,0.2736,0.2736,645.593
