process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1,0,1,0,1,1,2,85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,1750
0,1,0,0,1,0,2,27308,3.97,0,0,0.199422082,0.01,0.01,3.97
0,1,0,1,1,0,2,256000,21,0.46,0.5,1.5,507.3844523,459.5194845,380
0,0,1,0,0,0,2,355000,27.32,0.82,1.6,2.45,703.5995335,637.2242852,6
0,1,0,1,0,1,2,218387,34.8,0.91,1.53,1.56,432.8365953,392.0042252,600
0,1,0,0,0,1,2,85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,8
1,1,0,1,0,1,2,125900,29.9,0.19,0.68,1.0072,249.5300881,225.9902465,1200
1,0,0,0,1,0,3,85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,2.65
1,0,1,0,1,1,3,85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,2500
1,1,0,1,0,1,3,85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,1300
0,1,0,0,0,0,3,85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,1.73
1,0,1,0,1,0,3,135652,4.9242,0.0689,2.2654,0.08,4.8,0.53,184.888
0,0,0,1,0,0,3,85556.24,9.718480434,0.512175383,1.516675025,0.624791398,0,0,4.82
1,0,0,0,0,1,3,72000,3.024,0.36,0.36,0.525794269,950,950,6
0,0,1,0,0,0,3,19000,0.95,0.09,0.09,0.138751265,37.65743982,34.10496174,4.2
0,0,0,0,1,0,3,92058,3.89,0.153,0.51,0.04,155,155,8.5
0,0,1,0,0,0,3,240000,9.59,0.285,14.4,1.2,4.24,4.24,0.5
0,0,0,0,0,1,3,11691.43,2.046,0.056,0.056,0.085378985,168,168,8.2
1,0,0,0,1,0,3,4095,0.128,0.02451438,0.072593001,0.029904549,8.116169266,7.350516754,1.81
0,1,0,1,0,1,3,11521.35,0.511,0.068971613,0.204241605,0.084136942,18.53,18.53,18.64
0,0,0,1,0,0,3,1824,0.2,0.002,0.002,0.013320121,1,1,0.66
1,0,0,0,0,1,3,2250,0.78,0.004,0.004,0.016431071,0.151,0.07,2
0,0,1,0,0,0,3,10500,1,0.3,0.3,0.076678331,20.81069043,18.84747886,2
0,0,0,0,0,1,3,20650,1.81,0.123619524,0.366067271,0.150800717,13,4,2.51
0,1,0,0,0,0,3,30000,2.64,0.179592529,0.531816858,0.219080945,14,5.8,2.7
0,0,0,0,1,0,3,6540,0.66,0.039151171,0.115936075,0.047759646,2.24,2.24,1.842
1,0,0,1,0,0,3,10010,1.49,0.25,0.25,0.25,19.83952487,17.96792984,5.96
1,0,0,0,0,0,3,85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,1
0,1,0,0,0,0,3,21000,0.792,0.105,0.105,0.153356662,41.62138085,37.69495771,5
1,0,0,0,0,0,3,25000,1.88,0.0854,0.12,0.182567454,47.2,2.46,7.5
0,0,1,0,0,0,3,27000,4,0.089,0.17,0.197172851,22.2,0.62,6
0,0,0,0,0,1,3,22317.6,3.5,0.01,0.01,0.162978697,44.23282521,40.06004706,1
0,1,0,1,0,0,3,10800,0.14,0.06465331,0.191454069,0.07886914,21.40528158,19.38597825,0.5
1,0,1,1,0,0,3,16200,0.71,0.096979966,0.287181103,0.11830371,32.10792237,29.07896738,180
1,1,0,1,0,1,3,22422.2,3,0.134228653,0.397483465,0.163742559,44.44013932,40.24780385,154
0,0,0,1,0,0,3,10500,0.225,0.062857385,0.1861359,0.076678331,0.01,0.01,0.5
0,1,0,0,0,0,3,1561,0.13,0.009344798,0.027672204,0.011399512,0.001,0.001,0.5
0,0,0,0,0,1,3,5500,2.05,0.032925297,0.097499757,0.04016484,0.001,0.001,0.5
0,0,1,0,0,1,3,143100,23.94,0.856656362,2.536766413,1.045016109,283.619981,256.8642118,45.6
0,1,0,1,0,0,3,73500,3.741,0.108,0.2,0.8,145.674833,131.932352,4
0,0,1,0,0,0,3,106500,37.154,0.0109,0.1,0.852,211.07986,191.1672855,5
1,1,1,0,0,0,3,3572,0.46,0.039,0.04,0.02,7.079598686,6.411732807,30
1,1,0,1,0,0,3,1730,0.03,0.0371,0.041,0.012,3.428808994,3.105346516,20
0,0,0,0,0,0,3,33600,8.871,0.208,0.29,0.19,66.59420936,60.31193234,2
0,1,1,0,1,0,3,1810,0.11,0.0391,0.43,0.012,3.587366635,3.248946355,4
1,0,1,0,1,1,3,954950,31.301,0.8,1.1,6.56,1892.682745,1714.133327,1000
1,0,0,1,0,1,3,290800,39,0.82,1.2,2.142,576.3570263,521.9854144,46
1,1,0,0,1,0,3,143270,31.42,0.1081,0.18,0.9,132.2492308,2.204153846,300
0,0,0,1,0,1,3,97560,20.11,0.19,0.6,0.52,90.05538462,1.500923077,49.35
0,0,0,1,0,0,3,1000,0.18,0.025,0.029,0.007,0.923076923,0.015384615,6
1,0,0,0,1,0,3,31435,8.2,0.343,0.56,0.2514,29.01692308,0.483615385,2
1,0,1,0,1,0,3,1006,0.07,0.024,0.16,0.008,0.928615385,0.015476923,30
1,0,0,0,0,0,3,24731.01,3.559638479,0.2615144,1.736282669,0.340081114,22.82862462,0.380477077,2
0,1,0,0,0,0,3,47076,1.03,0.1001,0.26,0.376,43.45476923,0.724246154,3
