process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1,0,0,1,0,1,3,70000,8,0.272,0.272,0.157440525,25.6631565,16.66952076,19.55
1,0,0,0,0,0,3,176,0.02,0.0035,0.0035,0.00039585,0.03,0,0.565
1,0,1,0,0,0,3,160,0.016,0.0024,0.0024,0.000359864,0.01,0.038101762,3.66
0,1,1,0,0,1,3,3800,3.28,0.09,0.09,0.008546771,0.04,0.037,2.4
1,0,1,0,0,1,3,52000,1.221,0.755,0.755,0.116955819,1.04,12.38307257,19.373
0,0,1,0,0,0,4,700,0.2,0.02,0.02,0.000329913,0.4,0.2,1.86
1,0,0,0,0,1,3,32000,2.76,0.55,0.55,0.0095,0.005,0.004,65.5
0,1,0,0,0,0,3,14840,1.48,0.3,0.3,0.033377391,5.440589178,3.533938401,6.124
0,0,0,0,0,0,4,1185,0.0226,0.0021,0.0021,0.000558496,1.00E-04,1.00E-04,7.14
1,0,1,0,1,0,3,1000,0.1,0.02,0.02,0.00224915,0.366616521,0.238136011,120
0,1,0,1,0,0,3,6000,0.6,0.1,0.1,0.013494902,2.199699129,1.428816065,22.83
1,0,0,0,0,0,3,2610,0.25,0.008,0.008,0.005870282,3.00E-04,0.621534988,8.7
0,1,0,1,0,1,3,4100,0.41,0.061,0.061,0.002,1.503127738,0,421.24
1,0,1,0,1,0,3,15000,1.42,0.07,0.07,0.033737255,0.12,0.12,224
0,0,1,0,0,1,3,223000,27,0.87,0.87,0.50156053,0.11,0.11,3.3
0,0,0,0,1,0,3,2.00E+05,20,0.73,0.73,0.449830072,0.13,0.13,0.8
0,0,1,1,0,0,3,103500,36,0.36,0.36,0.232787062,0.21,0.21,240
1,1,0,0,1,0,3,430000,22.05,0.87,1.7,0.087,157.6451042,102.3984847,450
0,1,0,0,0,0,3,6650,0.25,0.01,0.02,0.001,2.437999868,1.583604472,0.5
1,0,1,0,1,0,2,71700,3,0.23,0.46,0.023,15.00678021,4.279085004,20
1,0,1,1,0,0,3,40000,1.6,0.13,0.4,0.012,0,0,300
0,1,0,1,0,0,3,8979,0.45,0.045,0.135,0.004,1.52,0.2,1.1
0,1,0,1,0,1,3,6000,0.275,0.02,0.06,0.0018,0,0,300
0,0,0,0,0,0,3,1662,0.0831,0.0083,0.0249,8.00E-04,0,0,2.4
0,0,0,0,0,0,3,25113,1.2556,0.1255,0.3766,0.0125,2.78,0.76,24
0,0,1,0,1,0,3,60645.6,3.0322,0.3032,0.9096,0.0303,50,3.12,0.48
0,1,0,0,0,1,3,13034.8,0.6517,0.0651,0.1955,0.0065,24.6422,3.7137,1.92
0,0,0,0,0,0,3,81095,4.0547,0.4547,1.2164,0.0405,52,20,0.6
0,0,0,0,0,0,3,16316,0.8158,0.0815,0.2447,0.0081,9.8,1.78,1.2
1,1,0,0,0,0,3,7357,0.3678,0.0367,0.1103,0.0036,0,0,0.55
0,0,0,1,0,0,3,421,0.021,0.0021,0.0063,2.00E-04,0,0,0.3
1,0,1,0,0,1,3,7832,0.3916,0.0391,0.1174,0.0039,0,0,15
0,1,0,0,0,0,3,5269,0.2634,0.0263,0.079,0.0026,37.3852,3.9082,0.492
0,1,0,1,0,0,3,87822,4.3911,0.4391,1.3173,0.0439,44.8,3.1,12
0,0,0,0,1,0,3,9144,0.4572,0.0457,0.1371,0.0045,0,0,0.48
1,1,0,1,1,1,3,12000,5,0.0422,0.12,0.0036,1.2,0.0024,2208.38
0,0,1,1,0,0,3,10258,0.5129,0.0512,0.1538,0.0051,0.81,0.65,1.5
0,0,0,0,0,1,3,39508.6,1.9754,0.1975,0.5926,0.0197,6.65,2.5,15
0,0,1,0,0,0,3,9000,0.45,0.03,0.135,0.04,0,0,1.2
0,0,1,0,0,0,3,20000,0.79,0.07,0.1,0.001,0,0,247.9
1,0,0,1,0,0,3,17067.3,0.8533,0.0853,0.256,0.0085,0,0,6
0,0,0,0,0,0,3,11549,0.5774,0.0577,0.1732,0.0057,10.6,3.3,0.28
1,0,0,0,0,0,3,1406,0.0703,0.007,0.021,7.00E-04,0.56,0.43,0.21
0,0,1,0,1,0,3,19953.6,0.9976,0.0997,0.2993,0.0099,0,0,2.4
0,1,0,0,0,0,3,21856.5,1.0928,0.1092,0.3278,0.0109,0,0,7.2
0,0,0,0,0,0,3,7966.6,0.3983,0.0398,0.1194,0.0039,0,0,0.48
1,0,1,0,0,0,3,20886,1.0443,0.1044,0.3132,0.0104,76.1675,4.8991,1.21
0,0,0,0,1,0,3,22483,1.1241,0.1124,0.3372,0.0112,3.252,0.1,1.93
1,1,0,1,0,1,3,46400,1.93,0.2,0.518,0.008,0,0,3562
1,0,0,0,1,0,3,13000,0.8,0.0842,0.091,0.006,0,0,21.45
0,0,0,0,0,0,3,13988.6,0.6994,0.0699,0.2098,0.0069,0,0,0.93
1,0,0,0,0,0,3,4946.4,0.2473,0.0247,0.0741,0.0024,0,0,1.4
0,1,0,0,0,0,3,10000,0.34,0.02,0.1091,0.002,0,0,26.5
0,1,0,0,1,0,3,25000,0.54,0.025,0.29,0.0053,1.86,5.953400272,24
0,1,0,1,0,0,3,2850,0.0616,0.0029,0.0331,6.00E-04,1.044857086,0.678687631,0.5
1,0,0,1,0,1,3,1920,0.042,0.0013,0.0145,2.00E-04,0.703903721,0.457221141,271.58
0,1,0,1,0,0,3,3980,0.0872,0.0028,0.0301,5.00E-04,1.459133755,0.947781323,20
0,1,1,0,0,0,3,4800,0.1051,0.0034,0.0363,6.00E-04,1.759759303,1.143052852,5
0,0,1,0,0,0,3,150,0.0033,1.00E-04,0.0011,1.00E-04,0.054992478,0.035720402,0.6
0,0,1,1,0,1,3,17008,0.75,0.02,0.153,0.004,0,0,5250
0,0,1,0,0,0,3,21000,0.3155,0.005,0.0083,0.047232158,0.0271,0.0271,1.97
1,0,0,0,1,0,3,30000,1.8,0.03,0.426,0.012,0,0,25.88
0,1,0,0,0,0,3,1080,0.0648,0.002,0.009,1.00E-04,0.091,0.02,1.35
0,0,0,0,1,0,3,6000,0.4534,0.01,0.078,0.0018,2.9184,2.9184,5
1,1,0,0,1,0,3,1695.4,0.19,0.01,0.0165,5.00E-04,0.06,0.036,160
0,0,0,0,0,1,3,6000,0.312,0.009,0.06,0.0018,0.0012,0.0012,0.6
1,0,0,0,0,0,3,15000,0.71,0.03,0.195,0.0045,4.5,4,8
0,0,0,0,1,0,3,600,0.02,0.0012,0.0032,2.00E-04,0.0013,8.00E-04,1.7
0,0,1,0,0,0,3,4500,0.225,0.02,0.03,9.00E-04,0.017,0.017,4.5
0,1,0,1,0,0,3,6500,0.32,0.013,0.052,0.0013,0.02,0.02,9.502
0,0,0,0,1,0,3,9500,0.55,0.019,0.0768,0.002,9.5,4.7,7.4
0,0,0,0,0,0,3,600,0.03,0.0012,0.0025,2.00E-04,0.0016,0.0016,0.35
0,0,1,0,1,0,3,7331,0.31,0.013,0.082,0.002,0,0,65.98
1,0,1,0,0,0,3,550,0.0176,0.0014,0.0036,3.00E-04,0.0028,0.0011,0.254
0,1,0,0,1,0,3,12936,0.66,0.026,0.116,0.003,0,0,60
0,1,0,0,0,0,3,320,0.0192,6.00E-04,0.003,1.00E-04,0.001,0.001,1.84
0,0,0,1,1,0,3,10100,0.35,0.024,0.09,0.002,0,0,278.56
1,1,0,1,1,0,3,17640,1.08,0.04,0.159,0.004,0,0,4000
0,1,1,1,1,1,2,27440,2.74,0.078,0.25,0.007,3,2,4070
0,0,1,0,0,0,3,5700,0.2359,0.0114,0.0313,0.0011,0.0023,0.0023,3.02
1,1,1,1,1,0,3,10780,0.35,0.025,0.097,0.003,0,0,4212
0,1,1,1,1,1,3,13586,0.45,0.027,0.122,0.003,0,0,3820
1,0,0,1,0,0,3,20000,1.02,0.039,0.18,0.0048,0,0,10
1,0,1,1,1,1,3,5880,0.39,0.014,0.053,0.0014,0,0,1300
1,1,1,0,0,1,3,216825,13,1.08,1.95,0.02,0,0,12000
0,0,1,1,0,0,3,33000,1.683,0.0891,0.429,0.01,1.5,0.8,128.87
1,1,1,0,1,0,2,9000,0.495,0.018,0.079,0.002,0,0,1000
0,1,0,1,1,1,3,1000,0.051,0.0024,0.009,2.00E-04,0.366616521,0.238136011,6153
1,0,1,1,1,0,2,1102064,55.1,5.51,11.79,0.224,0,0,1250
1,0,1,0,0,1,3,3600.2,0.18,0.001,0.033,8.00E-04,0.061,0.041,123.1
0,0,0,0,0,0,3,2328.51,0.187,0.02,0.02,0.005237169,16.1318,16.1318,0.986
0,1,1,1,1,0,2,26300,0.7364,0.06,0.158,0.024092701,5.504579072,1.569594639,927.3
0,1,0,0,1,0,3,245,0.01,5.00E-04,5.00E-04,0.000551042,0.089821048,0.058343323,0.34
0,1,0,0,0,0,3,285,0.01,0.001,0.001,0.000641008,0.104485709,0.067868763,0.36
0,0,1,0,0,0,3,12000,0.95,0.053877399,0.131532086,0.026989804,3.81,3.81,54
0,0,1,0,0,1,3,27500,2.2,0.001,0.001,0.061851635,2.18,2.18,20
0,0,0,1,0,0,3,73400,2.73,0.32955009,0.804537924,0.165087636,26.90965267,17.4791832,70
1,1,0,0,1,0,3,13750,1.1,0.06173452,0.150713848,0.030925817,5.04097717,3.27437015,50.6
0,0,0,1,0,0,4,32500,2.6,0.185022981,0.257964504,0.015317389,8.97,8.97,44.1
1,0,0,0,0,1,3,25000,2,0.112244581,0.274025178,0.056228759,9.165413036,5.953400272,357.7
0,0,1,0,0,0,3,28276,2,0.126953111,0.309933438,0.063596976,10.36644876,6.733533844,5.2
0,1,0,0,0,0,3,10000,0.45,0.044897832,0.109610071,0.022491504,3.666165214,2.381360109,49.8
1,0,0,0,0,0,3,1150,0.046,0.005163251,0.012605158,0.002586523,0.421609,0.273856413,58.2
0,0,0,1,0,0,3,10350,1.23,0.05,0.05,0.023278706,1.08,1.08,15.7
1,0,1,0,0,0,3,6200,0.31,0,0,0.013944732,3.8,3.8,26.1
1,0,1,0,0,0,3,8400,0.35,0.01,0.01,0.018892863,0.004,0.004,65.15
0,0,0,0,0,0,3,40000,2,0.02,0.02,0.089966014,2.56,2.56,35.37
1,0,1,0,1,0,3,2208,0.32,0.01,0.01,0.004966124,0.89,0.89,23.9
1,0,0,0,0,0,3,11120,0.88,0.06,0.06,0.025010552,1.23,1.23,36.9
0,1,0,1,0,0,3,23284,2.44,0.12,0.12,0.052369217,2.328,2.328,14.6
0,1,1,0,0,0,3,44430,6.42,0,0,0.09992975,16.28877205,10.58038296,26.5
0,0,1,0,0,1,3,50000,2.5,0.25,0.25,0.112457518,6.56,6.56,5
0,0,0,1,1,0,3,7510,0.92,0.03,0.03,0.016891119,0.757,0.757,103
0,1,0,0,1,0,3,27000,0.27,0.01,0.01,0.06072706,2.42,2.42,88.84
1,1,0,0,1,0,3,45000,2.28,0.05,0.05,0.101211766,0.003,0.002,14.82
