"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"16","1","0","1","0","0","0","2",15000,0.75,0.045,0.05,0.004,12.54843176,11.37199179,0.548
"57","0","0","0","0","1","0","3",1200,0.06,0.002,0.002,0.000726727,0.984,0.156,1.36
"173","1","0","0","0","0","0","3",2700,0.122,0.0054,0.0065,7e-04,0.005,0.005,0.519
"145","0","1","0","0","0","0","3",83925,3.7766,0.1679,0.2014,0.021,0,0,2.131
"82","1","1","0","0","0","0","3",24190.96,1.131205872,0.094495889,0.150128399,0.011623013,2.650115148,2.791319904,2.5
"21","1","0","0","0","0","0","3",37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,0.1
"186","0","0","1","0","0","0","4",2292,0,0.004725565,0.024451016,0,0,0,0.05
"18","1","0","0","0","0","0","2",1e+05,5,0.5,0.5,0.03,83.6562117,75.81327858,0.72
"180","0","0","0","0","0","0","4",8000,0.22,0.01,0.01,0.002286356,0.014814815,0.014814815,0.3
"161","1","0","0","0","0","0","3",28000,1.4,0.056,0.064,0.008,0.051851852,0.051851852,0.038
"123","0","0","0","0","0","0","3",79200,3.564,0.1584,0.1901,0.0198,0,0,2.099
"19","1","0","1","0","0","0","2",75000,3.75,0.22,0.22,0.22,62.74215878,56.85995893,1.6
"184","0","0","1","0","0","0","4",4500,0.245,0.018,0.045,0,7.8,0.4,1.96
"159","0","0","1","0","0","0","3",75000,3.5,0.15,0.15,0.02,0.138888889,0.138888889,1.129
"30","0","1","0","0","0","0","3",37123.7,0,0.176821588,0.451655133,0.022482315,0,0,1.33
"110","0","0","1","0","1","0","3",6300,0.2835,0.0126,0.0151,0.0016,0.690163823,0.726937476,1.272
"73","0","0","0","0","0","0","3",24190.96,0,0.094495889,0.150128399,0.011623013,0,0,0.22
"115","0","0","1","0","0","0","3",5000,0.2,0.09,0.09,0.0015,0.547749066,0.576934505,1
"153","0","0","0","0","0","0","3",38250,1.7213,0.0765,0.0918,0.0096,0,0,1.041
"157","0","1","0","0","0","0","3",76500,3.4425,0.153,0.1836,0.0191,0.141666667,0.141666667,2.143
"108","1","0","0","1","0","1","3",9900,0.4455,0.0198,0.0238,0.0025,1.08454315,1.142330319,1.988
"168","0","0","0","0","0","0","3",2400,0.12,0.0048,0.0058,6e-04,0.004444444,0.004444444,0.511
"5","0","0","0","1","0","0","2",3680,0.54,0.017527979,0.044771693,0.002228628,1.64,1.64,0.8
"24","1","1","0","0","0","0","3",7400,0.25,0.023,0.023,0.00448148,1.1,1.1,1.495
"114","1","0","0","0","1","0","3",9900,0.4455,0.0198,0.0238,0.0025,1.08454315,1.142330319,2
"105","1","1","1","1","0","0","3",45900,2.3,0.092,0.1104,0.0115,5.028336424,5.296258752,1.09
"53","1","0","0","0","0","0","3",55441,3.02,0.22,0.22,0.033575371,11.09,11.09,2.4
"17","1","0","0","0","1","0","2",70000,3.5,0.35,0.35,0.04239238,58.55934819,53.069295,1.083
"121","0","0","1","0","0","0","3",15000,0.75,0.03,0.041,0.0038,0,0,0.913
"116","1","1","1","0","0","0","3",66000,3.3,0.33,0.396,0.2,7.230287668,7.61553546,2.13
"140","1","1","0","1","0","0","3",4500,0.2025,0.009,0.0108,0.0011,0,0,0.917
"182","0","0","0","0","1","0","4",5400,0.18,0.009,0.1,0.003,0.01,0.01,0.016
"185","0","0","1","0","0","1","4",1000,0.48,0.002061765,0.010667983,0,0.118,0.118,0.8
"51","0","0","0","0","1","1","3",1566,0.061,0.003,0.0341,0.000948378,1.2,0,1.13
"124","0","1","0","0","0","0","3",60000,3.7,0.0578,0.0578,0.018873312,0,0,0.57
"83","1","0","0","0","0","0","3",14683,0.769,0.1463,0.245,0.00705473,0.001,0.001,0.86
"120","0","0","0","1","0","1","3",9900,0.445,0.0198,0.0238,0.0025,1.08454315,1.142330319,0.899
"189","1","0","0","0","0","0","4",2292,0,0.004725565,0.024451016,0,0,0,0.01
"97","0","0","0","0","0","0","3",4950,0.22,0.009,0.011,0.0012,0.542271575,0.571165159,0.997
"179","0","0","0","0","1","0","3",72000,3.24,0.144,0.1728,0.018,0.133333333,0.133333333,0.917
"163","0","0","0","0","1","1","3",9000,0.405,0.018,0.0216,0.0023,0.016666667,0.016666667,1.812
"75","0","0","0","0","0","0","3",24190.96,0,0.094495889,0.150128399,0.011623013,0,0,0.96
"165","0","0","0","0","0","0","3",40000,1.6,0.0893,0.0893,0.01,0.074074074,0.074074074,0.06
"99","1","0","0","0","1","0","3",85000,4.25,0.22,0.26,0.02,9.311734118,9.807886577,1.136
"150","0","0","0","1","0","0","3",5400,0.243,0.0108,0.013,0.0014,0,0,1.096
"96","0","0","1","0","1","0","3",4950,0.22,0.009,0.011,0.0012,0.542271575,0.571165159,1.003
"36","0","0","0","0","1","0","3",25968,1.56,0.15,0.15,0.015726362,2.26,2.04,0.08
"23","0","0","1","0","0","0","3",6000,0.18,0.012,0.09,0.003,0.1508,0.1206,0.54
"174","0","0","0","1","0","0","3",80000,4,0.4,0.5,0.03,0.148148148,0.148148148,0.322
"128","0","0","0","1","0","0","3",5400,0.243,0.011,0.0132,0.0013,0,0,1.072
"158","0","0","0","1","0","0","3",4950,0.2228,0.0099,0.0119,0.0012,0.009166667,0.009166667,1.016
"166","0","0","0","1","0","0","3",70000,3.5,0.35,0.45,0.01,0.12962963,0.12962963,1.59
"28","1","0","1","0","0","0","3",37123.7,0,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,1.2
"175","0","0","1","0","0","1","3",10000,0.45,0.02,0.02,0.002,0.018518519,0.018518519,2.017
"142","0","0","0","0","0","0","3",25547.3,1.28,0.051,0.0612,0.0064,0,0,1.817
"103","1","0","0","0","1","0","3",13500,0.6075,0.027,0.0324,0.0034,1.478922478,1.557723162,2.727
"131","0","0","1","0","0","0","3",3150,0.142,0.0063,0.0076,8e-04,0,0,0.664
"50","0","0","1","0","0","0","3",9650,0.375,0.019,0.21,0.005844092,3,0,2.74
"92","1","0","0","0","0","0","3",10800,0.486,0.0216,0.0259,0.0027,1.183137982,1.24617853,2.18
"177","0","1","0","0","1","0","3",40000,0.738,0.005,0.005,0.01,0.074074074,0.074074074,1.363
"155","0","1","1","0","0","1","3",75600,3.402,0.1512,0.1814,0.0189,0,0,1.681
