"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"51","0","0","1","0","0","0","3",8882.08,0.51,0.111855927,0.259609833,0.125543646,8.88,0.29,0.67
"67","1","0","0","0","0","0","2",12613.4,1.39,0.200413125,0.245836025,0.178437254,12.61,0.416,0.35
"73","0","0","0","1","0","0","4",4500,0.71,0.044,0.091,0.00129154,4.37,0.806181044,1.325
"4","1","0","0","0","0","0","4",4560,1.9,0.133,0.18,0.00130876,3.7,0.74,2.26
"34","0","1","0","0","0","0","4",27885,1.34,0.087,0.426,0.011,147.55,4.995635202,2.876
"59","1","0","0","0","0","0","3",7448.34,0.68,0.09380021,0.21770377,0.105278466,7.45,0.245,0.13
"28","0","0","0","0","0","1","3",20896,1.5,0.1,0.319,0.008,233.12,1.502503334,0.059
"7","0","1","0","0","0","1","2",9730.8,0.583,0.0097,0.0097,0.0017,0,0,1.554
"58","0","0","0","0","1","0","3",3888.53,0.41,0.048969963,0.113655881,0.054962377,3.89,0.128,0.25
"104","0","1","0","0","0","0","4",1050,0.1462,0.0016,0.0016,0.000301359,0.3375,0.3375,0.05
"110","0","0","0","0","1","0","3",80,0.0078,5e-04,0.0012,5e-04,0.113599925,0.00575231,1.2
"105","0","0","1","0","0","0","4",2000,0.3532,0.0015,0.0015,0.000574018,1.0872,1.0872,1.8
"92","0","1","0","0","0","0","3",16000,0.7068,0.1235,0.2058,0.226151794,0.79,0.014,36.6
"44","0","0","1","0","0","0","3",28860,1.76,0.33,1.54,0.022,0.0033,0.0033,0.5
"55","0","0","0","0","1","0","3",4177.96,0.42,0.052614882,0.122115484,0.059053322,4.18,0.300411506,0.07
"66","0","0","1","0","0","0","3",6141.44,0.37,0.077341846,0.17950505,0.086806105,6.14,0.202,0.24
"50","1","0","0","0","0","0","2",75445.438,3.8322,1.198745459,1.470436722,1.067299598,71.9374,2.49,0.22
"36","1","0","0","0","0","0","3",15020,1.52,0.071,0.22,0.006,167.19,1.079996175,5.71
"79","1","0","0","0","0","1","3",6000,0.1398,0.0066,0.0066,0.0038,8.519994338,0.431423239,11.46
"18","0","0","0","0","0","0","3",27000,5.19,0.081,0.081,0.381631153,0.01,1.941404576,3.8
"83","0","0","1","0","1","0","3",1746.75,0.16,0.01,0.01,0.024689415,0.005,0,0.324
"17","0","1","0","0","0","1","4",10000,7.3,0.026,0.036,0.002870088,21.02757006,1.791513431,2.02
"56","0","0","0","1","0","0","3",10979.55,0.74,0.138270286,0.320915725,0.155190308,10.98,0.36,0.28
"61","0","0","0","0","0","1","3",5525.95,0.4,0.069590711,0.161515203,0.078106469,5.52,0.18,0.05
"65","1","0","0","0","0","0","2",31950.66,2.86,0.507661028,0.622720538,0.451994547,31.94,1.054,1.25
"19","1","0","0","0","0","0","3",10238,0.58,0.036,0.0362,0.144708879,0.44,0.25,0.834
"78","0","1","0","0","0","0","3",2000,0.0534,0.0021,0.0021,8e-04,2.839998113,0.143807746,0.68
"88","0","1","0","1","0","0","3",1200,0.082,0.002,0.007,0.016961385,0.73,0.086284648,16.24
"108","0","1","0","0","1","0","2",6375,1.3,0.101291775,0.124249184,0.090184842,1.28,1.28,0.04
"97","1","0","0","0","0","1","3",31200,1.1606,0.2028,0.338,0.440995999,3.12,0.75,27
"33","0","0","1","0","0","0","4",13831,1.34,0.06,0.211,0.005,141.02,2.477842226,2.226
"68","0","0","0","0","1","0","2",8790.97,1.08,0.139678894,0.171336604,0.124362705,8.79,0.29,0.38
"60","0","0","1","0","0","0","3",8850.82,0.7,0.111462256,0.25869615,0.125101802,8.85,0.29,0.08
"113","0","0","0","0","1","0","3",40,0.0035,1e-04,8e-04,1e-04,0.056799962,0.002876155,0.92
"112","1","0","0","0","0","0","3",32,0.0018,1e-04,0.001,3e-04,0.04543997,0.002300924,0.13
"62","1","0","0","0","0","0","3",7216.08,0.63,0.090875258,0.21091516,0.10199559,7.21,0.238,0.15
"89","1","0","1","0","0","1","3",20000,2.9,0.251868767,0.584569905,0.282689743,8.82,1.438077463,13.075
"30","1","1","0","0","0","0","2",98331,7.06,0.33,0.33,1.391053449,718.32,8.067861732,2.565
