"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"903","1","0","1","0","1","0","4",20000,1.6,0.2,0.22,0,0.002,0.002,12
"94","0","1","0","0","0","0","2",120905,6.9172,0.84,2.07,0.43,1.205,0.967,2
"819","0","0","1","0","1","0","4",20443,1.62,0.07,0.07,0.01,1.660842199,0.61154432,27.78
"4","1","0","0","0","0","0","1",6240,0.1786,0.0078,0.0357,0.007,0.3448,0.0799,1.95
"350","1","0","0","0","0","0","3",1120,0.0337,0.0045,0.0045,0.00121583,0.035847449,0.008924332,2
"16","0","0","1","0","0","0","2",82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,18.442
"107","1","0","0","0","0","0","2",19511,1.71,0.048,0.24,0.0033,0.195,0.078,1.4
"834","1","0","0","1","0","0","4",17320.3096,3.150392885,0.205496401,0.252753807,0.094831865,1.407146754,0.518130262,10.37
"342","1","0","0","0","1","0","3",3390,0.1356,0.0169,0.0186,3e-04,0.108502546,0.027012041,25.24
"885","0","0","0","0","0","1","4",1160,0.075,0.0038,0.004,0.0084,0.094241401,0.034700945,5
"926","1","0","0","0","0","1","4",1340,0.11,0.007,0.007,0.012855391,0.438285693,0.266387485,0.194
"171","0","0","0","0","0","0","2",163037,16.146,0.49,0.49,0.161114523,11.70037878,7.707196636,6.7
"804","0","1","0","0","0","0","4",1400,0.042,0.0038,0.0042,0.2156,0.113739621,0.04188045,5.43
"271","1","0","0","1","0","0","3",20203,1.6,0.05,0.05,0,0,0,59.75
"627","0","1","0","1","0","0","3",45000,3.85,0.22,0.891,0.289074869,3.09,0.09,48.3
"579","0","1","0","0","0","0","3",28000,2.2288,0.0517,0.0568,0,0.6729,0.2255,59.239
"535","0","1","0","0","0","0","3",18195,1.41,0.12,0.24,0.004,0.74,0.07,33
"368","0","1","0","0","0","0","3",8100,0.422,0.0317,0.0349,0.008793058,0.0324,0.0324,25
"887","1","0","0","0","0","0","4",998,0.071,0.006,0.009,0.0011,0.081080101,0.029854778,2
"465","0","1","0","0","0","0","3",41809.58695,2.685226166,0.237770614,0.33756199,0.045386929,1.33818485,0.33314522,2.86
"485","1","0","1","1","0","0","3",9900,0.0913,0.0105,0.0287,0.3465,0.3465,0.0396,20
"488","0","0","0","0","0","1","3",22.4,3e-04,0,1e-04,0,3e-04,1e-04,0.93
"518","1","0","0","1","0","0","3",8586,0.384,0.037,0.05,0.005,0.021,0.015,13.974
"129","0","1","0","0","0","0","2",44000,3.82,0.22,2.73,0.022,0.376,0.376,9.85
"268","1","0","1","0","0","1","3",36000,0.96,0.075,0.0825,0.0355755,2.583546288,1.701816636,71.96
"708","0","0","0","1","0","0","3",44427,3.179,0.5331,0.6975,0.285393982,8.509793052,5.52807847,5
"558","0","0","1","0","0","0","3",9400,0.82,0.08,0.104,0.01020429,0.300862518,0.074900646,15
"348","0","0","0","1","0","1","3",39828,3.15,0.28,0.28,0.043235792,1.274760889,0.31735563,21.5
"224","1","0","0","0","0","0","3",4895,0.975,0.034502486,0.046640614,0.00483728,0.035,0.035,15.24
"128","0","0","1","0","1","0","2",102000,11.1,0.5,4.1,0.035,3.5,3.5,62.06
"79","0","0","0","0","0","0","2",145188,5.3545,0.097,1.2608,6e-04,0.9437,0,7.48
"692","0","0","0","0","0","1","3",7500,0.54,0.06,0.06,0.048179145,1.43659144,0.933229534,16.16
"352","1","0","0","0","0","0","3",560,0.0168,0.005,0.0055,0.000607915,0.017923724,0.004462166,3
"746","1","0","0","0","0","0","3",29813,0.0034,0.0034,0.0037,0.191515313,5.710546745,3.709649615,3.5
