"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"64","0","1","0","0","0","0","3",1670.5,0.07,0.04,1.3,0.0133,1.542,0.0257,2
"108","0","0","1","0","0","0","3",840,0.0222,0.006,0.006,0.007343778,2.243733195,2.19943294,1.8
"115","0","1","0","1","0","0","4",26822.5,2.295422109,0.18702018,0.881223515,0.23449819,0,0,0.5
"37","0","1","0","0","0","0","3",1561,0.13,0.009344798,0.027672204,0.011399512,0.001,0.001,0.5
"129","0","1","0","0","1","0","4",1840,0.89,0.01,0.02,0.045872928,0.358587572,0.358587572,2.88
"73","1","0","0","0","0","0","3",6500,1.2,0.181,0.21,0.052,6,0.1,1
"36","0","0","0","1","0","0","3",10500,0.225,0.062857385,0.1861359,0.076678331,0.01,0.01,0.5
"32","0","0","0","0","0","1","3",22317.6,3.5,0.01,0.01,0.162978697,44.23282521,40.06004706,1
"4","0","0","1","0","0","0","2",355000,27.32,0.82,1.6,2.45,703.5995335,637.2242852,6
"101","0","1","0","0","0","0","3",4000,1.24,0.12,0.13,0,0.015931074,0.005201983,6.84
"111","1","0","0","0","0","0","4",217500,10.5,0.312,13.05,1.0875,4,4,8
"88","0","1","0","0","0","0","3",4900,2.44,0.02,0.03,0,0.019515565,0.006372429,7.75
"11","0","1","0","0","0","0","3",85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,1.73
"62","0","0","0","0","0","0","3",13650,3.7,0.0091,0.12,0.187703907,12.6,0.21,3
"121","0","0","1","0","0","0","4",1200,0.036,0.0024,0.0155,0.044,0.12,0.06,1.5
"6","0","1","0","0","0","1","2",85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,8
"17","0","0","1","0","0","0","3",240000,9.59,0.285,14.4,1.2,4.24,4.24,0.5
"8","1","0","0","0","1","0","3",85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,2.65
"119","0","1","0","0","0","0","4",26822.5,0,0,0.881223515,0.23449819,0,0,2
"78","0","1","0","0","0","0","3",4500,0.17,0.1,0.21,0.036,4.153846154,0.069230769,2
"95","0","0","0","0","0","1","3",6700,2.19,0.2,0.22,0,0.026684548,0.008713322,9.14
"109","0","0","1","0","1","0","3",150,0.024,0.0021,0.0021,0.001311389,0.400666642,0.392755882,0.38
"2","0","1","0","0","1","0","2",27308,3.97,0,0,0.199422082,0.01,0.01,3.97
"92","0","1","0","0","0","0","3",4900,2.44,0.02,0.03,0,0.019515565,0.006372429,7.9
"85","0","0","0","1","0","0","3",7500,2.48,0.22,0.3,0,0.029870763,0.009753719,6.47
"40","0","1","0","1","0","0","3",73500,3.741,0.108,0.2,0.8,145.674833,131.932352,4
"124","0","0","1","0","0","0","4",87400,10.15,0.82,0.82,0.764102593,22,22,3
"56","0","0","0","0","0","0","3",39500,12.41,0.325,0.52,3.16,36.46153846,0.607692308,6
"19","1","0","0","0","1","0","3",4095,0.128,0.02451438,0.072593001,0.029904549,8.116169266,7.350516754,1.81
"72","1","0","0","0","0","0","3",1325,0.09,0.03,0.26,0.0106,1.223076923,0.020384615,3
"31","0","0","1","0","0","0","3",27000,4,0.089,0.17,0.197172851,22.2,0.62,6
"114","0","0","0","1","0","0","4",26822.5,0,0.18702018,0.881223515,0.23449819,0,0,0.5
"120","0","0","0","0","1","0","4",853,0.052,0.011,0.113,0.007457431,0.818,0.514,2
"112","0","1","0","0","0","0","4",60000,9,0.27,0.9,0.065,31,31,3
"90","1","0","0","0","0","0","3",4130,1.26,0.12,0.14,0,0.016448834,0.005371048,5.75
"65","0","0","0","0","1","0","3",841.5,0.06,0.02,0.09,0.0673,0.776769231,0.012946154,1
"16","0","0","0","0","1","0","3",92058,3.89,0.153,0.51,0.04,155,155,8.5
"38","0","0","0","0","0","1","3",5500,2.05,0.032925297,0.097499757,0.04016484,0.001,0.001,0.5
"77","0","1","0","0","0","0","3",25790,6.9,0.2341,0.65,0.206,23.80615385,0.396769231,6
"123","1","0","0","0","0","0","4",1080,0.0324,0.0021,0.0139,5e-04,0.108,0.05,3
"45","0","1","1","0","1","0","3",1810,0.11,0.0391,0.43,0.012,3.587366635,3.248946355,4
"44","0","0","0","0","0","0","3",33600,8.871,0.208,0.29,0.19,66.59420936,60.31193234,2
"126","0","0","0","0","1","0","4",10600,1.52,0.265,0.265,0.265,1.42,1.42,1.055
"14","1","0","0","0","0","1","3",72000,3.024,0.36,0.36,0.525794269,950,950,6
"53","1","0","0","0","0","0","3",24731.01,3.559638479,0.2615144,1.736282669,0.340081114,22.82862462,0.380477077,2
"24","0","0","0","0","0","1","3",20650,1.81,0.123619524,0.366067271,0.150800717,13,4,2.51
"21","0","0","0","1","0","0","3",1824,0.2,0.002,0.002,0.013320121,1,1,0.66
"15","0","0","1","0","0","0","3",19000,0.95,0.09,0.09,0.138751265,37.65743982,34.10496174,4.2
"128","1","0","0","0","1","0","4",21473,10.5124,0.314079848,0.6,0.535342058,6,6,10.56
"55","0","1","0","1","0","0","3",11732,1.61,0.1549,0.32,0.0938,10.82953846,0.180492308,4
"93","1","0","1","0","0","1","3",6350,3.11,0.02,0.03,0,0.02529058,0.008258148,10.05
"18","0","0","0","0","0","1","3",11691.43,2.046,0.056,0.056,0.085378985,168,168,8.2
"1","0","0","0","1","1","1","3",12262.7649583113,4.43097854869066,0.0314374853268038,0.0420841566147562,0.00241732765584211,-2.20878468752728,2.87544505073767,41.1748669719448
"25","1","0","1","1","0","0","3",7993.86527413327,2.50340146852421,0.241113902752327,0.27424483384982,0.00812595634696961,7.38029471788248,3.29933640609324,87.1325654908952
