process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,0,0,0,1,0,3,6000,0.4534,0.01,0.078,0.0018,2.9184,2.9184,5
0,1,0,0,0,0,3,25000,0.575,0.0068,0.059,0.0298,0.05,0.05,6
0,0,1,0,0,0,3,150000,15,0.75,1.2,0.337372554,54.99247822,35.72040163,8.3
0,1,0,0,0,0,3,1320,0.1056,0.0198,0.0264,0.0013,0.0013,0.0013,4.815
0,0,1,0,0,0,3,80000,15.91,0.35918266,0.876880571,0.179932029,37,37,5
1,0,0,0,1,0,3,115596,10.359,1.8585,4.862,0.062,1.26,1.066,26
1,0,0,0,0,0,3,11000,1,0.049387616,0.120571078,0.024740654,3.54,3.54,3.61
1,0,0,0,0,0,3,8200,0.254,0.002,0.055,0.001,0.115,0.074,3
1,0,0,1,0,1,3,9996,0.29,0.0035,0.031,0.0074,0.2149,0.035,18
0,0,0,0,0,0,3,8000,0.36,0.05,0.05,0.017993203,0.56,1.905088087,2
0,0,0,1,0,0,3,16000,0.8,0.12,0.12,0.035986406,3.88,3.88,0.25
0,1,1,0,0,0,4,9000,1.38,0.051237133,0.071436324,0.004241738,1.730053091,1.140192098,11.5
0,0,0,1,0,0,3,3090,0.1,0,0,0,0.01,0.001,1.2
1,0,0,0,1,0,3,30000,1.8,0.03,0.426,0.012,0,0,25.88
0,1,0,0,0,1,3,12000,0.3624,9.00E-04,2.365,1.1925,0.0528,0.041,20
1,0,0,0,0,0,3,6975,0.253,0.002,0.022,0.0052,0.1116,0.042,4.13
0,0,0,0,1,0,3,9500,0.55,0.019,0.0768,0.002,9.5,4.7,7.4
0,0,0,0,0,0,3,1662,0.0831,0.0083,0.0249,8.00E-04,0,0,2.4
1,0,0,0,0,1,3,30000,1.5,0.24,0.35,0.067474511,10.99849564,7.144080326,50
0,1,1,0,0,1,3,1.00E+05,5,0.08,0.237,0.1192,0.592,0.096,15.65
0,1,0,0,1,0,3,33870,1.65,0.115,0.115,0.015,2.6,2,14.1
0,0,1,0,0,0,3,8200,7.68,0.036816223,0.089880259,0.018443033,4.07,1.28,7.4
0,0,1,0,1,0,3,90500,2.715,0.406325384,0.991971146,0.203548107,33.17879519,21.55130898,55.6
0,0,1,1,0,0,3,10258,0.5129,0.0512,0.1538,0.0051,0.81,0.65,1.5
0,1,0,0,0,0,3,11900,0.5758,0.0074,0.01,0.001,0.071,0.0479,5.95
0,1,0,0,0,0,3,1.00E+05,5,0.013,0.685,0.0856,2.736,2.292,8
0,0,1,0,0,1,3,223000,27,0.87,0.87,0.50156053,0.11,0.11,3.3
0,0,0,0,1,0,3,10800,1.01,0.3,0.3,0.024290824,8,8,1.2
0,0,0,0,1,0,3,70000,0.58,0.047,0.1,0.157440525,6.2,2,6.24
0,0,1,1,0,1,3,47000,2.35,0.052,0.62,0.04,1.35,0.765,33.98
0,0,0,1,0,0,2,18000,1.8,0.1,0.11,0.016489301,2.3,1.074247281,2.85
1,0,0,0,1,0,3,63000,3.15,0.032,0.421,0.0081,0.567,0.189,12.5
0,1,0,0,0,0,3,1080,0.0648,0.002,0.009,1.00E-04,0.091,0.02,1.35
0,1,0,0,1,0,3,189540,9.48,0.850993516,2.077549293,0.426303959,3.8,3.8,1.374
0,1,0,0,0,0,3,10000,0.48,0.044897832,0.109610071,0.022491504,0.01,0.01,0.09
0,1,0,1,0,0,3,1340,0.11,0.005,0.005,0.003013861,0.0088,0.008,6.9
1,1,0,0,0,1,3,58000,0.46,0.11,0.32,0.130450721,0.16,0.05,62.72
1,1,0,0,0,1,3,25000,0.729,0.012,0.0199,0.0298,0.125,0.068,17
0,0,1,0,0,1,3,15450,1,0,0,0,0.02,0.01,1.5
0,0,0,0,0,0,3,30200,1.178,0.018,0.018,0.014,11.07181895,7.191707528,5
0,0,1,0,1,0,2,34000,1.7,0.27,0.34,0.031146458,4.1,3.2,61
0,0,0,0,1,0,3,24000,3.4,0.6,0.6,0.053979609,0.2399,0.162,1.599
