metal heat treatment,metal surface processing,circuit board treatment,equipment maintenance,exhaust gas treatment,wastewater treatment,Code,Size,Sector,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1,1,1,0,1,1,66450739,2,3360,1200,0.06,0.006,0.015,0.000726727,1.00387454,0.909759343,825.85
1,0,0,1,0,0,61438547,2,3360,41000,1.98,0.15,0.17,0.024829823,39.1,36.38,1.03
1,1,0,1,0,0,77681740,2,3360,44285,1.35,0.17,0.22,0.026819237,37.04715335,33.57391042,55.315
1,1,0,1,0,0,78036136,2,3360,76150,4.11,0.57,0.67,0.046116854,63.70420521,57.73181164,49.6
0,0,0,1,0,0,16988493,2,3360,3680,0.54,0.017527979,0.044771693,0.002228628,1.64,1.64,0.8
0,1,1,0,0,0,79618716,2,3360,5315,0.86,0.025315546,0.064663464,0.003218793,0.49,0.49,5.6
0,1,0,1,1,0,61342793,2,3360,6000,0.23,0.04,0.06,0.003633633,0,0,47
1,1,0,0,0,0,5900728,2,3360,21600,0.952,0.043,0.26,0.013081077,0.15,16.37566817,7.21
0,1,1,0,0,1,56903240,2,3360,37123.7,1.83873963,0.176821588,0.451655133,0.022482315,0,28.1446941,75.732
1,1,0,1,0,0,77844008,2,3360,75978,4.9345,0.7437,1.8593,0.04601269,1.6321,0.3779,221.24
0,0,0,0,1,0,78847655,2,3360,250,0.02,0.0025,0.05,0.000151401,0.209140529,0.189533196,2
1,0,0,1,0,1,56406930,2,3360,7344,0.29,0.26,0.26,0.004447566,8.82,4.62,81.475
1,1,0,0,1,1,77631637,2,3360,136220,16.31,0.86,2.59,0.0045,17.7,1.2,3540.158
1,0,0,0,1,0,34913535,2,3360,90000,4.05,0.18,0.216,0.0225,75.29059053,68.23195072,3.442
1,0,0,1,0,1,68482557,2,3360,90000,4.05,0.18,0.216,0.0225,75.29059053,68.23195072,6.521
1,0,1,0,0,0,69060920,2,3360,15000,0.75,0.045,0.05,0.004,12.54843176,11.37199179,0.548
1,0,0,0,1,0,74567586,2,3360,70000,3.5,0.35,0.35,0.04239238,58.55934819,53.069295,1.083
1,0,0,0,0,0,75448295,2,3360,1.00E+05,5,0.5,0.5,0.03,83.6562117,75.81327858,0.72
1,0,1,0,0,0,78079274,2,3360,75000,3.75,0.22,0.22,0.22,62.74215878,56.85995893,1.6
1,0,0,0,0,0,16314162,3,3360,37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,0.625
1,0,0,0,0,0,16336271,3,3360,37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,0.1
1,0,0,0,0,0,16336561,3,3360,37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,0.08
0,0,1,0,0,0,26439075,3,3360,6000,0.18,0.012,0.09,0.003,0.1508,0.1206,0.54
1,1,0,0,0,0,16341323,3,3360,7400,0.25,0.023,0.023,0.00448148,1.1,1.1,1.495
1,1,0,1,0,1,76971322,3,3360,37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,77.85
1,0,0,0,0,0,86340841,3,3360,40000,2.62,0.12,0.12,0.024224217,21.5,21.5,2
0,0,0,1,0,0,16350348,3,3360,37123.7,0,0.176821588,0.451655133,0.022482315,0,0,0.14
1,0,1,0,0,0,86313158,3,3360,37123.7,0,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,1.2
0,1,0,0,0,1,76777236,3,3360,37123.7,0,0.176821588,0.451655133,0.022482315,0,0,2.5
0,1,0,0,0,0,16345210,3,3360,37123.7,0,0.176821588,0.451655133,0.022482315,0,0,1.33
1,0,0,1,0,0,16345222,3,3360,37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,4.153
1,0,0,0,0,0,86347048,3,3360,37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,5.22
1,0,1,0,0,0,96483657,3,3360,37123.7,0,0,0,0.022482315,31.05628106,28.1446941,1.13
1,1,0,0,1,1,16386066,3,3360,126650,7.6,0.76,0.76,0.076699928,67.5,15,137.193
1,1,0,0,0,1,71808661,3,3360,42500,2.55,0.26,0.26,0.025738231,19.5,8.5,32
0,0,0,0,1,0,74037475,3,3360,25968,1.56,0.15,0.15,0.015726362,2.26,2.04,0.08
0,0,0,0,0,0,76029074,3,3360,18365,1.1,0.11,0.11,0.011121944,0.73,0.73,5.5
0,1,1,0,0,0,74037394,3,3360,5300,0.268,0.0258,0.041,0.0022,0.001,9.00E-04,8.249
1,1,0,1,0,0,74395831,3,3360,225527,11.2763,1.1276,3.3828,0.2255,8.2,3.1,202.723
1,1,1,0,0,0,75040376,3,3360,78671,3.9335,0.3934,1.1802,0.0786,5.5,1.92,37.058
1,1,0,0,1,0,75693942,3,3360,23770,1.19,0.185,0.289,0.014395241,2.622,0.435,123.993
1,1,1,0,0,0,77682771,3,3360,168000,8.4,0.84,2.05,0.101741713,47.96,11.59,63.935
1,1,1,0,1,0,70446774,3,3360,35000,1.5,0.0837,0.0837,0.02119619,25,5,250.57
1,0,0,1,0,0,71802472,3,3360,26207,0.288,0.023,0.023,0.015871102,21.9237834,19.86838592,5.22
1,1,0,0,1,1,72782773,3,3360,37800,1.6216,0.0903,0.0903,0.022891885,26,5.67,557.22
1,1,0,0,1,0,74038254,3,3360,44000,1.8876,0.1052,0.1052,0.026646639,35,12,13.38
0,0,0,0,0,1,86395394,3,3360,20000,0.858,0.0478,0.0478,0.012112109,0.6,0.08,6
1,1,0,1,0,0,74039554,3,3360,110900,3.34,0.42,0.503,0.0047,34.78,8.97,479
1,0,0,1,0,0,75042813,3,3360,3600,0.16,0.008,0.008,0.001,0.007,0.007,0.01
0,0,1,0,0,0,16436266,3,3360,9650,0.375,0.019,0.21,0.005844092,3,0,2.74
0,0,0,0,1,1,16436522,3,3360,1566,0.061,0.003,0.0341,0.000948378,1.2,0,1.13
1,1,1,0,0,1,75540461,3,3360,37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,200
1,0,0,0,0,0,75747460,3,3360,55441,3.02,0.22,0.22,0.033575371,11.09,11.09,2.4
1,0,1,0,0,0,75916263,3,3360,1510,0.08,0.006,0.006,0.000914464,39.1,39.1,2.2
0,1,1,0,1,0,16515545,3,3360,8248.1,0.45,0.033,0.04,0.004995094,0.034,0.019,14.079
0,0,0,1,0,1,67221350,3,3360,330,0.018,0.0013,0.002,0.00019985,0.045,0.023,1.075
0,0,0,0,1,0,16534559,3,3360,1200,0.06,0.002,0.002,0.000726727,0.984,0.156,1.36
1,0,1,0,0,0,16535541,3,3360,4000,0.38,0.019052151,0.048664883,0.002422422,12.5,11.4,2.068
0,0,1,0,1,0,72427857,3,3360,5100,0.28,0.017,0.017,0.003088588,0.12,0.12,1.97
0,1,0,0,0,1,73816743,3,3360,7905,0.47,0.037651814,0.096173976,0.004787311,0.383,0.115,8.921
1,1,0,0,0,0,75089980,3,3360,25000,1.38,0.085,0.085,0.015140136,3.75,18.95331964,5.24
1,0,0,1,0,0,16946344,3,3360,15400,0.764,0.073350783,0.187359801,0.009326324,8.29,8.29,1.46
0,1,1,0,0,0,66930996,3,3360,28000,1.386842088,0.13336506,0.340654184,0.016956952,0.23,0.022,4.1
1,1,1,0,0,1,16983245,3,3360,7600,0.58,0.036199088,0.092463278,0.004602601,1.27,1.27,11.912
0,0,0,0,0,0,16983808,3,3360,37123.7,0,0.176821588,0.451655133,0.022482315,0,0,0.2
1,0,0,0,0,0,16984508,3,3360,3297,0.47,0.015703736,0.04011203,0.001996681,0.78,0.78,0.95
0,0,0,1,0,0,16988372,3,3360,37123.7,0,0.176821588,0.451655133,0.022482315,0,0,0.07
0,1,0,0,0,0,26556044,3,3360,37123.7,0,0.176821588,0.451655133,0.022482315,0,0,0.2
0,0,0,0,0,0,73471117,3,3360,300,0.01,0.003,0.005,0,0.3,0.3,0.7
1,0,0,0,0,0,76369693,3,3360,24190.96,0,0.094495889,0.150128399,0.011623013,0,0,0.26
0,0,0,0,0,0,76579212,3,3360,24190.96,0,0.094495889,0.150128399,0.011623013,0,0,0.12
0,1,0,0,0,0,77744763,3,3360,24190.96,0,0.094495889,0.150128399,0.011623013,0,0,0.46
0,0,0,0,0,0,77842743,3,3360,24190.96,0,0.094495889,0.150128399,0.011623013,0,0,0.22
1,0,0,1,0,0,78347775,3,3360,24190.96,0,0.094495889,0.150128399,0.011623013,0,0,0.25
0,0,0,0,0,0,79035097,3,3360,24190.96,0,0.094495889,0.150128399,0.011623013,0,0,0.96
0,0,0,1,0,0,79036041,3,3360,24190.96,0,0.094495889,0.150128399,0.011623013,0,0,0.2
0,1,0,0,0,0,86984230,3,3360,1216,0.18,0.004749998,0.007546461,0.000584251,0.59,0.59,0.2
1,1,0,0,0,0,74335597,3,3360,24190.96,0,0,0.150128399,0.011623013,2.650115148,2.791319904,2.98
0,0,0,0,1,0,56773700,3,3360,1363,0.08,0.03,0.03,0.00065488,0,0.157272346,7.601
0,1,0,1,0,0,74986605,3,3360,24190.96,1.131205872,0.094495889,0.150128399,0.011623013,2.650115148,2.791319904,0.907
1,1,0,0,0,0,55524331,3,3360,24190.96,1.131205872,0.094495889,0.150128399,0.011623013,2.650115148,2.791319904,4.5
1,1,0,0,0,0,78075396,3,3360,24190.96,1.131205872,0.094495889,0.150128399,0.011623013,2.650115148,2.791319904,2.5
1,0,0,0,0,0,26712395,3,3360,14683,0.769,0.1463,0.245,0.00705473,0.001,0.001,0.86
1,1,0,0,0,1,61376054,3,3360,12000,0.42,0.036,0.084,0.0048,0.2713,0.0543,114.16
0,0,1,0,0,0,72073805,3,3360,3236,0.191,0.0294,0.047,0.001554799,0.354503195,0.373392011,1
0,0,0,0,0,0,78925862,3,3360,17517.15,1.005,0.0834,0.2085,0.008416452,0.3437,0.1085,0.583
0,0,0,1,0,0,75749605,3,3360,7416,0.36,0.0383,0.065,3.00E-04,0.046,0.03,3.1
1,0,0,0,0,0,5624449,3,3360,119600,39.4,0.99,4.99,0.625,13.10215765,13.80027335,5.6
1,1,0,1,0,0,68949029,3,3360,280000,13.1,0.56,2,0.134531398,30.67394768,32.30833225,65.698
0,0,1,0,0,1,78928210,3,3360,3700,0.1665,0.014453118,0.022962093,0.001777736,0.405334309,0.426931533,3.8
1,0,1,0,1,0,79246084,3,3360,1640,0.057,0.006406247,0.010177793,0.00078797,0.179661694,0.189234517,10.1
1,0,0,0,0,0,5794543,3,3360,10800,0.486,0.0216,0.0259,0.0027,1.183137982,1.24617853,2.18
0,0,0,0,0,0,7133074,3,3360,4950,0.2228,0.0099,0.0119,0.0012,0.542271575,0.571165159,1.1
1,0,0,1,0,0,32847640,3,3360,9900,0.4455,0.0198,0.0238,0.0025,1.08454315,1.142330319,2.01
1,0,0,1,0,0,32849919,3,3360,2400,0.12,0.0058,0.007,6.00E-04,0.262919552,0.276928562,0.551
0,0,1,0,1,0,33448558,3,3360,4950,0.22,0.009,0.011,0.0012,0.542271575,0.571165159,1.003
0,0,0,0,0,0,55090896,3,3360,4950,0.22,0.009,0.011,0.0012,0.542271575,0.571165159,0.997
1,0,0,0,0,0,55093899,3,3360,18000,0.81,0.036,0.043,0.0045,1.971896637,2.076964216,3.636
1,0,0,0,1,0,55338086,3,3360,85000,4.25,0.22,0.26,0.02,9.311734118,9.807886577,1.136
0,0,1,0,0,0,55437230,3,3360,4950,0.2228,0.0099,0.0119,0.0012,0.542271575,0.571165159,1.017
0,1,1,0,0,0,55438098,3,3360,10629,0.5315,0.0213,0.0256,0.0027,1.164404964,1.22644737,0.681
1,0,0,0,0,0,55521042,3,3360,30000,1.5,0.06,0.072,0.0075,3.286494395,3.461607027,0.545
1,0,0,0,1,0,55521619,3,3360,13500,0.6075,0.027,0.0324,0.0034,1.478922478,1.557723162,2.727
0,1,0,0,0,0,55521713,3,3360,3375,0.1519,0.0068,0.0081,8.00E-04,0.369730619,0.389430791,0.683
1,1,1,1,0,0,55890085,3,3360,45900,2.3,0.092,0.1104,0.0115,5.028336424,5.296258752,1.09
0,0,0,0,0,0,55992745,3,3360,5000,0.22,0.01,0.01,0.002,0.547749066,0.576934505,1.022
0,0,0,1,0,0,56520469,3,3360,4500,0.2025,0.009,0.0108,0.0011,0.492974159,0.519241054,0.91
1,0,0,1,0,1,56901700,3,3360,9900,0.4455,0.0198,0.0238,0.0025,1.08454315,1.142330319,1.988
1,0,0,0,0,0,57046034,3,3360,80000,4,0.16,0.16,0.02,8.763985052,9.230952073,2.013
0,0,1,0,1,0,57286723,3,3360,6300,0.2835,0.0126,0.0151,0.0016,0.690163823,0.726937476,1.272
1,0,1,0,0,0,57286846,3,3360,90900,4.09,0.1818,0.2182,0.0227,9.958078015,10.48866929,2.103
1,0,0,0,0,0,57289982,3,3360,9000,0.405,0.018,0.022,0.0022,0.985948318,1.038482108,1.81
1,0,0,0,0,0,57390649,3,3360,9900,0.4455,0.0198,0.0238,0.0025,1.08454315,1.142330319,2.001
1,0,0,0,1,0,57391775,3,3360,9900,0.4455,0.0198,0.0238,0.0025,1.08454315,1.142330319,2
0,0,1,0,0,0,57549889,3,3360,5000,0.2,0.09,0.09,0.0015,0.547749066,0.576934505,1
1,1,1,0,0,0,57778009,3,3360,66000,3.3,0.33,0.396,0.2,7.230287668,7.61553546,2.13
1,0,0,0,0,0,58042201,3,3360,9000,0.405,0.018,0.0216,0.0023,0.985948318,1.038482108,1.182
1,0,0,1,0,0,58044251,3,3360,107300,5.365,0.2146,0.2575,0.0268,11.75469495,12.38101447,2.811
0,0,0,0,0,0,58044451,3,3360,2400,0.12,0.0058,0.007,6.00E-04,0.262919552,0.276928562,0.456
0,0,0,1,0,1,58452663,3,3360,9900,0.445,0.0198,0.0238,0.0025,1.08454315,1.142330319,0.899
0,0,1,0,0,0,58719452,3,3360,15000,0.75,0.03,0.041,0.0038,0,0,0.913
0,0,0,0,0,0,59780848,3,3360,4500,0.2025,0.009,0.0108,0.0011,0,0,0.901
0,0,0,0,0,0,66352377,3,3360,79200,3.564,0.1584,0.1901,0.0198,0,0,2.099
0,1,0,0,0,0,66353295,3,3360,60000,3.7,0.0578,0.0578,0.018873312,0,0,0.57
0,0,0,0,0,0,66353437,3,3360,17000,0.8,0.01,0.01,0.005347438,0,0,1.09
0,0,0,1,0,0,66442884,3,3360,5000,0.25,0.025,0.026,0.001572776,0,0,0.983
1,0,0,1,0,0,66671432,3,3360,5000,0.25,0.01,0.01,0.0015,0,0,0.937
0,0,0,1,0,0,66672470,3,3360,5400,0.243,0.011,0.0132,0.0013,0,0,1.072
0,0,0,1,0,1,66673486,3,3360,4950,0.2228,0.0099,0.0119,0.0012,0,0,0.964
0,0,0,0,0,1,66805082,3,3360,72000,3.24,0.144,0.173,0.018,0,0,4.9
0,0,1,0,0,0,66932336,3,3360,3150,0.142,0.0063,0.0076,8.00E-04,0,0,0.664
0,0,1,0,0,0,66934873,3,3360,66150,2.9768,0.1323,0.1588,0.0165,0,0,2.544
0,1,0,0,0,0,67050057,3,3360,2700,0.1215,0.0054,0.0065,7.00E-04,0,0,0.533
0,0,0,0,0,1,67051915,3,3360,73125,3.29,0.1463,0.1755,0.0183,0,0,1.136
1,0,0,0,0,0,67221379,3,3360,8100,0.3645,0.0162,0.0194,0.002,0,0,0.535
0,0,0,0,0,0,67223942,3,3360,5400,0.243,0.0108,0.013,0.0013,0,0,1.009
0,1,0,0,0,0,67681192,3,3360,29000,1.45,0.058,0.07,7.00E-04,0,0,0.528
0,0,1,0,0,0,67684512,3,3360,38700,1.74,0.077,0.092,0.0096,0,0,0.53
0,0,0,0,1,0,67922445,3,3360,2700,0.1215,0.0054,0.0065,7.00E-04,0,0,0.571
1,1,0,1,0,0,68172847,3,3360,4500,0.2025,0.009,0.0108,0.0011,0,0,0.917
0,0,0,1,0,0,68483846,3,3360,4500,0.2025,0.009,0.0108,0.0011,0,0,0.977
0,0,0,0,0,0,68484091,3,3360,25547.3,1.28,0.051,0.0612,0.0064,0,0,1.817
0,0,0,0,0,1,68484833,3,3360,4950,0.22,0.009,0.011,0.0012,0,0,1.986
1,0,0,1,0,0,68827139,3,3360,2700,0.1215,0.0054,0.0065,7.00E-04,0,0,0.537
0,1,0,0,0,0,68949249,3,3360,83925,3.7766,0.1679,0.2014,0.021,0,0,2.131
0,0,0,0,0,0,69064849,3,3360,12000,0.6,0.036,0.041,0.0015,0,0,0.967
1,0,0,0,0,1,69200643,3,3360,15000,0.75,0.3,0.32,0.04,0,0,0.568
0,0,0,1,0,0,69200654,3,3360,36450,1.6403,0.0729,0.0875,0.0091,0,0,0.592
0,0,1,0,0,0,69202390,3,3360,74700,3.36,0.15,0.18,0.018,0,0,0.552
0,0,0,1,0,0,69203083,3,3360,5400,0.243,0.0108,0.013,0.0014,0,0,1.096
0,1,0,1,0,0,69312665,3,3360,70875,3.19,0.142,0.17,0.018,0,0,0.721
0,0,0,0,0,0,69313418,3,3360,36450,1.64,0.073,0.087,0.009,0,0,0.611
0,0,0,0,0,0,69541852,3,3360,38250,1.7213,0.0765,0.0918,0.0096,0,0,1.041
0,0,0,0,0,0,69806698,3,3360,70000,3.5,0.2248,0.2248,0.02,0,0,1.146
0,1,1,0,0,1,69807323,3,3360,75600,3.402,0.1512,0.1814,0.0189,0,0,1.681
0,1,1,0,0,0,69966508,3,3360,8100,0.3645,0.0162,0.0194,0.002,0,0,1.636
0,1,0,0,0,0,69967687,3,3360,76500,3.4425,0.153,0.1836,0.0191,0.141666667,0.141666667,2.143
0,0,0,1,0,0,69968714,3,3360,4950,0.2228,0.0099,0.0119,0.0012,0.009166667,0.009166667,1.016
0,0,1,0,0,0,72499052,3,3360,75000,3.5,0.15,0.15,0.02,0.138888889,0.138888889,1.129
0,0,0,0,0,0,74096231,3,3360,2700,0.1215,0.0054,0.0065,7.00E-04,0.005,0.005,0.508
1,0,0,0,0,0,74450504,3,3360,28000,1.4,0.056,0.064,0.008,0.051851852,0.051851852,0.038
0,0,0,0,0,1,74565758,3,3360,3375,0.152,0.0067,0.0081,8.00E-04,0.00625,0.00625,0.614
0,0,0,0,1,1,74783716,3,3360,9000,0.405,0.018,0.0216,0.0023,0.016666667,0.016666667,1.812
0,0,0,0,0,0,74897167,3,3360,40950,1.8428,0.0819,0.0983,0.0102,0.075833333,0.075833333,1.145
0,0,0,0,0,0,74899241,3,3360,40000,1.6,0.0893,0.0893,0.01,0.074074074,0.074074074,0.06
0,0,0,1,0,0,74989724,3,3360,70000,3.5,0.35,0.45,0.01,0.12962963,0.12962963,1.59
0,0,1,0,0,0,75266079,3,3360,2700,0.1215,0.0054,0.0065,7.00E-04,0.005,0.005,0.536
0,0,0,0,0,0,75828726,3,3360,2400,0.12,0.0048,0.0058,6.00E-04,0.004444444,0.004444444,0.511
0,1,0,0,0,0,76480429,3,3360,69300,3.465,0.3465,0.4158,0.019805561,0.128333333,0.128333333,1.483
0,1,0,1,0,0,77205920,3,3360,9900,0.4455,0.0198,0.0238,0.0025,0.018333333,0.018333333,2.131
0,0,0,0,0,0,77972653,3,3360,9000,0.405,0.018,0.0216,0.0023,0.016666667,0.016666667,1.816
0,0,0,0,0,0,78503870,3,3360,70000,3.5,0.21,0.22,0.02,0.12962963,0.12962963,1.074
1,0,0,0,0,0,78504393,3,3360,2700,0.122,0.0054,0.0065,7.00E-04,0.005,0.005,0.519
0,0,0,1,0,0,78610617,3,3360,80000,4,0.4,0.5,0.03,0.148148148,0.148148148,0.322
0,0,1,0,0,1,78613012,3,3360,10000,0.45,0.02,0.02,0.002,0.018518519,0.018518519,2.017
0,0,0,0,1,0,78719851,3,3360,3000,0.15,0.006,0.0072,7.00E-04,0.005555556,0.005555556,0.5
0,1,0,0,1,0,79730966,3,3360,40000,0.738,0.005,0.005,0.01,0.074074074,0.074074074,1.363
0,0,0,0,1,0,86310257,3,3360,5000,0.22,0.01,0.01,0.002,0.009259259,0.009259259,1.008
0,0,0,0,1,0,92037006,3,3360,72000,3.24,0.144,0.1728,0.018,0.133333333,0.133333333,0.917
0,0,0,0,0,0,16402271,4,3360,8000,0.22,0.01,0.01,0.002286356,0.014814815,0.014814815,0.3
0,1,0,1,0,1,76673977,4,3360,185000,3.68,0.23,0.24,0.11,0.342592593,0.342592593,13.43
0,0,0,0,1,0,77350770,4,3360,5400,0.18,0.009,0.1,0.003,0.01,0.01,0.016
0,0,0,0,0,0,76001591,4,3360,3860,1.082,0.0077,0.0842,0,1.231,0,3.69
0,0,1,0,0,0,16514728,4,3360,4500,0.245,0.018,0.045,0,7.8,0.4,1.96
0,0,1,0,0,1,74781342,4,3360,1000,0.48,0.002061765,0.010667983,0,0.118,0.118,0.8
0,0,1,0,0,0,16988493,4,3360,2292,0,0.004725565,0.024451016,0,0,0,0.05
0,0,0,0,0,0,3706G002,4,3360,2292,0,0.004725565,0.024451016,0,0,0,0.2
0,0,0,0,1,0,74986669,4,3360,2100,0.024,4.00E-04,4.00E-04,0,0.759585838,0.072411111,7.287
1,0,0,0,0,0,16648881,4,3360,2292,0,0.004725565,0.024451016,0,0,0,0.01
0,0,1,0,0,0,57048551,4,3360,2292,0.270516213,0.004725565,0.024451016,0,0.829033686,0.079031556,4
