process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,1,0,0,1,1,3,42949,1.2159,0.4767,0.6356,0.128197653,0.601,0.258,100.29
1,1,1,1,0,1,2,46700,1.3221,0.5184,0.6912,0.099799439,9.153151454,0.093407046,256
0,1,0,1,1,1,3,21600,0.79,0.035,0.24,0.064473429,2.693566689,1.76004325,7
0,1,1,1,0,1,3,1110.6,0.041,0.0018,0.012,0.003315009,0.138494221,0.090495557,166.5
0,1,1,0,0,0,3,29270.5,1.07,0.048,0.33,0.087368958,2.7,1.52,605.72
0,1,0,1,0,1,3,45333.2,1.66,0.07,0.51,0.135314206,5.653148029,3.693907067,3085.74
1,1,1,1,1,1,3,21600,0.79,0.035,0.24,0.064473429,2.693566689,1.76004325,0.3
0,1,0,1,0,0,3,74520,2.73,0.12,0.84,0.1,9.292805077,6.072149211,747.991
0,1,0,0,0,1,2,50706,1.86,0.082,0.57,0.108360393,9.93832329,0.101419651,19.3
0,0,0,0,0,1,3,150000,3.645,0.6,0.6,0.447732145,3.15,0.9,138
0,1,0,0,1,0,3,30000,1.209,0.267,0.816,0.089546429,0.757,0.0689,180
0,0,0,0,0,1,3,47000,1.8941,0.4183,1.2784,0.140289405,8.836,0.094,360
0,1,0,0,1,0,3,130,0.0032,5.00E-04,0.0023,0.000388035,0.016211281,0.010592853,1.98
0,1,0,1,1,1,4,15636,0.491,0.11,0.227,0.007856832,2.792140329,0.105748076,25
0,1,0,1,1,0,4,2200,0.069,0.015,0.032,0.001105464,0.392856787,0.014878854,1
0,1,1,1,0,1,3,108000,3.823,0.2527,0.2527,0.322367144,1.84,8.800216248,36
0,0,0,0,0,0,4,7070,0.222,0.05,0.103,0.005,1.262498857,0.047815228,0.5
0,1,1,0,1,1,3,274890,6.68,1.1,4.921,0.192,32.6775,3.5736,870
0,1,0,1,0,1,3,144782,5.835,1.289,3.93,0.432157036,16.7947,0.2895,322
1,0,0,0,0,1,3,18450,0.58,0.13,0.268,0.055071054,2.30075488,1.503370276,1.2
1,1,0,0,1,0,3,17883,0.461,0.03,0.22,0.053378626,7.99,0.0358,60
0,0,0,0,1,0,3,113769,2.765,0.455,0.455,0.079,11.17,1.023,295.15
0,0,0,1,1,0,2,139179,3.382,0.557,2.491,0.097,67.223,0.2784,227.8
0,0,1,0,1,1,3,91000,2.21,0.364,0.364,0.271624168,10.56,0.182,156.04
0,0,1,0,1,0,3,10300,0.25,0.041,0.184,0.030744274,0.5871,0.0206,163.44
0,1,0,0,0,0,3,82950,3.3429,0.7383,2.2562,0.247595876,23.226,0.1659,450
0,0,0,0,1,0,3,800,0.03,0.0017,0.0017,0.002387905,0.099761729,0.065186787,10
