process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,1,1,0,1,1,1,12529,1.25,1.25,3.75,0.061698639,2.520271479,0.706057615,37.96
1,0,1,1,0,0,1,47500,2.82,0.63,1.71,0.233912152,38,7.1,83
0,1,1,1,0,0,2,21000,0.9125,0.0193,0.2642,0.007,5.00E-04,3.00E-04,300
1,1,0,0,1,1,2,64099,2.7854,0.0588,0.8066,0.0213,57,12,300.62
1,0,1,0,1,1,2,35000,1.5209,0.0321,0.4404,0.0117,7.040426353,1.972385389,51.36
1,0,0,1,0,0,2,44800,1.95,0.4112,0.5637,0.015,9.011745732,2.524653298,36.93
1,0,1,1,0,1,2,13826,1.2236,0.0453,0.1775,0.0022,2.781169565,0.779148583,15.46
1,1,1,0,0,0,2,43240,2.11,0.1277,0.4372,0.212933926,5.9949,0.9348,244.05
0,0,1,0,0,0,2,18900,0.64,0.014,0.028,0,0.517,0.095,194
0,0,0,1,0,1,2,72077,1.03,0.12,0.24,0,0,0,115.39
0,0,0,0,1,0,2,5000,0.16,0,0,0,0,0,14.58
1,1,1,0,0,0,2,90000,3.15,0.23,0.81,0.018,4.98,2.11,510
1,1,0,1,0,1,2,53200,1.7,0.468,0.67,0,5,2.06,1109.98
1,1,1,0,1,0,2,66723,3.6265,0.637,1.911,0.1988,2.6687,1.3361,904.67
1,0,1,0,0,0,2,24610,1.6,0.3,0.3,0.121191117,30,6.2,0.39
1,1,1,1,0,0,2,50152,5.0152,0.1003,0.4423,0.0192,10.0883275,2.826259201,726
0,1,0,0,0,0,2,275400,12.1176,0.3855,2.6713,0.0743,1.377,0.6334,1
1,1,0,0,0,1,2,22460,0.539,0.0595,0.1963,0.0244,4.517942168,1.265707881,503.415
1,1,1,1,0,0,2,133515,25.501,0.8,0.96,0.657490127,26.85721499,7.524086721,105.935
0,0,0,1,0,1,2,10000,7,0.114440253,0.256172517,0.049244664,2.011550387,0.563538683,3.5
1,0,1,1,0,1,2,25000,0.5,0.91,0.91,0.123111659,5.028875967,1.408846707,15
1,0,0,1,1,0,2,31000,0.899,0.354764786,0.794134801,0.152658457,9.47,9.47,86.16
1,1,1,0,1,0,2,126144,9.39,1.28,1.66,0.621191885,11.4,0.505,451.06
1,0,1,0,0,1,2,8090,0.58,0.015,0.081,0.039838933,1.627344263,0.455902794,183.72
1,1,1,0,0,0,2,25000,12.2,0,0.640431291,0.123111659,13.33,13.33,1100.25
0,1,0,1,0,0,2,100785,11.07,2.52,3.78,0.302,1.51,1.007,78.05
1,1,0,0,0,0,2,53000,9.54,1.185,3.3,0.159,23.4,23.4,1042.071
1,1,0,0,1,1,2,406625,39.0766,5.2861,7.1687,0.5977,11.2,22.91489168,11210.15
1,1,1,0,0,1,2,157870,15.17,2.052,2.783,0.232,31.75634595,8.896585183,18502.8
1,1,0,0,1,0,2,15000,1.442,0.195,0.264,0.022,3.01732558,0.845308024,160
1,1,0,0,0,0,2,54000,5.189,0.702,0.952,0.079,10.86237209,3.043108886,800
1,1,0,1,0,1,2,66740,6.414,0.868,1.777,0.098,13.42508728,3.761057168,419.905
1,0,1,0,0,1,2,7582,0.729,0.099,0.134,0.011,1.525157503,0.427275029,345.22
1,1,0,1,1,0,2,120000,10.5,1.2,1.2,0.590935964,24.13860464,6.762464192,1.3
1,1,1,0,0,0,2,16000,1.44,0.064,0.064,0.078791462,3.218480619,0.901661892,212
1,1,0,0,1,0,2,45000,1.07,0.514981141,1.152776324,0.221600986,25,25,398
1,0,1,0,0,1,2,7920,0.27,0.02,0.05,0.039001774,1.593147906,0.446322637,30
1,0,1,0,1,0,2,51000,4.845,0.3253,0.5433,0.251147785,5.8,1,35
1,1,0,1,0,0,2,152000,0.943,0.23,0.3,0.024,7.6,0.608,1994.3
1,1,0,0,1,1,2,8340,0.41,0.043,0.15,0.0017,1.677633022,0.469991261,1361
1,1,1,0,1,1,2,33000,1.848,0.1518,0.4554,0.0178,45.58,2.85,1504.23
1,1,0,0,0,0,2,21000,1.176,0.0966,0.2898,0.0113,16.5,3.3,740.54
0,0,1,0,0,0,2,2145,0.2145,0.0086,0.01,0.01056298,0.89,0.075,64.5
1,1,0,0,0,0,2,77100,11.8,0.007,0.007,0.379676357,15.50905348,4.344883243,4.5
1,1,0,1,1,0,2,91200,6.457,0.8482,2.5445,0.0576,12.2924,3.3018,354.101
1,1,1,1,0,0,2,102230,6.07,1.35,3.69,0.0035,50,29,210.88
1,0,0,0,1,1,2,27763.944,3.4185,0.5324,0.8191,0.0483,13.62,2.84,70.11
0,0,0,1,0,0,2,4250,0.21,0,0,0.0045,0,0,80
1,1,1,1,0,0,2,115560,10.82,0.15,0.15,0,0,0,637.52
0,1,0,0,0,1,3,16000,0.96,0.015,0.015,0.078791462,0.41,0.39,30.77
1,0,1,0,0,0,3,9000,0.32,0.0085,0.0085,0.044320197,1.810395348,0.507184814,50.8
1,0,1,1,0,1,3,3500,0.3098,0.0115,0.0449,6.00E-04,0.704042635,0.197238539,10.4
1,0,0,0,1,1,3,18000,1.593,0.059,0.231,0.003,4.27,0.49,70
0,0,0,1,1,0,3,22350,1.011,0.012,0.012,0.110061823,0.002,1.259508956,243.22
0,1,1,0,1,1,3,21744,0.945,0.02,0.27,0.007,1.01,0.92,350
0,1,1,0,0,1,3,51200,0.788,0.132,0.132,0.252132678,0.008,2.885318055,490.34
0,0,1,0,0,0,3,9258,0.7174,0.025,0.12,0.04559071,1.75,0.521724112,29.8
0,1,0,1,0,1,3,100561,4.3698,0.09,1.265,0.033,0.79,0.6946,280
1,1,1,0,1,1,3,121552,5.35,0.8,1.15,0.027,77.06,11.8,655.815
1,0,0,0,0,0,3,45337,1.99,0.3,0.43,0.223260532,45.08,4.1,245.447
0,0,0,1,0,0,3,12155,0.53,0.04,0.11,0.059856889,1.78,0.08,30.982
1,1,1,0,1,0,3,87127,3.83,0.62,0.82,0.429053981,1.25,0.84,702.391
1,0,0,0,1,0,3,35000,1.08,0.25,0.7,0.172356323,35,3.2,170.41
1,0,1,0,0,0,3,20833,1.8605,0.0849,0.3021,0.102591408,22.1724,0.976,81.65
0,1,0,0,0,1,3,25104,1.22,0.1534,0.4342,0.123623804,4.5564,0.6253,31.8
1,1,1,0,0,1,3,26000,1.5668,0.14,0.2154,0.0014,10.43,0.1243,530.055
1,0,0,0,0,1,3,55413,4.7329,0.82,1.374,0.272879455,11.14660416,3.122736902,190
1,0,1,0,1,0,3,11000,1.2398,0.033,0.037,0.0151,8.56,0.58,280
1,1,1,1,0,0,3,31065,1.6772,0.065,0.2573,8.00E-04,5.98,0.46,385
1,1,1,0,0,1,3,33510,1.7305,0.2,0.2776,0.165018868,1.5643,0.225,993.56
1,0,0,0,1,1,3,36455,1.35,0.15,0.457,6.00E-04,7.68,0.15,187.569
0,1,0,1,0,1,3,27500,1.18,0.006,0.006,0.0044,0.69,0.525,261.67
0,0,1,0,0,0,3,6545,0.1998,0.0022,0.0022,4.00E-04,0.129,0.0537,14.02
0,1,1,0,0,1,3,5100,0.21,0.001,0.001,0.025114778,0.034,0.034,35
0,0,0,0,0,0,3,13500,0.486,0.0257,0.0257,0.066480296,2.715593022,0.760777222,0.73
0,0,0,1,0,1,3,16500,0.594,0.0314,0.0314,0.081253695,3.319058138,0.929838826,0.567
0,1,1,1,1,1,3,20000,0.632,0.003,0.003,0.098489327,0.436,0.436,78.23
1,1,0,0,0,0,3,700,0.0378,0.0014,0.0014,0.003447126,0.140808527,0.039447708,2005
0,1,1,0,1,0,3,14169,0.28,0.0024,0.0024,0.069774764,0.028,0.028,127.15
0,0,0,0,0,1,3,3000,0.111,0.034332076,0.076851755,0.014773399,0.0402,0.0402,15.72
1,1,1,0,0,0,3,41253,1.58,0.0087,0.0087,0.203149011,0.7013,0.7013,900
0,0,1,1,0,0,3,9500,0.4047,0.0017,0.0017,0.04678243,0.109,0.109,45.69
1,0,0,0,0,0,3,46522.69,3.742823956,0.532406844,1.191783457,0.229099422,9.358273506,2.621733544,257.98
0,1,0,0,0,1,3,11000,0.55,0.033,0.033,0.05416913,0.187,0.187,59.54
0,0,0,1,0,1,3,15800,0.553,0.04,0.14,0.003,1.8,0.1,235
0,1,0,0,0,0,3,9400,0.33,0.02,0.085,0,1.65,0.06,129.4
0,1,0,1,0,0,3,10805,0.35,0.095,0.136,0,0.982,0.074,45.87
0,0,1,0,0,0,3,12900,0.4,0.03,0.06,0,0.4,0.1,267.531
0,0,0,1,0,0,3,11384,1.007,0.037,0.084,0.056060125,2.28994896,0.641532436,38.4
1,1,0,0,1,0,3,90674,8.02,0.297,0.592,0.446521063,18.23953198,5.109830651,128.49
1,1,1,0,0,0,3,54670,8.63,0.82,1.09,0.269220576,2.19,0.113,582.155
0,0,0,0,0,1,3,37000,2.59,0.655,0.74,0.37,0.37,0.074,0.35
1,1,0,1,0,1,3,69686,5.13,0.1024,2.9342,0.0348,3.48,3.927075664,958
1,1,1,0,1,1,3,62538,3.6287,1.026,3.078,0.307966278,0.0427,3.524258213,934.54
1,1,0,1,0,0,3,20235.6,3.8852,0.3744,1.1232,0.0911,8.0942,1.0118,359.48
1,1,1,1,0,1,3,59109,4.2351,1.1191,3.3573,0.291080282,2.9556,2.9556,898.76
1,1,0,0,0,0,3,82000,9.8,1.16,1.6,0.07,27.2,1.6,1780
1,1,1,0,1,0,3,29273,3.5,0.45,0.66,0.95,2,1.8,450.38
1,1,0,0,0,0,3,29500,2.4,0.4,1.2,0.145271758,39.5,7.9,310
1,1,1,1,0,0,3,40500,3.31,0.0729,0.2187,0.041,0.03,2.282331665,500
0,0,0,1,0,0,3,14157,0.7119,0.2,7.0785,3.5534,0.4955,0.797801713,0.27
1,1,0,0,0,1,3,75300,3.3132,0.1054,3.0269,0.021,15.06,1.7319,2
0,1,0,0,0,1,3,55816,2.4559,0.078,0.6561,0.0156,2.7908,1.2837,4.6
1,1,1,0,1,0,3,120376,11.7968,0.78,3.0551,0.0024,18.176,16.8526,1672.68
