process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,0,1,0,0,0,3,10010,1,0,0,0,0.346,0.346,3.944
0,0,0,0,0,0,3,7627.2,0.447,0.0763,0.0763,0.0038,0.0153,0.0153,35.14
0,0,1,0,0,0,3,20486.4,1.6404,0.0645,0.288,0.0102,0.0922,0.0922,145.54
0,0,0,0,1,0,4,3000,0.9,0,0,0,0,0,51.34
0,1,1,0,0,0,3,27000,7.2,0,0,0,0,0,65.64
0,1,0,0,1,0,3,7200,0.692,0.094,0.127,0.011,1.208788733,0.852184383,111.423
1,0,1,0,0,0,3,3000,0.44,0,0.041123511,0.003048339,1.35,1.35,95.324
0,0,0,0,0,1,3,1500,0.144,0.002,0.026,0.003,0.251830986,0.177538413,200
1,1,0,0,1,0,3,90674,8.02,0.297,0.592,0.446521063,18.23953198,5.109830651,128.49
1,0,0,1,0,0,3,17800,1.2602,0.1655,0.6835,0.059549403,17.28,1.95,95.106
0,1,0,1,0,0,3,11050,1.062,0.144,0.195,0.016,1.85515493,1.30786631,50.532
0,1,0,0,1,1,3,25500,6.4,0,0,0,0,0,54.25
1,1,0,0,1,0,2,45000,1.07,0.514981141,1.152776324,0.221600986,25,25,398
1,0,0,1,0,1,3,27722.6,3.8253,0.3103,0.474,0.0326,38.2,7.85,42.88
1,0,0,1,0,0,3,31791.5,3.9145,0.6097,0.938,0.0552,17.1638,3.417,25.53
0,1,1,0,0,1,3,5100,0.21,0.001,0.001,0.025114778,0.034,0.034,35
1,0,1,0,0,1,3,16200,6.28,0,0.108,0,21.7,21.7,364.825
1,1,0,0,0,1,3,18059,1.439,0.036,0.036,0.018349986,3.031877184,2.137444135,70.65
0,1,0,0,0,0,2,275400,12.1176,0.3855,2.6713,0.0743,1.377,0.6334,1
0,0,1,0,0,0,3,9012,0.9012,0.057108496,0.176370136,0.030149395,0.176,0.003,85
0,0,1,0,0,0,3,12900,0.4,0.03,0.06,0,0.4,0.1,267.531
1,0,0,1,0,1,3,16000,1.28,0.08,0.08,0.016257809,2.686197184,1.893743073,16.4
0,0,0,0,0,1,3,37000,2.59,0.655,0.74,0.37,0.37,0.074,0.35
1,1,0,1,0,1,2,66740,6.414,0.868,1.777,0.098,13.42508728,3.761057168,419.905
1,0,1,0,0,0,3,14377,0.624,0.029,0.168,0.002,7.78,7.78,138.93
0,0,0,0,0,0,3,3000,0.15,0.02,0.02,0.003048339,2.871,0.355076826,8
