industry,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Cr6,Cr,Fe,Cu,Ni,Zn,HW17,HWsum
2614,2,0,0,0,0,0,1,1,0,0,1,0,3661.112418,7.03,33946,0,0,0,0,0,0,0,0,0,0,10
2614,2,0,0,0,0,0,1,1,0,0,1,0,1373.763743,7.025862069,5785.07,0,0,0,0,0,0,0,0,0,0,12
2614,2,0,0,0,0,0,1,1,0,0,1,0,2750.570633,7.204285714,28763,0,0,0,0,0,0,0,0,0,0,0.37
2614,2,0,0,0,0,0,1,1,0,0,1,0,491.49,7.212,4312,0,0,0,0,0,0,0,0,0,0,6.22
2614,2,0,0,0,0,0,1,1,0,0,1,0,243.48,7.638,1604,0,0,0,0,0,0,0,0,0,0,1.228
2614,2,0,0,0,0,0,1,1,0,0,1,0,845.29,7.196129032,4736,0,0,0,0,0,0,0,0,0,0,9.3
2614,2,0,0,0,0,0,1,1,0,0,1,0,825.74,7.037741935,4977,0,0,0,0,0,0,0,0,0,0,10
2614,2,0,0,0,0,0,1,1,0,0,1,0,782.15,6.883666667,2976,0,0,0,0,0,0,0,0,0,0,3.24
2614,2,0,0,0,0,0,1,1,0,0,1,0,680.51,6.891,2871,0,0,0,0,0,0,0,0,0,0,28.86
2614,2,0,0,0,0,0,1,1,0,0,1,0,271.66,7.241612903,2429,0,0,0,0,0,0,0,0,0,0,16.86
2614,3,0,0,0,0,1,1,0,0,0,1,0,74.39,7.30483871,1455.56,0,0,24.76,0,0,0,0,0,0,0,7.7
2614,3,0,0,0,0,1,1,0,0,0,1,0,50.44,7.094827586,777.85,0,0,11.38,0,0,0,0,0,0,0,0.3741
2614,3,0,0,0,0,1,1,0,0,0,1,0,161.34,7.37516129,1718.52,0,0,24.55,0,0,0,0,0,0,0,37.1922
2614,3,0,0,0,0,1,1,0,0,0,1,0,96.13,7.117,1343.68,0,0,11.56,0,0,0,0,0,0,0,43.103
2614,3,0,0,0,0,1,1,0,0,0,1,0,70.28,6.985483871,978.74,0,0,15.91,0,0,0,0,0,0,0,36.6733
2614,3,0,0,0,0,1,1,0,0,0,1,0,70.1,7.201666667,1332.55,0,0,20.13,0,0,0,0,0,0,0,15.561
2614,3,0,0,0,0,1,1,0,0,0,1,0,71.18,7.164193548,807.92,0,0,11.91,0,0,0,0,0,0,0,7.223
2614,3,0,0,0,0,1,1,0,0,0,1,0,54.74,7.226451613,681.9,0,0,10.19,0,0,0,0,0,0,0,14.425
2614,3,0,0,0,0,1,1,0,0,0,1,0,76.26,7.492333333,667.02,0,0,6.67,0,0,0,0,0,0,0,6.91
2614,3,0,0,0,0,1,1,0,0,0,1,0,44.99,8.043548387,361.14,0,0,4.7,0,0,0,0,0,0,0,7.072
2614,3,0,0,0,0,1,1,0,0,0,1,0,36.59,7.760344828,973.94,0,0,29.03,0,0,0,0,0,0,0,23.423
2614,3,0,0,0,0,1,1,0,0,0,1,0,33.09,7.893793103,1179.11,0,0,24.63,0,0,0,0,0,0,0,1256.7
2614,3,0,0,0,0,1,1,0,0,0,1,0,38.96,6.529333333,1597.41,0,0,31.01,0,0,0,0,0,0,0,36.874
2614,3,0,0,0,0,1,1,0,0,0,1,0,50.95,7.097419355,1260.62,0,0,25.06,0,0,0,0,0,0,0,46.814
2614,3,0,0,0,0,1,1,0,0,0,1,0,27.79,7.667096774,790.8,0,0,18.85,0,0,0,0,0,0,0,91.094
2614,3,0,0,0,0,1,1,0,0,0,1,0,10.01,6.671,917.11,0,0,11.01,0,0,0,0,0,0,0,141.08
2614,3,0,0,0,0,1,1,0,0,0,1,0,12.86,6.899,1093.57,0,0,17.68,0,0,0,0,0,0,0,249.29
2614,3,0,0,0,0,1,1,0,0,0,1,0,20.44,7.275185828,334.07,0,0,1.02,0,0,0,0,0,0,0,175.447
2614,3,0,0,0,0,1,1,0,0,0,1,0,94.53,7.289354839,1605.71,0,0,37.54,0,0,0,0,0,0,0,196.209
2614,3,0,0,0,0,1,1,0,0,0,1,0,46.06,7.397714161,954.74,0,0,19.38,0,0,0,0,0,0,0,271.68
2614,3,0,0,0,0,1,1,0,0,0,1,0,20.78,8.022886929,1431.58,0,0,34.27,0,0,0,0,0,0,0,24.22
2614,3,0,0,0,0,1,1,0,0,0,1,0,40.16,7.57865971,1201.88,0,0,30.64,0,0,0,0,0,0,0,287.068
2614,3,0,0,0,0,1,1,0,0,0,1,0,50.51,7.254791667,1538.38,0,0,21.19,0,0,0,0,0,0,0,247.66
2614,3,0,0,0,0,1,1,0,0,0,1,0,19.51,6.997741935,1188.93,0,0,27.65,0,0,0,0,0,0,0,163.852
2614,3,0,0,0,0,1,1,0,0,0,1,0,28.25,6.669,1054.1,0,0,10.39,0,0,0,0,0,0,0,287.858
2614,3,0,0,0,0,1,1,0,0,0,1,0,25.47,7.201935484,820.93,0,0,14.3,0,0,0,0,0,0,0,112.22
2614,3,0,0,0,0,1,1,0,0,0,1,0,0.2,6.573225806,300.67,0,0,3.06,0,0,0,0,0,0,0,56.957
2614,3,0,0,0,0,1,1,0,0,0,1,0,9.32,7.044666667,675.11,0,0,11.11,0,0,0,0,0,0,0,159.52
2614,3,0,0,0,0,1,1,0,0,0,1,0,78.27,8.11516129,1154.49,0,0,23.11,0,0,0,0,0,0,0,268.66
2614,3,0,0,0,0,1,1,0,0,0,1,0,46.05,7.936,1288.09,0,0,5.57,0,0,0,0,0,0,0,265.17
2614,3,0,0,0,0,1,1,0,0,0,1,0,17.58,7.814516129,916.52,0,0,8.94,0,0,0,0,0,0,0,219.23
2614,5,1,0,0,0,0,0,0,0,0,1,1,19802.81,7.414193548,1229015.494,3316.25,163.95,4150.56,0,0,0,0,0,0,0,13278.57
2614,5,1,0,0,0,0,0,0,0,0,1,1,19265.557,7.606091954,1165574.226,3196.94,120.11,4769.16,0,0,0,0,0,0,0,12208.09
2614,5,1,0,0,0,0,0,0,0,0,1,1,18969.649,7.628858824,1011498.136,3770.51,122.513,4837.165,0,0,0,0,0,0,0,13670.2
2614,5,1,0,0,0,0,0,0,0,0,1,1,12343.14,7.564555556,767329.36,5140.53,89.45,1749.61,0,0,0,0,0,0,0,8447.16
2614,5,1,0,0,0,0,0,0,0,0,1,1,10625.84,7.667419355,640459.95,2922.57,104.61,775.25,0,0,0,0,0,0,0,10182.87
2614,5,1,0,0,0,0,0,0,0,0,1,1,14268.42,7.519111111,951864.85,3245.08,302,1670.26,0,0,0,0,0,0,0,12993.09
2614,5,1,0,0,0,0,0,0,0,0,1,1,14013.85,6.2,620161.56,2889.1,68.63,880.64,0,0,0,0,0,0,0,14064.31
2614,5,1,0,0,0,0,0,0,0,0,1,1,13482.2,6.094946237,622376.09,1892.68,138.372,1098.86,0,0,0,0,0,0,0,13355.29
2614,5,1,0,0,0,0,0,0,0,0,1,1,16397.66,7.643888889,1046061.973,1751.098,507.523,2546.056,0,0,0,0,0,0,0,12404.69
2614,5,1,0,0,0,0,0,0,0,0,1,1,20103.4,7.702795699,973544.289,2510.403,330.858,2121.744,0,0,0,0,0,0,0,11585.79
2614,5,1,0,0,0,0,0,0,0,0,1,1,12159.644,7.832666667,866085.296,1819.759,297.632,1195.476,0,0,0,0,0,0,0,11428.91
2614,5,1,0,0,0,0,0,0,0,0,1,1,19763.157,7.617419355,775941.675,2074.958,233.945,2271.81,0,0,0,0,0,0,0,14369.4
2614,5,1,0,0,0,0,0,0,0,0,1,1,18218.587,7.62827957,1390481.937,3710.143,129.746,1597.919,0,0,0,0,0,0,0,14662.919
2614,5,1,0,0,0,0,0,0,0,0,1,1,16977.325,7.681935484,1111318.175,3442.834,97.545,1829.637,0,0,0,0,0,0,0,13825.038
2614,5,1,0,0,0,0,0,0,0,0,1,1,16013.825,7.614877778,1018509.222,3105.197,80.953,1699.194,0,0,0,0,0,0,0,13311.8885
2614,5,1,0,0,0,0,0,0,0,0,1,1,13156.128,7.604172043,1255234.589,2854.559,50.504,2214.325,0,0,0,0,0,0,0,3938.5555
2614,5,1,0,0,0,0,0,0,0,0,1,1,12849.801,7.835555556,1194729.697,3418.099,62.967,1965.64,0,0,0,0,0,0,0,2026.0875
2614,5,1,0,0,0,0,0,0,0,0,1,1,11278.975,7.692745516,1109199.766,3040.01,44.099,1717.299,0,0,0,0,0,0,0,13503.878
2614,5,1,0,0,0,0,0,0,0,0,1,1,11366.384,7.471035667,1297758.16,3579.423,60.596,1864.39,0,0,0,0,0,0,0,14123.943
2614,5,1,0,0,0,0,0,0,0,0,1,1,9145.447,7.260595238,1086667.354,2556.502,42.808,2081.958,0,0,0,0,0,0,0,13093.5015
2614,5,1,0,0,0,0,0,0,0,0,1,1,10743.449,7.506655419,1341006.968,3119.775,47.593,2015.699,0,0,0,0,0,0,0,11634.6575
2614,5,1,0,0,0,0,0,0,0,0,1,1,9734.782,7.552111111,1140637.316,3477.921,42.637,1682.867,0,0,0,0,0,0,0,13324.837
2614,5,1,0,0,0,0,0,0,0,0,1,1,11276.922,7.531182796,1072129.237,3132.635,54.004,1828.728,0,0,0,0,0,0,0,12783.754
2614,5,1,0,0,0,0,0,0,0,0,1,1,6669.244,7.470444444,940025.178,2304.615,52.011,2282.805,0,0,0,0,0,0,0,13223.5165
2614,5,1,0,0,0,0,0,0,0,0,1,1,15668.602,7.812150538,1239941.348,3014.732,88.858,2232.142,0,0,0,0,0,0,0,11447.5855
2614,5,1,0,0,0,0,0,0,0,0,1,1,14368.085,7.680430108,1254894.119,3272.453,56.061,930.698,0,0,0,0,0,0,0,3258.9595
2614,5,1,0,0,0,0,0,0,0,0,1,1,16122.832,7.644269663,765766.793,2212.886,88.1,426.939,0,0,0,0,0,0,0,5229.7735
2614,5,1,0,0,0,0,0,0,0,0,1,1,7478.702,7.512473118,930332.278,0,36.03,727.193,0,0,0,0,0,0,0,7883.699
2614,5,1,0,0,0,0,0,0,0,0,1,1,212091.721,7.69494382,40362146.25,0,1820.66,29487.407,0,0,0,0,0,0,0,9851.816
2614,5,1,0,0,0,0,0,0,0,0,1,1,6164.3,7.840430108,568700.92,0,36.91,847.58,0,0,0,0,0,0,0,8338.479
2614,5,0,0,0,0,0,1,0,0,0,1,0,36434.66,7.608387097,106559.74,0,0,1165.85,0,0,0,0,0,0,0,68.8935
2614,5,0,0,0,0,0,1,0,0,0,1,0,33538.69,8.188,105200.37,0,0,1305.36,0,0,0,0,0,0,0,140.6516
2614,5,0,0,0,0,0,1,0,0,0,1,0,44780.89,8.157419355,129467.41,0,0,582.749,0,0,0,0,0,0,0,67.4679
2614,5,0,0,0,0,0,1,0,0,0,1,0,47564.71,8.104516129,139492.3,0,0,617.334,0,0,0,0,0,0,0,72.0403
2614,5,0,0,0,0,0,1,0,0,0,1,0,41081.75,8.281,126179.83,0,0,1502.59,0,0,0,0,0,0,0,72.4828
