industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Fe,Ni,HW17,HWsum
2631,202206,2,0,0,0,0,0,0,0,0,1,0,0,5.0164,7.335,603.3447,11.85663925,0.575998626,0.1595,0,0,0,20.5844
2631,202210,2,0,0,0,0,0,0,0,0,1,0,0,7.8097,7.876774194,758.7118,14.90983862,0.724323847,0.2067,0,0,0,27.6359
2631,202212,2,0,0,0,0,0,0,0,0,1,0,0,32.7801,7.839032258,1128.3311,22.17341896,1.077190473,0.1915,0,0,0,29.077
2631,202001,2,0,0,0,0,0,0,0,0,1,0,0,18.24,7.629354839,717.16,14.09328267,0.684655346,0.82,0,0,0,36.53
2631,202012,2,0,0,0,0,0,0,0,0,1,0,0,8.58,7.683548387,350.9,6.895717678,0.334995762,0.5,0,0,0,37.51
2631,202008,2,0,0,0,0,0,0,0,0,1,0,0,7.72,7.437096774,323.92,6.365519721,0.309238607,0.06,0,0,0,60.76
2631,202108,2,0,0,0,0,1,1,1,1,1,0,0,399.87822,7.487741935,5477,107.6313643,5.228759732,9.064265,0,0,0,7.538
2631,202001,2,0,0,0,0,1,1,1,1,1,0,0,720.093426,7.490967742,5533,108.7318493,5.282221581,11.01285,0,0,0,12.79
2631,202107,2,0,0,0,0,1,1,1,1,1,0,0,365.980741,7.350322581,5720,112.4066832,5.460745968,0.308929,0,0,0,22.123
2631,202010,2,0,0,0,0,1,1,1,1,1,0,0,181.2685,8.193870968,2298,45.15918844,2.193845146,0.192952,0,0,0,23.25
2631,202009,2,0,0,0,0,1,1,1,1,1,0,0,404.177804,7.814333333,5578,109.6161676,5.325181995,0.328851,0,0,0,28.34
2631,202002,2,0,0,0,0,1,1,1,1,1,0,0,479.449759,7.943448276,4289,84.28536084,4.0946048,0.265325,0,0,0,35.98
2631,202003,2,0,0,0,0,1,1,1,1,1,0,0,611.267425,7.722258065,4132,81.20007251,3.944720689,8.758959,0,0,0,70.05
2631,202010,4,0,0,0,0,0,0,1,1,0,0,0,4465.81,7.544056055,26131.1,513.5157829,24.94673059,96.20831136,0,0,0,264.176
2631,202011,4,0,0,0,0,0,0,1,1,0,0,0,4749.04,7.544056055,44336,871.2697035,42.32650931,163.2342952,0,0,0,387.829
2631,202002,4,0,0,0,0,0,0,1,1,0,0,0,734.944,7.544056055,10179.945,200.0513727,9.718547835,37.48006468,0,0,0,395.93
2631,202204,4,0,0,0,0,0,0,1,1,0,0,0,1548.05,7.544056055,15996.1,314.3476476,15.27109066,58.89372316,0,0,0,466.637
2631,202109,4,0,0,0,0,0,0,1,1,0,0,0,3377.04,7.544056055,13840.31,271.9831016,13.21300997,50.95663228,0,0,0,580.93
2631,202205,4,0,0,0,0,0,0,1,1,0,0,0,2542.37,7.544056055,15976.2,313.9565824,15.25209261,58.82045623,0,0,0,1250.129
2631,202202,4,0,0,0,0,0,0,1,1,0,0,0,3999.86,7.544056055,17027.5,334.6162233,16.25574335,62.6910854,0,0,0,667.511
2631,202005,4,0,0,0,0,0,0,1,1,0,0,0,675.737,7.544056055,5507.996,108.2404827,5.258350865,20.2790925,0,0,0,625.179
2631,202110,4,0,0,0,0,1,0,0,0,0,0,0,1996.32,7.734516129,9226.15,181.3078531,23.02,84.48,0,0,0,41.8372
2631,202008,4,0,0,0,0,1,0,0,0,0,0,0,2176.32,7.225483871,12272.87,241.1805261,52.33,82.57,0,0,0,56.212
2631,202009,4,0,0,0,0,1,0,0,0,0,0,0,1912.79,7.356333333,11065.38,217.4515146,36.04,52.39,0,0,0,139.111
2631,202006,4,0,0,0,0,1,0,0,0,0,0,0,3492.95,7.391333333,11896.25,233.7793714,37.04,121.16,0,0,0,705.879
2631,202008,5,0,0,0,0,1,1,1,1,0,0,0,1849.96,6.826129032,6939.19,136.3656174,6.62467724,35.04,0,0,0,68.54
2631,202202,5,0,0,0,0,1,1,1,1,0,0,0,2521.282468,8.156071429,10278,201.9783023,9.812158577,238.687528,0,0,0,155.384
2631,202005,5,0,0,0,0,1,1,1,1,0,0,0,1684.08,7.432580645,6687,131.4097011,6.383917533,68.95,0,0,0,184.87
2631,202002,5,0,0,0,0,1,1,1,1,0,0,0,736.62,6.800526316,6133.72,120.5369092,5.855714469,44.33727,0,0,0,235.87
2631,202003,5,0,0,0,0,1,1,1,1,0,0,0,1299.7171,6.85483871,6849.2,134.5971773,6.538765959,87.08285,0,0,0,245.83
2631,202204,4,0,0,0,0,1,1,1,0,0,0,0,1494.687,8.285201138,6472.501,127.1944701,10.919,168.304,0,0,0,107.861
2631,202201,4,0,0,0,0,1,1,1,0,0,0,0,1163.555,8.228387097,8265.323,162.426144,23.076,196.782,0,0,0,134.582
2631,202211,4,0,0,0,0,1,1,1,0,0,0,0,1113.682,7.803,10339.453,203.1859471,16.896,27.91,0,0,0,234.3891
2631,202112,4,0,0,0,0,1,0,1,1,0,0,0,740.032,7.531290323,5366,71.1739,1.96441,2.0604,0,0,0,2.128
2631,202207,4,0,0,0,0,1,0,1,1,0,0,0,2220.83,7.646129032,15099,144.3874896,4.07104,191.3369,0,0,0,812.135
2631,202212,4,0,0,0,0,1,0,1,1,0,0,0,4303.6,7.722258065,18421,453.448,14.74853,12.3324,0,0,0,964.998
2631,202109,4,0,0,0,0,1,0,1,1,0,0,0,3076.59,7.307666667,15202,145.3724496,3.6335771,10.94943,0,0,0,1263.954
2631,202012,4,0,0,0,0,1,0,1,1,0,0,0,5148.34,7.019,19834,189.6669626,4.740716235,378.8983,0,0,0,1292.924
2631,202211,4,0,0,0,0,1,0,1,1,0,0,0,3986.39,7.48,18997,111.56,41.3786,15.92837,0,0,0,802.881
2631,202211,3,0,0,0,0,0,1,1,0,1,0,0,1.86,6.663,66.83,1.31331095,0.063800988,0.246051695,0,0,0,0.126
2631,202204,3,0,0,0,0,0,1,1,0,1,0,0,72.27,7.111333333,1795.58,35.28587275,1.714196896,6.610885868,0,0,0,0.135
2631,202210,5,0,0,0,0,1,1,1,1,0,0,0,25233.553,7.137096774,125070,3356.497,91.57,258.571,0,0,0,1133.816
2631,202109,5,0,0,0,0,1,1,1,1,0,0,0,20101.098,7.56,96933,1954.3,52.482,182.063,0,0,0,1590.246
2631,202211,5,0,0,0,0,1,1,1,1,0,0,0,24865.491,7.008813559,122622,4162.934,106.394,300.629,0,0,0,2705.041
2631,202205,5,0,0,0,0,1,1,1,1,0,0,0,34676.572,7.859677419,150967,4194.933,71.165,906.648,0,0,0,2734.251
2631,202204,5,0,0,0,0,1,1,1,1,0,0,0,32444.659,7.927166667,139366,2849.154,73.2906,673.14,0,0,0,2154.051
2631,202208,3,0,0,0,0,1,1,0,0,0,0,0,806.28,7.544056055,6228.3,122.3955498,5.946007712,22.93107545,0,0,0,29.158
2631,202011,3,0,0,0,0,1,1,0,0,0,0,0,1308.9,7.544056055,5170.2,101.6022785,4.935865176,19.03541035,0,0,0,65.384
2631,202107,2,0,0,0,0,0,0,0,0,1,0,0,2.932,6.84483871,24.903,0.489381754,0.023774293,0.01371449,0,0,0,0.382
2631,202109,2,0,0,0,0,0,0,0,0,1,0,0,4.093,7.12,56.46,1.109524708,0.053901,0.031093447,0,0,0,10.215
2631,202205,2,0,0,0,0,0,0,0,0,1,0,0,4.424,7.070967742,57.448,1.128940408,0.054844219,0.067,0,0,0,30.174
2631,202202,2,0,0,0,0,0,0,0,0,1,0,0,4.827,7.293214286,98.72,1.93999786,0.094245602,0.054366722,0,0,0,49.12
2631,202002,2,0,0,0,0,0,0,0,0,1,0,0,24.29,7.452068966,332.13,6.526858684,0.03,0.13,0,0,0,0.08
2631,202210,2,0,0,0,0,0,0,0,0,1,0,0,11.17,8.252903226,254.38,4.998953157,0.36,0.14,0,0,0,68.9265
2631,202205,2,0,0,0,0,0,0,0,0,1,0,0,19.44,7.638064516,392.76,7.718330223,0.39,0.26,0,0,0,259.223
2631,202207,2,0,0,0,0,0,0,0,0,1,0,0,19.85,7.234516129,507.15,9.966267371,0.57,0.36,0,0,0,265.5643
