industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,Cu,Ni,Fe,NH3N,HW17,HWsum
2669,202207,1,0,0,0,0,0,0,0,0,0,1,0,7.14,7.153870968,293.93,4.564161988,0.192937723,0.002882789,0.007152736,0,1.43,0,0.3026
2669,202112,1,0,0,0,0,0,0,0,0,0,1,0,9.45,7.157741935,246.89,3.833722156,0.162060336,0.002421433,0.006008026,0,2.37,0,20.6272
2669,202211,1,0,0,0,0,0,0,0,0,0,1,0,2.62,7.193333333,167.35,2.598620449,0.109849719,0.001641325,0.004072433,0,2.43,0,28.0452
2669,202208,1,0,0,0,0,0,0,0,0,0,1,0,2.5,7.163870968,116.41,1.807621192,0.076412344,0.001141719,0.002832817,0,0.9,0,31.4297
2669,202208,2,0,0,0,0,0,0,1,0,0,0,0,235.95,7.641,20109.54,312.2620966,13.20004376,0.197229136,0.489362197,0,63.37804454,0,0.025
2669,202202,2,0,0,0,0,0,0,1,0,0,0,0,239.51,7.641,8654.55,134.3883514,5.680907604,0.084881574,0.210606986,0,27.27603194,0,10.938
2669,202206,2,0,0,0,0,0,0,1,0,0,0,0,60.14,7.641,11382.66,176.7506008,7.471658231,0.111638167,0.276995073,0,35.87405442,0,17.553
2669,202209,2,0,0,0,0,0,0,1,0,0,0,0,485.56,7.641,19912.74,309.2061749,13.07086285,0.195298972,0.484573103,0,62.75780165,0,20.624
2669,202111,4,0,0,0,0,1,1,1,0,0,0,0,0.038073426,7.712,1.101,0.017096391,0.000722704,1.08E-05,2.68E-05,0,0.000250138,0,593.313
2669,202209,4,0,0,0,0,1,1,1,0,0,0,0,0.8267,7.846,8.805,0.136724548,0.005779664,8.64E-05,0.000214268,0,0.0086,0,666.237
2669,202109,4,0,0,0,0,1,1,1,0,0,0,0,3.46E-05,7.768666667,0.001,1.55E-05,6.56E-07,9.81E-09,2.43E-08,0,2.27E-07,0,1058.0579
2669,202112,4,0,0,0,0,1,1,1,0,0,0,0,7.9572,7.98,184.591,2.866339692,0.121166833,0.00181042,0.00449199,0,0.0078,0,1202.5729
2669,202204,3,0,0,0,0,1,1,0,0,0,1,0,328.618929,7.716,3475,53.96000037,2.281014486,0.034081896,0.084563527,0,6.555066,0,66.932
2669,202208,3,0,0,0,0,1,1,0,0,0,1,0,554.95622,7.930322581,4568,70.93216739,2.998467388,0.044801755,0.111161494,0,2.226974,0,80.461
2669,202111,3,0,0,0,0,1,1,0,0,0,1,0,575.546343,8.358666667,3904,60.62153711,2.562613109,0.038289416,0.095003169,0,60.822056,0,105.671
2669,202202,3,0,0,0,0,1,1,0,0,0,1,0,531.996394,8.516785714,4044,62.79546518,2.654510096,0.0396625,0.098410044,0,4.30473,0,109.151
2669,202205,3,0,0,0,0,1,1,0,0,0,1,0,471.966582,8.211612903,4407,68.43215011,2.892785854,0.043222709,0.107243587,0,2.830723,0,189.172
2669,202212,3,0,0,0,0,1,1,0,0,0,1,0,603.39951,8.402903226,3952,61.36688387,2.594120647,0.038760188,0.09617124,0,1.556864,0,221.785
2669,202211,1,0,0,0,0,1,0,0,0,1,1,1,93.301361,7.329333333,973,15.1088001,0.638684056,0.009542931,0.023677788,0,3.066546392,0,26.62
2669,202212,1,0,0,0,0,1,0,0,0,1,1,1,66.662841,7.389032258,767,11.91002023,0.503464205,0.007522536,0.018664813,0,2.41730841,0,28
2669,202211,4,0,0,0,0,1,0,0,0,0,1,0,2336.942162,7.641,18577,288.4647272,12.1940737,0.182198382,0.4520681,0,58.54802911,0,8.56
2669,202212,4,0,0,0,0,1,0,0,0,0,1,0,1804.307778,7.641,20171,313.2164511,13.24038653,0.197831919,0.490857816,0,63.57174437,0,8.81
2669,202012,4,0,0,0,0,1,0,0,0,0,1,0,846.160346,7.641,12396,192.4858028,8.136821748,0.121576742,0.301654528,0,39.067738,0,9.45
2669,202111,4,0,0,0,0,1,0,0,0,0,1,0,2993.932818,7.641,16459,255.576301,10.80380358,0.161425589,0.400526934,0,51.87285413,0,19.97
2669,202107,2,0,0,0,0,1,1,0,0,1,1,1,3.54,7.641,339.5,5.271775576,0.222850192,0.003329728,0.008261674,0,0.12,0,0.11
2669,202207,2,0,0,0,0,1,1,0,0,1,1,1,1.21,7.641,112.72,1.750322659,0.073990202,0.001105528,0.002743022,0,0.013926365,0,1.196
2669,202212,2,0,0,0,0,1,1,0,0,1,1,1,1.49,7.641,150.46,2.336351556,0.098763004,0.001475673,0.003661418,0,0.018589078,0,2.702
2669,202203,2,0,0,0,0,1,1,0,0,1,1,1,2.64,7.641,196.75,3.055145345,0.129148086,0.001929673,0.004787877,0,0.01,0,2.747
2669,202010,2,0,0,0,0,1,1,0,0,1,1,1,2.40375,7.641,123.19,1.912901423,0.080862784,0.001208215,0.002997807,0,0.015219916,0,2.991
2669,202011,2,0,0,0,0,1,1,0,0,1,1,1,4.34,7.641,216.69,3.364774814,0.142236843,0.002125239,0.005273114,0,0.01,0,97.777
2669,202211,2,0,1,1,0,0,0,0,0,1,0,0,35.9571001,7.641,427.848,6.643648414,0.280842442,0.004196222,0.010411607,0,1.348423166,0,0.772
2669,202208,2,0,1,1,0,0,0,0,0,1,0,0,34.14272249,7.641,406.259,6.308413177,0.26667127,0.003984483,0.009886243,0,1.280382395,0,110.882
2669,202206,2,0,0,0,0,0,1,1,0,0,1,1,36.8099,7.349333333,378,5.869605796,0.248121864,0.003707326,0.009198565,0,1.191320181,0,2.46
2669,202108,2,0,0,0,0,0,1,1,0,0,1,1,21.48,6.997096774,152,2.360264764,0.099773871,0.001490776,0.003698894,0,0.479049385,0,4.8
2669,202212,1,0,0,0,0,1,0,0,0,0,0,0,73.6138,7.81375,2217.1275,34.42768366,1.455338114,0.02174501,0.053953416,0,6.987589245,0,9.097
2669,202209,1,0,0,0,0,1,0,0,0,0,0,0,124.4557,7.597333333,3752.6945,58.27205658,2.463295113,0.036805451,0.091321175,0,11.82714469,0,10.4995
2669,202108,2,0,0,0,0,1,1,0,0,0,0,0,75.682939,7.36516129,1136,17.6398735,0.745678405,0.011141592,0.027644365,0,3.580263825,0,0.438
2669,202111,2,0,0,0,0,1,1,0,0,0,0,0,39.20475,7.746333333,906,14.06842024,0.594704784,0.008885812,0.022047354,0,2.855386466,0,2.142
2669,202110,2,0,0,0,0,1,1,0,0,0,0,0,32.567789,6.913870968,694,10.77647202,0.45554649,0.006806571,0.016888371,0,2.187238639,0,103.457
2669,202109,2,0,0,0,0,1,1,0,0,0,0,0,80.27619,7.411724138,1721,26.72378723,1.129676527,0.01687912,0.041880239,0,5.423973629,0,109.19
2669,202209,2,0,0,0,0,1,1,0,0,0,0,0,85.097567,7.047333333,640,9.937956903,0.42010051,0.006276953,0.01557429,0,2.017050042,0,112.905
2669,202010,3,0,0,0,0,1,1,0,0,0,0,0,1090.612,7.430645161,5066.425,78.67173953,3.32563707,0.049690178,0.123290581,0,6.978,0,22.6
2669,202203,3,0,0,0,0,1,1,0,0,0,0,0,1491.361,7.957096774,8227.228,127.7528708,5.400410432,0.080690511,0.200208178,0,62.015,0,59.2585
2669,202211,3,0,0,0,0,1,1,0,0,0,0,0,1163.805,8.083333333,8155.591,126.6404873,5.3533874,0.079987914,0.198464904,0,24.285,0,60.2595
2669,202203,4,0,0,0,0,0,0,1,0,0,0,0,3640.02,7.491290323,16685.034,259.08617,10.95217389,0.163642472,0.406027433,0,122.557,0,17.245
2669,202206,4,0,0,0,0,0,0,1,0,0,0,0,1215.982,7.439666667,11242.242,174.570182,7.379486866,0.110260984,0.273578026,0,2.681,0,18.7865
2669,202208,4,0,0,0,0,0,0,1,0,0,0,0,506.837,7.459677419,6157.363,95.6118877,4.041736461,0.060389814,0.14983837,0,3.667,0,23.848
2669,202002,4,0,0,0,0,0,0,1,0,0,0,0,5325.19,8.084827586,4337.42,67.35170786,2.847113051,0.042540287,0.10555037,0,193.2,0,39.91
2669,202009,4,0,0,0,0,0,0,1,0,0,0,0,8969.56,7.409,20681.887,321.1495339,13.57573636,0.202842566,0.503290163,0,116.09,0,41.64
2669,202210,4,0,0,0,0,0,0,1,0,0,0,0,1912.78,7.464516129,12217.39,189.7123364,8.019580885,0.119824982,0.297308084,0,59.607,0,87.74
2669,202107,2,0,0,0,0,1,1,1,0,0,1,1,105.696,7.641,528.3,8.203472862,0.346779843,0.005181429,0.01285609,0,1.665011777,0,3.797
2669,202109,2,0,0,0,0,1,1,1,0,0,1,1,56.33,7.641,661.6,10.27336295,0.434278902,0.006488801,0.016099922,0,2.085125481,0,8.992
2669,202202,2,0,0,0,0,1,1,1,0,0,1,1,67.786599,7.641,471.221213,7.317150166,0.309312925,0.004621615,0.011467087,0,1.485119949,0,14.894
2669,202110,2,0,0,0,0,1,1,1,0,0,1,1,128.609,7.641,1330,20.65231669,0.873021372,0.013044294,0.032365321,0,4.191682119,0,22.695
2669,202210,4,0,0,0,0,1,0,0,0,0,0,0,266.000946,6.681363636,5032,78.13718615,3.303040258,0.049352547,0.122452855,0,9.718645,0,50.342
2669,202008,4,0,0,0,0,1,0,0,0,0,0,0,2041.743285,8.188064516,10506,163.1377738,6.89621243,0.103040114,0.255661703,0,16.07982049,0,86.14
2669,202202,3,0,1,0,0,1,0,1,0,1,1,0,14.7945,7.385,120.4556,3.444772,0.003041,0.001181397,0.002931266,0,3.2664,0,0.439
2669,202010,2,0,0,0,0,0,1,0,0,0,0,0,1.24,7.095,401.34,6.232030661,0.09,0.003936238,0.00976654,0,0.47,0,0.09
2669,202210,4,0,0,0,0,1,1,0,0,0,1,0,54.44,7.839354839,1403.11,21.78757298,0.921011291,0.013761338,0.034144441,0,4.42209857,0,74.757
2669,202206,4,0,0,0,0,1,1,0,0,0,1,0,48.77,7.367666667,493.94,7.669928801,0.324225697,0.004844435,0.012019945,0,1.556721403,0,76.435
2669,202206,4,0,0,0,0,1,1,0,0,0,1,0,44.12054186,7.717349463,718.93,11.16358649,0.471910718,0.007051078,0.017495038,0,2.265809042,0,76.435
2669,202008,3,0,0,0,0,1,0,1,0,0,0,0,3.67186,7.674,29,0.450313672,0.019035804,0.000284424,0.00070571,0,0.134204819,0,0.6
2669,202202,3,0,0,0,0,1,0,1,0,0,0,0,44.652123,7.484285714,1457,22.62438001,0.956385067,0.014289877,0.035455844,0,6.742635193,0,0.833
2669,202201,3,0,0,0,0,1,0,1,0,0,0,0,102.627425,7.538387097,3049,47.34504781,2.001385085,0.029903799,0.074196891,0,14.11001695,0,0.843
2669,202205,3,0,0,0,0,1,0,1,0,0,0,0,60.095931,7.857419355,1901,29.51883761,1.247829795,0.018644513,0.046260508,0,8.797357242,0,0.992
2669,202209,3,0,0,0,0,1,0,1,0,0,0,0,57.075991,6.912,2305,35.79217291,1.513018242,0.02260684,0.056091779,0,11.341255,0,2.78
