industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,Zn,Cr,Cu,Fe,Ni,NH3N,HW17,HWsum
3982,202208,5,1,1,1,1,0,0,0,0,1,1,1,2190.615627,7.030322581,24173,154.018941,2.407936042,0,0,1.351815,0,0.005577512,377.551975,11.94,62.6107
3982,202008,5,1,1,1,1,0,0,0,0,1,1,1,15577.97266,7.408064516,86698,552.3987153,8.636215568,0,0,1.495585288,0,0.020004099,1189.707227,1.94,533.899
3982,202108,5,1,1,1,1,0,0,0,0,1,1,1,14158.22,7.512258065,88009,560.7517882,8.766807723,0,0,1.653288,0,0.020306591,1411.31,58.12,547.285
3982,202012,5,1,1,1,1,0,0,0,0,1,1,1,14460.84831,7.19,65825,419.405816,6.557001197,0,0,1.135515255,0,0.015188007,1022.822101,73.96,780.3887
3982,202005,5,1,1,1,1,0,0,0,0,1,1,1,14458.3887,7.733225806,78265,498.6676215,7.796182281,0,0,1.350111681,0,0.018058327,1213.399349,27.685,836.2505
3982,202201,5,1,1,1,1,0,0,0,0,1,0,0,471.803704,7.435822714,27628,176.0325694,1.439507138,0,0,0.232532131,0,0.793906103,11.83106058,33.316,210.332
3982,202206,5,1,1,1,1,0,0,0,0,1,0,0,356.691473,7.226,27208,173.3565278,1.975986,0,0,0.188614,0,0.837976,10.601399,80.454,264.081
3982,202203,5,1,1,1,1,0,0,0,0,1,0,0,563.750393,7.514516129,33952,216.3261111,1.65358,0,0,0.376726,0,0.870404,28.110561,38.916,270.859
3982,202211,5,1,1,1,1,0,0,0,0,1,0,0,699.997811,7.293,31441.80024,200.3323036,1.145984,0,0,0.174577,0,0.350859,25.212229,131.358,306.237
3982,202012,5,1,1,1,1,0,0,0,0,1,0,0,113.244394,7.304932806,27815,177.2240451,1.449250436,0,0,0.234106024,0,0.799279653,11.91113907,47.301,311.2098
3982,202009,5,1,1,1,1,0,0,0,0,1,0,0,69.11565,7.524333333,26089,166.2267882,1.359320317,0,0,0.219579078,0,0.749682073,11.17201895,68.669,298.6774
3982,202002,5,1,1,1,1,0,0,0,0,1,1,0,1812.096889,7.408580645,85529,408.7382861,2.269237651,0,0,4.14319,0,0.653942861,73.999862,0,913.559
3982,202208,5,1,1,1,1,0,0,0,0,1,1,0,2325.051158,7.52483871,109653,524.0255268,2.909290605,0,0,10.218425,0,0.838391616,109.436276,0,1276.2336
3982,202107,5,1,1,1,1,0,0,0,0,1,1,0,3161.45244,7.408580645,131999,630.8158054,3.502170032,0,0,8.647746,0,1.00924603,123.42353,0,1744.3462
3982,202010,5,1,1,1,1,0,0,0,0,1,1,0,2854.15443,7.408580645,131382,627.8671971,3.485799916,0,0,9.745942,0,1.004528534,132.174585,0,1908.203
3982,202204,5,1,1,1,1,0,0,0,0,1,1,0,2946.698439,7.368333333,125979,602.0465636,3.342448643,0,0,17.461261,0,0.963217946,75.691122,0,2025.5174
3982,202207,5,1,1,1,1,0,0,0,0,1,1,0,3066.263109,7.472258065,157522,752.7887886,4.179340963,0,0,17.144667,0,1.204391345,285.536841,0,2033.9899
3982,202112,5,1,1,1,1,0,0,0,0,1,1,0,1923.460166,7.408580645,130848,625.3152411,3.471631939,0,0,15.950074,0,1.000445644,38.381592,0,2191.7648
3982,202210,4,1,1,1,1,0,0,0,0,1,1,0,591.793,7.493988095,13891.709,88.51140977,1.383789632,0,0,0.837867945,0,0.106214079,3.32,0,93.713
3982,202109,4,1,1,1,1,0,0,0,0,1,1,0,763.79,7.493988095,14921.79,95.07459948,1.486398707,0,0,0.899996503,0,0.114089935,3.92,0,470.0658
3982,202112,4,1,1,1,1,0,0,0,0,1,1,0,1649.82,7.493988095,27344.32,174.2250944,2.723839559,0,0,1.649252026,0,0.209070875,196.52,0,490.4788
3982,202204,4,1,1,1,1,0,0,0,0,1,0,0,1104.714459,7.666521739,26868.794,171.1952673,2.676471165,0,0,11.12044463,0,0.205435069,53.58460371,0,187.5997
3982,202201,4,1,1,1,1,0,0,0,0,1,0,0,764.4135425,7.666521739,18592.017,118.4595528,1.851999662,0,0,7.694855809,0,0.142151981,37.07817564,0,212.638
3982,202202,4,1,1,1,1,0,0,0,0,1,0,0,708.0625588,7.666521739,17221.452,109.7269598,1.715474081,0,0,7.12760697,0,0.131672831,34.3448493,0,375.674
3982,202109,1,0,0,0,1,0,0,0,0,0,1,1,1.28,7.493988095,21.534,0.137204479,0.002145058,0,0,0.001298807,0,0.000164646,0.025,0,13.322
