"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Ni","NH3N","HWsum"
"725","3","0","0","0","0","0","0","1","0","1","1","0",9.292597,7.773954567,466,7.23607487,0.559098,0.004570407,0.01134003,0.383763,8.58
"67","2","0","0","0","0","1","1","0","0","1","1","1",2.2,7.641,127.59,1.981224877,0.083750975,0.00125137,0.003104881,0.01,1.348
"527","2","0","0","0","0","1","1","1","0","0","1","0",166.11,7.430729323,2131,33.09029087,1.398803416,0.020900293,0.051857518,21.45,155.856
"373","1","0","0","1","0","0","0","1","0","0","1","0",97.6,7.644562226,287.9,4.4705278,0.188979589,0.002823648,0.007005997,6.92,176.78
"14","2","0","0","0","0","0","0","1","0","0","0","0",395.13,7.641,8436.29,130.9991976,5.537640202,0.082740937,0.205295666,26.58815484,22.856
"251","3","0","0","0","0","1","0","1","0","0","0","0",26.555891,6.837741935,2509,38.95989667,1.646925279,0.024607619,0.061056083,11.61103068,1.275
"111","1","0","0","0","0","1","0","0","0","0","0","0",449.6078,8.101545955,9171.8062,142.4203355,6.020438218,0.089954689,0.223194326,28.90623763,1.36
"616","2","0","0","0","0","1","1","1","0","0","0","0",767.184,8.335806452,5260.965,81.69256787,3.453334497,0.051598176,0.128024678,47.154,130.502
"413","3","0","0","0","0","1","1","0","0","0","0","0",62.39,8.692903226,1195.93,18.57047,0.785016879,0.01172937,0.029102751,0.13,12.198
"110","1","0","0","0","0","1","0","0","0","0","0","0",321.0309,7.794666667,7356.5844,114.2334667,4.828913838,0.072151466,0.179021216,23.18531074,0.906
"582","2","0","0","0","0","1","0","1","0","0","0","0",577.952,7.971290323,7172.814,111.3798694,4.708285652,0.070349093,0.174549195,22.60613247,7.538
"61","4","0","0","0","0","1","0","0","0","0","1","0",2693.72023,7.641,22753,353.3098959,14.93522953,0.223155503,0.553690342,71.70928064,19.699
"546","2","0","0","0","0","0","1","1","0","0","0","0",437.6,7.121034483,4701.56,73.00609477,3.086137113,0.046111677,0.114411654,14.81762781,3.621
"36","3","0","0","0","0","1","1","0","0","0","1","0",385.437085,7.308709677,5617,87.22109988,3.68703838,0.055090074,0.136688729,75.648949,104.228
"177","2","0","0","0","0","1","1","1","0","0","1","1",11.096474,7.641,176.312068,2.737783958,0.115732484,0.001729223,0.004290524,0.555672288,0.011
"208","4","0","0","0","0","1","0","0","0","0","0","0",877.064326,6.600967742,4724,73.35454439,3.100866887,0.046331763,0.114957728,8.376165,88.444
"73","2","0","0","0","0","1","1","0","0","1","1","1",2.04,7.641,204.57,3.176574756,0.134281189,0.002006369,0.004978176,0.025274277,4.706
"312","2","0","0","0","0","1","1","1","1","0","0","1",190.122,7.641,1804.276,28.01690176,1.18433948,0.01769587,0.043906746,5.066,4.115
"125","2","0","0","0","0","1","1","0","0","0","0","0",14.77482,7.51,239,3.711205781,0.156881284,0.00234405,0.005816024,0.753242125,68.1641
"193","4","0","0","0","0","1","0","0","0","0","0","0",333.803526,8.39,7550,117.2368353,4.955873201,0.074048435,0.183727951,11.55555346,56.684
"862","2","0","0","0","0","0","1","0","0","1","1","0",92.5,7.376086957,792,12.29822167,0.299338791,0.00776773,0.019273184,4.100383879,136.425
"42","3","0","0","0","0","1","1","0","0","0","1","0",451.273484,8.348709677,4400,68.32345371,2.888191004,0.043154055,0.107073243,0.238902,169.98
"518","2","0","0","0","0","1","1","1","0","0","1","0",55.52,7.921935484,1244,19.31690373,0.816570366,0.012200828,0.030272526,1.41,106.909
"231","4","0","0","0","0","1","1","0","0","0","1","0",46.96871115,7.717349463,765.34,11.88424365,0.502374569,0.007506256,0.018624417,2.412076686,68.068
"592","2","0","0","0","0","1","0","1","0","0","0","0",2028.848,7.831,7068.688,109.7629948,4.639936612,0.069327853,0.172015307,22.27796473,31.122
"880","3","0","0","0","0","1","1","1","0","0","1","0",61.65,6.992666667,1280.4,19.88212503,0.840463582,0.01255783,0.031158314,10.82,19.3086
"44","1","0","0","0","0","1","0","0","0","1","1","1",1.44231,8.289690464,38,0.590066191,0.024943468,0.000372694,0.000924723,0.119762346,1.42
"666","2","0","0","0","0","1","1","1","0","0","0","0",36.37,7.714310345,632,9.813732441,0.414849253,0.006198492,0.015379611,0.33,2.064
"653","2","0","0","0","0","1","0","0","0","0","1","0",53.359099,7.641,408,6.335447525,0.267814075,0.004001558,0.00992861,1.285869402,14.677
"104","1","0","0","0","0","1","0","0","0","0","1","0",1.4062,7.641,67,1.040379863,0.043979272,0.000657119,0.001630433,0.0136,0.342
"462","1","0","1","0","0","1","1","0","0","0","0","0",3.7789,6.994,74.9697,1.164133824,0.049210639,0.000735283,0.001824375,0.5271,160
"647","2","0","0","0","0","1","0","0","0","0","1","0",31.617719,7.641,305,4.736057586,0.200204149,0.002991361,0.007422123,0.961250411,10.277
"598","2","0","0","0","0","1","1","1","0","0","0","0",1260.982,8.176774194,4851.941,75.34121961,3.184848261,0.047586575,0.11807115,83.256,6.941
"368","1","0","0","1","0","0","0","1","0","0","1","0",45.3,7.438666667,173.9,2.700329227,0.114149185,0.001705566,0.004231827,0.09,165.847
"464","1","0","1","0","0","1","1","0","0","0","0","0",1e-04,8.302258065,0.0228,0.00035404,1.5e-05,2.24e-07,5.55e-07,0.000216038,187.46
"854","2","0","0","0","0","0","1","0","0","1","1","0",93.2,7.3,1139,17.68645768,0.67,0.009,0.027717369,12.87,3.595
"183","2","0","0","0","0","1","1","1","0","0","1","1",54.729418,7.641,711.216001,11.04380307,0.466847195,0.006975421,0.017307319,2.241497289,10.511
"187","2","0","0","0","0","1","1","1","0","0","1","1",28.88339,7.641,446.0147,6.925741979,0.292767192,0.004374396,0.010853691,1.405678077,15.995
"764","3","0","0","0","0","1","0","1","0","1","1","0",8376.543,8.264946226,25262.041,392.2704293,7.008,0.247763525,0.614747423,114.116,10.685
"176","4","0","0","0","0","0","0","1","0","0","0","0",3660.621,7.179354839,19299.51,299.6839041,12.66833436,0.189284572,0.469650257,38.151,161.051
"76","2","0","0","0","0","1","1","0","0","1","1","1",2.9,7.641,282.87,4.39242167,0.185677861,0.002774315,0.006883593,0.04,5.276
"240","4","0","0","0","0","1","1","0","0","0","1","0",134.11,7.685666667,1418.81,22.03136349,0.931316882,0.013915319,0.034526497,4.471579328,93.692
"584","2","0","0","0","0","1","0","1","0","0","0","0",960.686,8.501333333,3707.776,57.57455952,2.433810293,0.036364902,0.090228091,11.68557771,11.476
"88","2","0","0","0","0","0","1","1","0","0","1","1",130.7707,8.248387097,820,12.73300728,0.538253778,0.008042347,0.019954559,2.584345366,2.28
"625","1","0","0","0","0","1","0","1","0","0","0","0",4.047,7.559333333,43.991,0.683094785,0.028876002,0.000431452,0.001070513,0.331119088,2.509
"265","3","0","0","0","0","1","1","0","0","0","1","1",122.334,7.092,851,13.21437707,0.558602397,0.008346387,0.020708939,3.220888399,1.88
"156","4","0","0","0","0","0","0","1","0","0","0","0",6080.11,7.090333333,20294.33,315.1315264,13.32134121,0.199041508,0.49385903,75.99,5.69
"523","2","0","0","0","0","1","1","1","0","0","1","0",171.5027443,7.47483871,1889,29.33250092,1.239952911,0.01852682,0.04596849,7.613460076,140.06
"456","1","0","1","0","0","1","1","0","0","0","0","0",0.8422,7.33,42.8649,0.665608639,0.028136822,0.000420408,0.00104311,0.2239,61.11
"235","4","0","0","0","0","1","1","0","0","0","1","0",55.74335552,7.717349463,908.32,14.10444533,0.596227648,0.008908566,0.022103811,2.862698272,80.446
"120","2","0","0","0","0","1","1","0","0","0","0","0",37.12199,7.349666667,557,8.649128117,0.365618725,0.005462911,0.013554499,1.755463865,10.238
"680","2","0","0","0","0","1","1","1","0","0","0","0",57.750804,7.569373656,340,5.279539605,0.223178396,0.003334632,0.008273842,0.120174,4.552
"396","1","0","0","0","0","1","0","1","0","0","0","0",0.009,6.365769231,0.719,0.011550201,0.000471957,7.05e-06,1.75e-05,0.004,170.76
"350","4","0","0","0","0","1","0","1","1","0","1","0",3086.3,7.533333333,30049.67,466.6130084,19.72481513,0.294719344,0.731253551,134.64,101.35
"610","2","0","0","0","0","1","1","1","0","0","0","0",19.381,8.142634409,156.551,2.430932955,0.10276118,0.001535411,0.003809642,0.990689889,73.787
"452","1","0","1","0","0","1","1","0","0","0","0","0",1e-04,7.566666667,0.0074,0.000114908,4.86e-06,7.26e-08,1.8e-07,1e-04,6.384
"33","3","0","0","0","0","1","1","0","0","0","1","0",435.450959,7.739032258,3964.42,61.55974235,2.602273223,0.038882,0.096473479,0.319214,17.263
"38","3","0","0","0","0","1","1","0","0","0","1","0",465.32706,7.871290323,5129,79.64340774,3.366711741,0.050303897,0.124813333,0.099491,122.901
"345","2","0","0","0","0","0","0","1","0","0","0","0",147.01,7.507741935,2533.585,39.34165397,1.663063047,0.024848742,0.061654355,7.984949579,35.727
"660","1","0","0","0","0","1","0","1","0","0","0","0",409.01525,7.641,1964,30.49710524,1.289183439,0.019262401,0.047793602,6.189822317,4.9
"230","4","0","0","0","0","1","1","0","0","0","1","0",24.77618845,7.717349463,403.72,6.268987439,0.265004653,0.003959581,0.009824457,1.27238038,67.173
"554","2","0","0","0","0","0","1","1","0","0","0","0",98.3,7.575666667,5047.56,78.37880272,3.313253951,0.049505155,0.122831504,15.90809548,7.83
"221","3","0","1","0","0","1","0","1","0","1","1","0",2.2835,8.1025,20.446,0.56203,0.002894,0.000200529,0.00049755,0.007814,3.162
