"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Ni","Zn","NH3N","HWsum"
"817","4","0","1","0","0","0","0","0","0","1","0","0",2.4699,7.570666667,0.106400075,3290.08,0.042275,0.00193,0.081926876,0.073541792,0.227003078,0.085173988,0.019501,26.9
"547","5","0","1","0","0","0","0","0","0","0","0","0",2754.39887,7.485,0.822082295,25420.25,138.4044503,0.903771595,0.632994233,0.568208291,1.75390112,0.658082502,55.89379,3.725
"188","5","0","1","1","0","0","0","0","0","1","1","0",83.11657572,7.795555556,0.089641016,2771.86,15.09181694,0.098548532,0.069022586,0.061958235,0.191247858,0.071758246,0.780655836,226.073
"137","1","0","0","1","0","0","0","0","0","0","1","0",121.292037,7.485,0.130813154,4044.9759,22.02349174,0.143811895,0.100724675,0.090415666,0.279088041,0.104716825,1.13921123,256
"221","4","0","0","1","0","0","0","0","0","0","1","0",1071.289,7.836333333,1.230021486,38034.457,207.0844352,1.352247199,0.947102878,0.850168422,2.624233701,0.984640617,10.71187607,55.44
"339","4","1","1","0","0","0","0","0","0","0","0","0",97.216,7.485,0.096638025,2988.22,16.26982215,0.106240826,0.074410206,0.066794441,0.20617588,0.0773594,0.841590622,3.47
"463","1","1","1","0","0","0","0","0","0","0","0","0",3.287078765,7.485,0.003545106,109.621,0.596848349,0.003897379,0.002729692,0.002450313,0.007563434,0.002837882,0.030873231,3.8
"578","3","0","0","0","0","0","0","0","0","1","1","0",584.64,7.286,0.8513374,26324.87,143.3297927,0.935933744,0.655520339,0.588428886,1.816316479,0.681501414,7.414033677,195.647
"745","1","0","1","1","0","0","0","0","0","0","1","0",7.840070123,7.485,0.008455496,261.459,1.42355363,0.009295708,0.006510638,0.005844284,0.018039682,0.006768682,0.073636293,34.36
"623","2","0","0","1","0","0","0","0","0","0","0","0",34.69932473,8.1025,0.037423134,1157.19,6.300498455,0.041141824,0.02,0.01,0.06,0.03,0.325906477,2.37
"448","3","1","0","0","0","0","0","0","0","0","0","0",0.001169448,7.485,1.26e-06,0.039,0.000212341,1.39e-06,9.71e-07,8.72e-07,2.69e-06,1.01e-06,1.1e-05,24.509
"249","3","1","0","1","0","0","0","0","0","0","1","0",163.96,7.269666667,0.211047609,6525.9683,35.53163542,0.232019149,0.162504314,0.56,0.450267134,0.168945056,1.83794825,49.561
"168","1","0","0","0","0","0","0","0","0","0","1","0",1.72e-05,7.485,1.86e-08,0.000575,3.13e-06,2.04e-08,1.43e-08,1.29e-08,3.97e-08,1.49e-08,1.62e-07,10
"456","1","0","0","0","0","0","0","0","0","0","1","0",25.47389039,7.485,0.027473526,849.5304,4.625398572,0.030203536,0.02115431,0.0189892,0.058614385,0.021992746,0.239258427,157.44
"842","1","0","0","1","0","0","0","0","0","0","0","0",4.175979276,7.415666667,0.004503783,139.265,0.758249654,0.004951318,0.003467863,0.003112933,0.009608758,0.003605309,0.039222051,0.058
"568","3","0","0","0","0","0","0","0","0","1","1","0",118.6031,7.430567,0.155698601,4814.4783,26.21316559,0.171170179,0.119886193,0.107616034,0.332180796,0.124637796,1.355930884,131.332
"416","2","0","0","0","0","0","0","0","0","0","1","0",1.736810366,7.485,0.001873146,57.921,0.315359769,0.002059278,0.001442301,0.001294684,0.00399633,0.001499466,0.016312644,13.13
"169","1","0","0","0","0","0","0","0","0","0","1","0",0.00059408,7.485,6.41e-07,0.019812,0.000107869,7.04e-07,4.93e-07,4.43e-07,1.37e-06,5.13e-07,5.58e-06,11.049
"223","4","0","0","1","0","0","0","0","0","0","1","0",239.42,7.701333333,0.14074415,4352.06,23.69545823,0.154729722,0.108371432,0.09727979,0.300275682,0.112666655,1.225697198,99.543
"807","3","0","0","0","0","0","0","0","0","0","1","0",91.52175915,7.485,0.098705985,3052.165,16.61798051,0.108514276,0.076002512,0.068223777,0.210587843,0.079014816,0.859599842,82.46
"160","3","0","1","0","0","0","0","0","0","0","1","0",9.36186,7.485,0.007840395,242.439,1.319996323,0.008619486,0.006037017,0.005419138,0.016727374,0.00627629,0.068279574,199.439
"673","2","0","0","0","0","0","0","0","0","0","1","0",0.073285415,7.485,7.9e-05,2.444,0.013306733,8.69e-05,6.09e-05,5.46e-05,0.000168627,6.33e-05,0.000688319,239.99
"787","4","0","1","1","0","0","0","0","0","0","1","0",34.995,6.887666667,0.063,1576.479,2.651,0.007,0.039256188,0.067,0.108771089,0.040812079,0.021,161.48
"505","2","1","0","0","0","0","0","0","0","1","1","0",10.26925377,7.485,0.011075364,342.470001,1.864630452,0.012175909,0.008527907,0.00765509,0.023629135,0.008865905,0.096451915,99.31
"451","1","0","0","0","0","0","0","0","0","0","1","0",15.68800553,7.485,0.016919474,523.1803,2.848535394,0.018600741,0.013027807,0.011694432,0.036097462,0.013544155,0.147346458,60.96
"248","3","1","0","1","0","0","0","0","0","0","1","0",354.1127,7.377333333,0.244117831,7548.5585,41.09928462,0.268375518,0.187968018,0.321,0.520821991,0.195417994,2.125946564,48.667
"625","2","0","0","1","0","0","0","0","0","0","0","0",61.88659455,7.996129032,0.066744535,2063.86,11.23700234,0.073376857,0.02,0.01,0.17,0.02,0.581257478,4
"391","2","0","0","0","0","0","0","0","0","0","1","0",0.049389692,7.485,5.33e-05,1.6471,0.008967889,5.86e-05,4.1e-05,3.68e-05,0.000113644,4.26e-05,0.000463883,5.508
"278","3","0","0","0","0","0","0","0","0","0","1","0",136.7950838,7.629677419,0.14753315,4561.988,24.83844343,0.162193337,0.113598887,0.101972223,0.31475992,0.118101296,1.284820501,38.204
"334","4","1","1","0","0","0","0","0","0","0","0","0",246.88,7.485,0.225507051,6973.08,37.96600365,0.247915407,0.173637924,0.155866361,0.48111615,0.180519937,1.963871045,1.28
"672","2","0","0","0","0","0","0","0","0","0","1","0",2.130314664,7.485,0.002297539,71.044,0.386809955,0.002525843,0.001769079,0.001588017,0.004901767,0.001839196,0.020008555,235.34
"501","2","1","0","0","0","0","0","0","0","1","1","0",4.127252272,7.485,0.004451231,137.64,0.749402092,0.004893544,0.003427398,0.00307661,0.009496639,0.003563241,0.038764393,28.79
"643","3","0","1","0","0","0","0","0","0","0","1","0",34.84355667,7.485,0.037578687,1162,6.326687238,0.041312835,0.028935172,0.025973703,0.080173606,0.030081996,0.327261146,21.35
"353","4","1","1","0","0","0","0","0","0","1","1","1",299.93,7.362142857,0.37,9538.94,51.936222,0.339139978,0.237530867,0.213219964,0.658150787,0.246945231,2.686509844,236.505
"166","3","0","1","0","0","0","0","0","0","0","1","0",11.313119,7.485,0.005156653,159.452902,0.868165783,0.005669063,0.003970565,0.003564184,0.011001647,0.004127936,0.044907693,273.78
"182","5","0","1","1","0","0","0","0","0","1","1","0",184.0696341,7.554333333,0.198518633,6138.55,33.42227706,0.218245183,0.152857141,0.137212459,0.423536736,0.158915524,1.728837272,9.839
"400","2","0","0","0","0","0","0","0","0","0","1","0",0.469569401,7.485,0.000506429,15.6597,0.085261639,0.000556753,0.000389945,0.000350035,0.00108046,0.0004054,0.004410337,29.99
"40","2","0","0","0","0","0","0","0","0","0","1","0",9.265627375,7.485,0.009992956,309,1.682397897,0.010985943,0.007694465,0.006906949,0.021319831,0.007999429,0.087025554,42.04
"276","3","0","0","0","0","0","0","0","0","0","1","0",1463.705646,7.464193548,1.578602819,48813.2132,265.7710267,1.735466628,1.215506632,1.091101483,3.367927118,1.263682359,13.74756291,30.105
"523","2","0","1","0","0","0","0","0","0","0","1","0",84.24675736,7.485,0.090859914,2809.5505,15.29702865,0.099888551,0.069961124,0.062800716,0.19384836,0.072733983,0.791270841,264.5
"273","3","0","0","0","0","0","0","0","0","0","1","0",257.3997102,7.286,0.277604933,8584.0394,46.73711921,0.305190192,0.213752714,0.191875468,0.592266257,0.222224649,2.417575365,14.419
"693","4","0","0","0","0","0","0","0","0","0","1","0",0.742089794,7.485,0.000800342,24.748,0.134744282,0.000879871,0.000616254,0.000553182,0.001707518,0.000640679,0.00696993,143.47
"316","2","0","0","0","0","0","0","0","0","0","1","0",0.340702216,7.485,0.000367446,11.3621,0.061862696,0.000403959,0.00028293,0.000253972,0.000783942,0.000294143,0.003199978,31.591
"107","2","1","0","1","0","0","0","0","0","0","1","0",9.969575169,7.485,0.010752161,332.476,1.81021658,0.01182059,0.008279045,0.007431698,0.022939587,0.008607179,0.093637243,5.847
"517","2","0","1","0","0","0","0","0","0","0","1","0",0.035944037,7.485,3.88e-05,1.1987,0.006526506,4.26e-05,2.98e-05,2.68e-05,8.27e-05,3.1e-05,0.000337597,6.64
"875","1","0","0","0","0","0","0","0","0","0","1","0",0.000180665,6.690333333,1.95e-07,0.006025,3.28e-05,2.14e-07,1.5e-07,1.35e-07,4.16e-07,1.56e-07,3e-06,5
"283","4","1","0","0","0","0","0","0","0","0","1","0",57.36292935,8.295806452,0.061865774,1913,10.41562193,0.068013299,0.047635958,0.042760495,0.131989766,0.049523975,0.538769856,16.816
"579","3","0","0","0","0","0","0","0","0","1","1","0",369.9,7.234516129,0.894180014,27649.64,150.5427061,0.983033575,0.688508676,0.61804092,1.9077206,0.71579722,7.787136731,201.481
"763","4","0","0","0","0","0","0","0","0","0","1","0",51.13924642,7.485,0.055153547,1705.446,9.285562344,0.060634087,0.042467619,0.038121126,0.117669325,0.044150792,0.480315157,92.518
"784","4","0","1","1","0","0","0","0","0","0","1","0",10.37,6.865,0.021,589.452,3.246,0.021,0.014678051,0.021,0.040669959,0.015259805,0.052,117.873
"819","4","0","1","0","0","0","0","0","0","1","0","0",38.908,7.666774194,0.093830942,2901.42,15.4701,0.31907,0.072248783,0.064854236,0.200187008,0.075112311,1.5627,28.66
"738","1","0","1","1","0","0","0","0","0","0","1","0",8.056178137,7.485,0.008688568,268.666,1.462793247,0.00955194,0.006690101,0.00600538,0.018536938,0.006955258,0.075666044,12.5
"680","4","0","1","0","0","0","0","0","0","0","1","0",6.710293286,7.485,0.007237034,223.782,1.218415425,0.007956169,0.005572436,0.005002106,0.015440112,0.005793295,0.063025089,253.244
"269","3","1","0","1","0","0","0","0","0","0","1","0",540.1818,7.571409161,0.400761879,12392.2717,67.47162411,0.440585091,0.308582194,0.2941,0.855019884,0.320812627,3.490111051,150.617
"158","3","0","1","0","0","0","0","0","0","0","1","0",14.31917,7.485,0.003154297,97.5365,0.531052435,0.003467736,0.002428774,0.002180193,0.00672965,0.002525037,0.027469799,110.392
"56","1","0","0","0","0","0","0","0","0","0","1","0",6.386985861,7.485,0.006888348,213,1.159711172,0.007572835,0.005303951,0.004761101,0.014696195,0.00551417,0.059988489,20.1
"135","3","0","1","0","0","0","0","0","0","1","1","0",1597.09673,8.733323968,1.722464765,53261.681,289.991392,1.893623957,1.326278731,1.190536236,3.674854574,1.378844831,15.00041203,43.48
"697","4","0","0","0","0","0","0","0","0","0","1","0",4.490860678,7.485,0.004843382,149.766,0.815423959,0.005324663,0.00372935,0.003347657,0.010333288,0.00387716,0.042179512,186.654
"259","3","1","0","1","0","0","0","0","0","0","1","0",146.3605,7.765333333,0.156513855,4839.6874,26.3504204,0.172066443,0.120513929,0.0367,0.333920129,0.125290412,1.363030677,64.67
"180","3","0","1","1","0","0","0","0","0","0","1","0",1.298687125,7.44483871,0.001400631,43.31,0.235807938,0.00153981,0.00107847,0.00096809,0.002988226,0.001121215,0.012197659,13.77
"328","5","1","0","0","0","0","0","0","0","0","0","0",285.154,7.485,0.609779431,18855.467,102.6614823,0.596,0.469523387,0.421468423,1.300955919,0.488132607,0.77,98.462
"816","4","0","1","0","0","0","0","0","0","1","0","0",34.3136,7.43516129,0.048154404,1489.02,10.04423,0.413803,0.037078356,0.033283446,0.102736749,0.03854793,1.62951,25.85
"683","2","0","0","0","0","0","0","0","0","0","1","0",6.953235637,7.485,0.007499047,231.8839,1.262527462,0.008244218,0.005774183,0.005183205,0.015999112,0.006003038,0.065306877,8.39
"661","4","0","1","0","0","0","0","0","0","1","1","0",2.622,7.485,0.008026963,248.208,1.351406528,0.008824592,0.006180672,0.00554809,0.017125413,0.006425639,0.069904333,2.234
"88","1","0","1","1","0","0","0","0","0","0","1","0",27.10969642,7.485,0.029237739,904.083,4.92241857,0.032143057,0.022512734,0.020208592,0.062378308,0.02340501,0.254622409,154.89
"910","4","0","1","0","0","0","0","0","0","1","1","0",939.1956,7.547204167,0.162141364,5013.7,27.2978587,0.17825315,0.124847049,0.112069154,0.34592634,0.129795271,1.412038906,274.2005
"761","4","0","0","0","0","0","0","0","0","0","1","0",174.1148719,7.485,0.187782447,5806.568,31.61475014,0.206442156,0.144590398,0.129791803,0.400631234,0.150321134,1.635339156,86.4675
"154","3","0","1","0","0","0","0","0","0","0","1","0",3.589854,7.485,0.003764844,116.4157,0.633843136,0.004138952,0.002898888,0.002602192,0.008032243,0.003013784,0.032786864,71.739
"421","2","0","1","1","0","0","0","0","0","1","0","0",728.1751604,7.485,0.78533506,24283.96,132.2177451,0.863372833,0.604699271,0.542809273,1.675501407,0.62866609,6.839239747,1.86
"260","3","1","0","1","0","0","0","0","0","0","1","0",698.1466,7.20516129,0.403528692,12477.8265,67.93744034,0.443626839,0.31071261,0.3208,0.860922842,0.32302748,3.514206371,68.349
"12","3","1","1","0","0","0","0","0","0","0","1","0",14.92364224,7.195215054,0.012515449,387,1.400362873,0.049774727,0.009636757,0.00865045,0.026701537,0.010018703,0.326656275,127.753
"515","2","0","1","0","0","0","0","0","0","0","1","0",5.784660109,7.485,0.006238741,192.913,1.050344419,0.006858677,0.004803761,0.004312104,0.013310267,0.004994155,0.054331265,0.5
"708","4","0","1","0","0","0","0","0","0","0","1","0",3.719624639,7.485,0.004011606,124.046,0.675387474,0.004410234,0.003088892,0.002772749,0.008558705,0.002,0.034935831,33.07
"346","2","0","1","0","0","0","0","0","0","0","1","0",3e-05,7.485,3.23e-08,0.001,5.44e-06,3.56e-08,2.49e-08,2.24e-08,6.9e-08,2.59e-08,2.82e-07,4.535
"163","3","0","1","0","0","0","0","0","0","0","1","0",24.14205,7.485,0.008929401,276.113,1.503339581,0.009816705,0.00687554,0.006171839,0.019050753,0.007148047,0.077763388,233.62
"432","5","0","1","0","0","0","0","0","0","0","1","0",208.5001548,7.485,0.224866887,6953.285,37.85822674,0.247211631,0.173145005,0.155423892,0.47975037,0.180007482,1.958296058,3.74
"839","5","1","0","1","0","0","0","0","0","0","0","0",32.23478779,7.485,0.034765137,1075,5.853002393,0.038219705,0.026768769,0.024029029,0.074170935,0.02782973,0.302758806,13.25
"110","2","1","0","1","0","0","0","0","0","0","1","0",7.52338957,7.485,0.008113957,250.898,1.366052646,0.00892023,0.006247656,0.005608219,0.017311013,0.006495278,0.070661934,52.47
"55","1","0","0","0","0","0","0","0","0","0","1","0",6.506929257,7.485,0.007017707,217,1.181489785,0.007715047,0.005403556,0.004850511,0.014972179,0.005617722,0.061115033,7.734
"707","4","0","1","0","0","0","0","0","0","0","1","0",25.50638306,7.485,0.027508569,850.614,4.631298398,0.030242062,0.021181293,0.019013421,0.058689149,0.006,0.239563608,2.32
