"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Zn","Ni","NH3N","HWsum"
"491","5","0","0","1","0","0","0","0","0","1","1","0",120.58,8.233225806,0.054715622,9398.01,77.31116569,1.54,1.385506963,0.250344849,0.089770607,0.215645957,1.28,115.555
"230","2","0","0","0","0","0","0","0","0","0","1","0",175.8,7.217333333,0.03954984,6793.12,55.88247149,0.880753397,1.001479575,0.180955607,0.064888471,0.155874367,1.629752872,146.68
"502","5","0","0","1","0","0","0","0","0","1","1","0",65.89,7.883185484,0.047402612,8141.92,66.97815029,2.38,1.200327181,0.216885035,0.077772326,0.18682382,14.28,198.224
"34","4","0","1","1","0","0","0","0","0","0","1","0",65.27659495,7.443790067,0.014156374,2431.513,20.00243716,0.315254748,0.355,0.064770814,0.023226023,0.055793295,0.583349815,19.3
"37","4","0","1","1","0","0","0","0","0","0","1","0",27.62056359,7.443790067,0.005990004,1028.849,8.463655126,0.133394118,0.08,0.027406552,0.009827655,0.023607884,0.246833504,24.35
"171","4","1","0","1","0","0","0","0","0","0","1","0",209.49,7.553214286,0.058656039,10074.82,82.87883056,1.306238067,1.485286062,0.268373761,0.096235554,0.231175983,2.417072984,190.155
"541","1","0","0","1","0","0","0","0","0","0","1","0",67.30312507,7.514193548,0.014595863,2507,20.6234184,0.32504192,0.369595899,0.066781642,0.023947081,0.057525414,0.601460073,36.12
"613","4","0","1","1","0","0","0","0","0","0","1","0",53.3,8.032857143,0.005466375,938.91,7.723786906,0.121733191,0.001731565,0.02501075,0.008304017,0.021544151,0.225256034,210.4
"300","4","1","1","0","0","0","0","0","0","0","1","0",202.0967072,7.443790067,0.043828215,7527.978,61.92765857,0.976030483,1.109816433,0.200530805,0.071907899,0.172736358,1.806054327,192.88
"350","3","0","1","1","0","0","0","0","0","1","1","1",39.16779056,7.443790067,0.008494222,1458.9761,12.00202415,0.189161704,0.21509038,0.038864308,0.013936266,0.033477544,0.350026275,185.265
"33","4","0","1","1","0","0","0","0","0","0","1","0",54.39689847,7.443790067,0.011796921,2026.251,16.66861674,0.262711015,0.328,0.053975416,0.019354925,0.046494187,0.486122487,17.86
"384","3","0","1","1","0","0","0","0","0","0","1","0",1.999764574,7.443790067,0.000433684,74.49,0.612779592,0.009657907,0.010981731,0.00198427,0.000711535,0.001709241,0.017871065,20.39
"394","2","0","0","0","0","0","0","0","0","1","1","0",32.896977,7.443790067,0.009839253,1690,13.90250383,0.219114816,0.24914921,0.045018338,0.016143027,0.0387786,0.405451744,88.117
"616","1","0","1","1","0","0","0","0","0","0","0","0",2.843268439,7.687171727,0.000616613,105.91,0.871250994,0.013731627,0.015613842,0.002821238,0.001011662,0.002430202,0.025409109,15
"290","3","0","0","1","0","0","0","0","0","0","1","0",53.90341381,7.443790067,0.011689901,2007.869,16.51740027,0.26032772,0.296011228,0.053485755,0.019179339,0.046072395,0.481712419,141.106
"30","4","0","1","1","0","0","0","0","0","0","1","0",48.96096976,7.443790067,0.010618045,1823.766,15.00290757,0.236458078,0.175,0.048581606,0.017420771,0.041847983,0.43754385,13.025
"85","2","1","0","1","0","0","0","0","0","0","0","0",3468.67,7.122054032,0.109757861,18852.12,155.0838287,2.444247817,2.95,0.502184093,0.180077085,0.43257918,4.522854994,254.181
"261","4","1","1","1","0","0","0","0","0","0","1","0",179.8481652,7.443790067,0.039003228,6699.2335,55.11012982,0.868580661,0.987638304,0.178454651,0.063991659,0.153720055,1.607228348,170.32
"577","4","0","0","0","0","0","0","0","0","0","1","0",61.69,7.443790067,0.018587456,3192.6,35.07,0.413932522,0.470670869,0.085044702,0.030495992,0.073257134,0.765943929,108.53
"107","5","0","0","0","0","0","0","0","0","0","1","0",397.6985786,7.800967742,0.013448449,2309.919,19.00216435,0.299489632,0.340541121,0.061531784,0.022064547,0.05300321,0.554177922,180.87
"42","4","0","1","1","0","0","0","0","0","0","1","0",71.81750836,7.443790067,0.015574886,2675.158,22.00674221,0.346844233,0.487,0.071261046,0.025553341,0.061383953,0.641803241,71.98
"457","2","0","0","1","0","0","0","0","0","0","1","0",121.1637462,7.12483871,0.026276483,4513.275,37.1277059,0.585162972,0.665372131,0.120224936,0.043111194,0.103561233,1.082790072,6.264
"215","1","1","1","0","0","0","0","0","0","1","0","0",3.034144075,7.443790067,0.000658007,113.02,0.929740227,0.014653465,0.016662038,0.003010635,0.001079577,0.002593348,0.027114885,0.047
"412","3","0","0","0","0","0","0","0","0","1","1","0",49.07463607,7.443790067,0.010642695,1828,15.03773787,0.237007032,0.269493938,0.048694392,0.017461215,0.041945136,0.438559638,265.072
"547","1","0","0","1","0","0","0","0","0","0","1","0",61.37014117,7.611481481,0.013309191,2286,18.80539867,0.296388444,0.337014849,0.060894628,0.02183607,0.052454366,0.54843946,45.64
"372","2","0","1","0","0","0","0","0","0","0","0","0",11.09470674,7.443790067,0.002406082,413.271,3.399705125,0.05358213,0.060926712,0.011008742,0.0039476,0.009482882,0.099148786,2.544
"258","4","1","1","1","0","0","0","0","0","0","1","0",178.5748019,7.443790067,0.038727077,6651.8015,54.71993836,0.862430925,0.980645615,0.177191154,0.063538585,0.152631685,1.595848829,87.381
"406","3","0","0","0","0","0","0","0","0","1","1","0",29.85284207,7.443790067,0.006474112,1112,9.147682994,0.144174956,0.163937232,0.029621534,0.01062192,0.02551586,0.26678245,225.032
"470","2","0","1","0","0","0","0","0","0","0","0","0",89.3,7.533870968,0.024580667,4222,34.73158057,0.54739808,0.622430748,0.112465932,0.04032891,0.096877661,1.012909624,81.204
"147","5","0","1","0","0","0","0","0","0","0","0","0",453.4109,7.33,0.024197432,4156.1752,34.19008381,0.538863648,0.61272649,0.110712486,0.039700146,0.095367251,0.997117447,16.758
"385","3","0","1","1","0","0","0","0","0","0","1","0",4.249734622,7.443790067,0.000921629,158.3,1.302228613,0.020524187,0.023337467,0.004216806,0.001512095,0.003632339,0.037978113,30.58
"445","3","0","0","0","0","0","0","0","0","1","1","0",120.5968,7.09516129,0.034123579,5861.1,48.21536402,0.759913521,0.864075997,0.156128392,0.055985736,0.134488314,1.406149834,186.62
"509","4","0","1","0","0","0","0","0","0","0","1","1",72.77972559,7.443790067,0.01578356,2711,22.30159046,0.351491282,0.399670715,0.072215808,0.025895707,0.062206381,0.650402177,6.8
"428","3","0","0","0","0","0","0","0","0","1","1","0",118.6277,7.426451613,0.029081852,4995.128,41.09158944,0.647637014,0.736409583,0.13306057,0.047713896,0.114617792,1.198392521,67.508
"333","3","0","0","1","0","0","0","0","0","0","1","0",75.63322507,7.443790067,0.016402391,2817.2911,23.17597651,0.365272321,0.415340741,0.075047198,0.026911009,0.064645328,0.675902717,210.66
"608","4","0","1","1","0","0","0","0","0","0","1","0",315.45,8.078387097,0.014628117,2512.54,20.66899229,0.325760202,0.007,0.066929217,0.024,0.057652534,0.602789187,178.133
"260","4","1","1","1","0","0","0","0","0","0","1","0",180.682536,7.443790067,0.039184176,6730.3133,55.36580262,0.872610274,0.992220261,0.179282557,0.064288536,0.15443321,1.614684774,124.059
"52","2","0","0","1","0","0","0","0","0","0","1","0",20.16140683,8.583103448,0.004372355,751,6.177976554,0.097369957,0.110716602,0.020005191,0.007173617,0.017232384,0.180174118,23.44
"540","1","0","0","1","0","0","0","0","0","0","1","0",63.67890413,7.159,0.013809887,2372,19.51286336,0.307538665,0.349693447,0.063185502,0.02265755,0.054427715,0.569071916,34.3
"349","3","0","1","1","0","0","0","0","0","1","1","1",82.89634101,7.443790067,0.017977525,3087.8377,25.40158311,0.400349698,0.455226227,0.082254037,0.029495294,0.070853267,0.740810167,150.326
"373","2","0","1","0","0","0","0","0","0","0","0","0",13.70379682,7.443790067,0.002971909,510.458,4.199197811,0.066182788,0.075254561,0.013597616,0.004875939,0.011712927,0.12246514,2.711
"317","2","1","0","0","1","0","0","0","0","0","1","0",7.473165045,7.443790067,0.001620687,278.3708,2.289971073,0.036091815,0.041038973,0.007415261,0.002659022,0.006387473,0.066784572,26.92
"484","5","0","0","1","0","0","0","0","0","1","1","0",45.37,7.374333333,0.044953278,7721.22,63.51733173,0.444463003,1.138305245,0.205678399,0.073753763,0.177170473,0.91,93
"584","4","0","0","0","0","0","0","0","0","0","1","0",50.65,7.443790067,0.02111399,3626.56,23.83,0.470197058,0.534647668,0.096604559,0.034641216,0.083214745,0.870056259,143.03
"237","2","0","0","0","0","0","0","0","0","0","1","0",170.8,6.721290323,0.027375481,4702.04,38.68054977,0.60963706,0.693200918,0.125253271,0.044914294,0.107892619,1.128077113,206.78
"565","2","0","1","1","0","0","0","0","0","0","1","0",13.44905435,7.443790067,0.002916663,500.969,4.121138131,0.064952503,0.073855639,0.013344847,0.004785299,0.011495193,0.120188612,122.911
"465","2","1","1","1","0","0","0","0","0","0","1","0",161.2382,8.173666667,0.039075237,6711.6018,55.21187558,1.2955,0.989461708,0.178784119,0.064109803,0.154003857,1.610195655,123.47
