"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Fe","Cu","Cr","Zn","Ni","NH3N","HWsum"
"3628","3","1","0","1","1","0","0","0","0","0","0","1",639.4,8.076666667,0.016867557,5157.41,22.821,1.28,3.145912699,0.0325,0.086297709,0.584055869,0.000206207,2.4,36.252
"2603","4","1","0","1","1","0","0","0","0","0","0","1",339.784,6.845,0.005465625,1671.165,7.664997784,0.120902993,1.019375849,0.062582304,0.027963205,0.189252692,0.025366931,0.777075149,59.6
"200","1","1","0","1","1","0","0","0","0","0","0","1",53.55,7.559333333,0.003107241,2141,9.819952103,0.154893926,1.305965414,0.03899859,0.001055467,0.21782039,0.000187019,0.36,28.1
"4446","3","1","0","1","1","0","0","0","0","0","0","1",1.132654769,7.473833334,0.000159312,48.711,0.223418817,0.003524072,0.029712696,0.001824145,0.00081507,0.005516324,0.000739394,0.022650132,30.698
"4662","4","0","1","0","0","0","0","0","0","1","0","1",2.948,7.473833334,0.000488976,149.509,0.685740878,0.010816458,0.091197377,0.005598859,0.002501698,0.016931291,0.002269425,0.083,2.752
"5098","2","0","1","0","0","0","0","0","0","1","0","1",0.2348,7.473833334,3.6e-05,11,0.050452813,0.000795812,0.006709771,0.000411931,0.00018406,0.001245706,0.000166971,0.005114891,1.415
"2058","2","1","0","1","1","0","0","0","0","0","0","1",246.65,8.317,0.008783739,2685.708482,12.31832259,0.01,1.638226245,0.05,0.136806,0.15,7e-06,14.08,24.912
"4718","3","1","0","1","1","0","0","0","0","0","0","1",47.84916,7.473833334,0.005695,616,2.825357541,0.044565464,0.375747172,0.023068159,0.010307381,0.069759514,0.009350381,0.28643389,19.507
"2038","1","0","1","0","0","0","0","0","0","1","0","1",15.449386,6.825806452,0.003663014,1120,5.137013711,0.081028116,0.683176676,0.041942107,0.018740692,0.12683548,0.017000692,0.391519,2.5
"2071","1","0","1","0","0","0","0","0","0","0","0","0",0.286206567,7.473833334,4.03e-05,12.308612,0.056454918,0.000890485,0.007507997,0.000460937,0.000205957,0.001393901,0.000186835,0.005723382,0.799
"1818","3","1","0","1","1","0","0","0","0","0","0","1",97.49013,7.473833334,0.033294179,10180,46.69178534,0.736487702,6.209588005,0.38122379,0.170339508,1.152843916,0.154524151,4.733599026,24.7981
"2926","3","0","1","0","0","0","0","0","0","1","0","1",13.8678,6.904193548,0.001431548,437.709,2.007604584,0.031666728,0.266993375,0.016391462,0.00732408,0.024281951,0.000528915,0.203530343,10.64
"3064","3","1","0","1","1","0","0","0","0","0","0","1",110.413,7.567096774,0.014444026,4416.393,20.25631374,0.31951072,2.69390776,0.165386452,0.073898449,0.500138684,0.056524018,2.053578939,30.776
"3283","2","1","0","1","1","0","0","0","0","0","0","1",27.88782002,7.727096774,0.006194457,1894.012,8.687112154,0.137025201,1.155307878,0.063951279,0.023921046,0.117519579,0.033019834,0.1690789,20.92
"92","2","0","1","0","0","0","0","0","0","1","0","1",6.02784,7.724736842,3e-06,882,4.045398297,0.063809642,0.538001633,0.020287,0.000118016,0.09988294,9e-06,0.18,5.95
"2412","3","1","0","1","1","0","0","0","0","0","0","1",72.935507,7.242275043,0.004032586,1233,5.655301701,0.089203275,0.752104323,0.046173766,0.020631494,0.139632274,0.018715941,0.57333277,13.745
"541","3","0","1","0","0","0","0","0","0","1","0","1",77.04942721,7.473833334,0.007228528,3313.591,15.19818071,0.239726819,2.021221506,0.124088381,0.055445526,0.375250808,0.009786577,1.540786948,3.136
"3118","2","1","0","1","1","0","0","0","0","0","0","1",99.89235638,7.808,0.014050193,4295.975,19.70400221,0.310798895,2.620455288,0.160877001,0.006878149,0.835,0.017000018,1.997585764,24.48
"1474","2","0","1","0","0","0","0","0","0","0","0","0",26.8519,7.691333333,0.010245155,3132.55,14.36781455,0.226629131,1.910790266,0.117308702,0.052416211,0.354748645,0.027165,1.456604679,0.4
"1436","3","1","0","1","1","0","0","0","0","0","0","1",95.82374214,7.473833334,0.013477929,4121,18.90145848,0.298140061,2.513724182,0.154324483,0.068955708,0.466686619,0.062553441,1.916224124,39.86
"4190","1","1","0","1","1","0","0","0","0","0","0","1",14.21335128,8.0164,0.012704115,611.26,2.803616965,0.044222542,0.372855871,0.022890654,0.010228068,0.069222728,0.009278432,0.284229837,11.6811
"3178","2","1","0","1","1","0","0","0","0","0","0","1",70.15,8.464,0.012260107,3748.64,17.19358489,0.271201106,2.286592336,0.140380231,0.08,2.217443135,0.056901318,1.743080418,17.91
"546","3","0","1","0","0","0","0","0","0","1","0","1",63.29343026,7.473833334,0.005937985,2722,12.48477797,0.196927262,1.660363315,0.101934298,0.045546576,0.308255515,0.008039333,1.265703001,9.52
"1564","3","0","1","0","0","0","0","0","0","1","0","1",37.28031873,8.833548387,0.005243601,1603.279,7.35363054,0.115991676,0.977966802,0.060040088,0.026827284,0.181564876,0.024336476,0.745508832,6.468
"4952","3","1","0","1","1","0","0","0","0","0","0","1",680.6604323,7.478306452,0.089,29272.512,134.261871,2.117764743,17.85562273,1.096206087,0.144,3.314993848,1.515,13.61142773,17.571
