"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","NH3N","HWsum"
"136","3","0","0","0","0","0","0","0","1","0","0","0",56.46,8.222608696,498.567,6.550134068,0.139821755,0.18,434.154
"183","2","0","0","0","0","0","0","0","1","1","0","0",720.083,7.127096774,9936.642,130.5468218,2.786704148,3.722,779.24
"167","3","0","0","0","0","0","0","0","1","1","0","0",309.403762,7.581304348,6272,82.40104313,1.758965294,4.759990883,892.484
"45","2","0","0","1","0","0","0","0","1","1","0","0",390.207,7.192666667,11314.771,148.6525723,3.173196667,12.873,964.124
"64","2","0","0","0","0","0","1","0","1","1","0","1",405.14,8.310666667,11174.909,146.8150763,3.133972751,37.834,1153.153
"128","2","0","0","0","0","0","0","0","1","0","0","0",374.0189,7.610666667,3902,51.26416937,1.094305258,0.97459,1102.309
"87","2","0","0","0","0","0","0","0","1","1","1","0",206.041,7.581304348,9760.175,128.2284122,2.737214459,16.297,1089.104
"58","2","0","0","0","0","0","1","0","1","1","0","1",610.776,7.626129032,10652.128,139.9468206,2.987360245,30.837,868.0576
"44","2","0","0","1","0","0","0","0","1","1","0","0",248.61,7.35529571,9690.135,127.3082322,2.717571932,12.097,913.9314
"185","2","0","0","0","0","0","0","0","1","1","0","0",688.59,7.319032258,3715.193,48.80991369,1.041915744,1.208,832.482
"159","3","0","0","0","0","0","0","0","1","1","0","0",86.70015,7.581304348,6790,89.20648643,1.904236981,5.15311513,734.39
"54","2","0","0","0","0","0","1","0","1","1","0","1",392.533,7.550322581,13709.101,180.1090916,3.844679986,8.643,774.6395
"170","3","0","0","0","0","0","0","0","1","1","0","0",246.304197,7.581304348,9097,119.5156711,2.551228839,6.90395999,982.509
"24","1","0","0","0","0","0","0","1","1","1","0","1",571.2245,7.581304348,35664.4983,468.5573761,10.00201128,27.0667549,0.152
"126","2","0","0","0","0","0","0","0","1","0","0","0",115.211432,7.497096774,1728.063636,22.70316425,0.484630734,0.863665,1044.39
"155","3","0","0","0","0","0","0","0","1","1","0","0",290.170413,7.581304348,6125,80.46976868,1.717739545,4.648428596,662.15
"118","2","0","0","0","0","0","0","0","1","0","0","0",343.8598,7.071612903,5206.493,68.4024959,1.460146762,3.125038,682.19
"1","2","0","0","0","0","0","0","0","1","1","1","1",131.362,7.073333333,2228.037,29.27177502,0.6248469,1.234,0.03
"83","2","0","0","0","0","0","0","0","1","1","1","0",537.982,7.581304348,13847.017,181.9210212,3.883358152,42.194,1038.68
"28","1","0","0","0","0","0","0","1","1","1","0","1",535.248,7.581304348,25501.283,335.0338521,7.151765266,19.35361521,0.301
"173","3","0","1","0","0","0","1","0","1","1","0","0",689.894,6.73375,14296,110.331,2.5493,4.0132,546
"3","2","0","0","0","0","0","0","0","1","1","1","1",212.025,7.035333333,3834.123,50.37240668,1.075269338,2.499,800.656
"63","2","0","0","0","0","0","1","0","1","1","0","1",265.519,7.848387097,9813.637,128.9307917,2.752207731,17.18,1052.2905
"119","2","0","0","0","0","0","0","0","1","0","0","0",363.175,7.584677419,3539,46.4951039,0.992502898,2.28958,718.092
"59","2","0","0","0","0","0","1","0","1","1","0","1",687.738,8.029677419,10287.478,135.1560776,2.885095147,19.928,876.2795
"187","2","0","0","0","0","0","0","0","1","1","0","0",538.741,7.990967742,4697.295,61.71269259,1.317343572,1.336,850.095
"74","2","0","0","0","0","0","0","0","1","1","1","0",611.891,7.581304348,11734.345,154.1649025,3.290865051,27.309,844.14
"191","2","0","0","0","0","0","0","0","1","1","0","1",167.044,7.356129032,4671.821,61.37801718,1.310199458,5.465,0.0503
"39","2","0","0","1","0","0","0","0","1","1","0","0",212.621,7.092580645,6680.367,87.76613669,1.873490705,2.381,704.8353
"35","2","0","0","1","0","0","0","0","1","1","0","0",551.035,7.366,17789.131,233.7122052,4.988913272,9.037,581.039
"46","2","0","0","1","0","0","0","0","1","1","0","0",244.963,7.51,9703.191,127.4797609,2.721233452,29.008,998.6919
"125","2","0","0","0","0","0","0","0","1","0","0","0",301.542,7.735,3459,45.44407018,0.970067116,1.59112,993.011
"152","3","0","0","0","0","0","0","0","1","1","0","0",567.32848,7.581304348,6515,85.59355804,1.827113981,4.944410172,607.805
"79","2","0","0","0","0","0","0","0","1","1","1","0",369.835,7.581304348,8916.207,117.1404269,2.500525935,25.334,944.643
"18","1","0","0","0","0","0","0","1","1","1","0","1",23.8092,7.581304348,1070.7049,14.06683684,0.300276269,0.812586984,0.0164
"43","2","0","0","1","0","0","0","0","1","1","0","0",269.943,7.368387097,10490.346,137.8213414,2.941988925,7.022,820.2446
"143","3","0","0","0","0","0","0","0","1","0","0","0",452.13,8.245971015,4558.226,59.88561499,1.27834205,7.500575257,557.479
"62","2","0","0","0","0","0","1","0","1","1","0","1",255.944,8.459032258,8121.741,106.702795,2.277720113,11.922,985.422
"161","3","0","0","0","0","0","0","0","1","1","0","0",125.90912,7.581304348,7641,100.3868576,2.14289761,5.798962107,753.455
"181","2","0","0","0","0","0","0","0","1","1","0","0",1239.319,7.232903226,12233.574,160.7237339,3.430872463,5.728,469.769
"151","3","0","0","0","0","0","0","0","1","1","0","0",322.873548,7.581304348,5285,69.43391469,1.482163836,4.010929817,560.866
"2","2","0","0","0","0","0","0","0","1","1","1","1",148.882,7.043333321,3361.636,44.1649096,0.942761648,0.484,573.438
"17","1","0","0","0","0","0","0","1","1","1","0","1",12.2943,7.581304348,661.328,8.688475295,0.185467634,0.501899753,0.0145
"85","2","0","0","0","0","0","0","0","1","1","1","0",459.629,7.581304348,14222.948,186.8599732,3.988786976,18.726,1084.9525
"154","3","0","0","0","0","0","0","0","1","1","0","0",798.877484,7.581304348,6066,79.69463132,1.701193156,4.603651896,646.47
"48","2","0","0","0","0","0","1","0","1","1","0","1",467.37,7.909,9380.3,123.2376443,2.630679552,47.16,612.84
"5","2","0","0","0","0","0","0","0","1","1","1","1",279.221,6.959677419,6528.556,85.7716557,1.830915724,1.651,989.592
"145","3","0","0","0","0","0","0","0","1","0","0","0",259.68,7.818709677,1900.334,24.96643876,0.532943487,3.03,618.456
