"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Cr","NH3N","HWsum"
"1","2","0","0","0","0","0","0","0","1","1","1","1",131.362,7.073333333,2228.037,39.36099305,0.812921101,0.062656382,0.002393553,1.234,0.03
"2","2","0","0","0","0","0","0","0","1","1","1","1",148.882,7.043333321,3361.636,59.387403,1.226525788,0.094535211,0.003611365,0.484,573.438
"3","2","0","0","0","0","0","0","0","1","1","1","1",212.025,7.035333333,3834.123,67.73446255,1.398917293,0.10782239,0.004118952,2.499,800.656
"4","2","0","0","0","0","0","0","0","1","1","1","1",177.847,7.05,3053.093,53.93661431,1.113950855,0.085858431,0.003279901,2.006,970.463
"5","2","0","0","0","0","0","0","0","1","1","1","1",279.221,6.959677419,6528.556,115.3349102,2.382007538,0.183594661,0.007013549,1.651,989.592
"6","2","0","0","0","0","0","0","0","1","1","1","1",468.319,7.190967742,6900.502,121.9057903,2.517715676,0.194054447,0.007413126,2.451,1000.499
"7","2","0","0","0","0","0","0","0","1","1","1","1",199.595,7.106451613,3509.806,62.0050069,1.280587062,0.098702017,0.003770542,0.394,1041.423
"8","2","0","0","0","0","0","0","0","1","1","1","1",194.275,7.073,3104.211,54.83967617,1.132601758,0.08729596,0.003334817,1.278,1102.782
"9","2","0","0","0","0","0","0","0","1","1","1","1",112.911,7.246451613,2151.451,38.00800788,0.784977949,0.060502647,0.002311278,2.536,1179.844
"10","2","0","0","0","0","0","0","0","1","1","1","1",254.763,7.426666667,3469.505,61.29304055,1.265882848,0.097568681,0.003727248,3.901,1302.609
"11","2","0","0","0","0","0","0","0","1","1","1","1",139.174,7.357096774,2889.428,51.04527232,1.054236079,0.081255879,0.003104078,0.595,1310.277
"12","2","0","0","0","0","0","0","0","1","0","0","0",1032.0955,7.351785786,30554.18,539.7768827,11.14799154,0.859238141,0.032823988,75.5721,0.86
"13","2","0","0","0","0","0","0","0","1","0","0","0",1147.4,7.351785786,30199.43,533.509791,11.01855753,0.849261937,0.032442885,42.618,8.673
"14","2","0","0","0","0","0","0","0","1","0","0","0",1086,7.351785786,29375.91,518.9613051,10.7180882,0.826103083,0.031558187,48.316,74.635
"15","2","0","0","0","0","0","0","0","1","0","0","0",407.24,7.351785786,22419.58,396.069245,8.180003137,0.630478653,0.024085085,20.93,402.553
"16","2","0","0","0","0","0","0","0","1","0","0","0",918.424,7.351785786,22786.18,402.5456815,8.313760734,0.6407881,0.024478919,13.72,405.249
"17","2","0","0","0","0","0","0","0","1","0","0","0",1689.28,7.351785786,25958.93,458.5961827,9.471369616,0.7300115,0.027887367,90.59,491.346
"18","2","0","0","0","0","0","0","0","1","0","0","0",547.485,7.351785786,25529.65,451.0124276,9.314742608,0.717939379,0.027426196,31.341,497.964
"19","2","0","0","0","0","0","0","0","1","0","0","0",1396.787,7.351785786,20267.04,358.0419986,7.394627855,0.569945382,0.021772638,109.586,502.675
"20","2","0","0","0","0","0","0","0","1","0","0","0",1203,7.351785786,21490.29,379.6522029,7.840942587,0.604345357,0.02308676,63.087,525.54
"21","2","0","0","0","0","0","0","0","1","0","0","0",1183.3,7.351785786,25363.28,448.0732985,9.254040886,0.713260757,0.027247467,78.396,527.938
"22","2","0","0","0","0","0","0","0","1","0","0","0",742.304,7.351785786,28317.67,500.2662038,10.33197899,0.796343483,0.030421333,26.164,576.77
"23","2","0","0","0","0","0","0","0","1","0","0","0",544.564,7.351785786,22991.55,406.1737932,8.388691988,0.646563471,0.024699546,31.08,577.275
"24","2","0","0","0","0","0","0","0","1","0","0","0",1705.1,7.351785786,22938.4,405.2348336,8.36929969,0.645068798,0.024642448,51.355,577.36
"25","2","0","0","0","0","0","0","0","1","0","0","0",757.782,7.351785786,34442.22,608.4638549,12.56658098,0.968576774,0.037000863,5.248,590.688
"26","2","0","0","0","0","0","0","0","1","0","0","0",4032,7.351785786,28700.21,507.0242398,10.47155245,0.807101192,0.030832291,34.237,700.53
