industry,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Cr6,Cr,Fe,Cu,Ni,Zn,HWsum
2614,3,0,0,0,0,1,1,0,0,1,0,0,76.758,6.982580645,1334.729,8.623056379,0.439381776,0.724,0,0,0,0,0,0,65.975
2614,3,0,0,0,0,1,1,0,0,0,0,0,55.42,7.151290323,501,3.236725392,0.097799468,0.978395749,0,0,0,0,0,0,84.98
3130,5,1,0,0,0,0,0,0,0,0,0,0,148.151,7.485,18783.755,102.2710353,0.932,0.772,0.607460289,0.419865475,0,0.467737673,0.486276118,1.296008062,58.534
2614,2,0,0,0,0,1,0,1,0,0,0,0,3935.611,7.134472036,24110.927,155.7693606,7.937118271,47.0858852,0,0,0,0,0,0,87.449
3360,4,1,0,1,1,0,0,0,0,0,0,1,110.0277,7.62516129,4131,18.94732468,0.298863526,1.04,0.013510634,0.069123036,2.519823973,0.16,0.062705233,0.31605,60.7265
3360,4,0,1,1,0,0,0,0,0,1,1,0,63.52,7.053225806,1224.066,5.614324844,0.088556931,0.698,0.004003367,0.020482004,0.746654769,0.045839202,0.01858033,0.138620534,143.201
2614,2,0,0,0,0,1,1,1,0,1,1,0,9.521,8.0674,177.938,0.793,0.003088772,0.013,0,0,0,0,0,0,0.557
2669,2,0,0,0,0,1,1,1,1,0,0,1,56.07,7.641,818.412,12.70834873,0.537211404,0.548,0,0,0,0.008026772,0.019915915,0,1
3360,2,0,1,0,0,0,0,0,0,1,0,1,11.4138,7.456206897,1028,4.715044727,0.074372235,0.08,4.60E-05,0.000137551,0.627058592,0.013175,1.50E-05,0.116416851,6.352
3360,2,0,1,0,0,0,0,0,0,1,0,1,42.6549,7.454193548,317.8276,1.457754231,0.022993725,0.0312,0.00103947,0.005318133,0.193868217,0.0269,0.004824365,0.035992693,3.5803
3360,2,0,1,0,0,0,0,0,0,1,0,1,12.74630165,7.913870968,548.168,2.514237975,0.039658054,0.254892683,0.002,0.023,0.334371065,0.020527965,0.008453352,0.062077814,5.6
2631,4,0,0,0,0,1,0,0,0,0,0,0,1483.04,7.486666667,11899.67,233.8465796,51.29,40.76,0,0,0,0,0,0,29.459
2614,4,0,0,0,0,1,1,1,1,1,1,0,580.101633,6.946666667,4266,27.56061981,1.404332009,3.508970695,0,0,0,0,0,0,4.255
3360,2,0,1,0,0,0,0,0,0,1,0,1,32.157041,7.186666667,322,1.476891442,0.531885,1.773387,0.001053116,0.005387949,0.196413294,0.019637,0.0108,0.0364652,1.29
2614,4,0,0,0,0,1,1,1,1,0,0,0,6485.084189,6.887741935,32965.204,212.9726803,0.254925,19.720749,0,0,0,0,0,0,14.028
2614,1,0,0,0,0,1,0,1,0,1,0,0,21.715,7.592333333,286.562,1.851342319,0.094333846,4.589,0,0,0,0,0,0,8.38
3130,1,0,1,1,0,0,0,0,0,0,1,0,10.39804297,7.485,346.765,1.888015232,0.01232861,0.097661542,0.011214263,0.007751094,0,0.008634858,0.008977094,0.023925474,5.07
2614,4,0,0,0,0,0,1,0,0,0,0,0,963.16,7.539795699,10783.16,69.66492571,3.549727319,21.05827925,0,0,0,0,0,0,11.18
3360,2,0,1,0,0,0,0,0,0,1,0,1,46.252789,7.800538467,3489,16.00271503,0.11,0.197011,0.011410942,0.058380603,2.128217343,0.130657152,0.01,0.395115169,2.471
2669,4,0,0,0,0,1,0,0,0,0,1,0,1714.896116,7.641,15757,244.6756046,10.34300583,49.66040236,0,0,0,0.154540556,0.383443885,0,23.73
2614,2,0,0,0,0,1,0,0,0,0,0,0,2.023,8.488064516,241.516,1.560321297,0.079505075,0.113,0,0,0,0,0,0,6.52
3360,3,0,1,0,0,0,0,0,0,1,0,1,84.7,6.462758621,1663.87,7.631538396,1.06,49.37,0.005441767,0.027841139,1.014926051,0.062309119,0.025256198,0.188426563,1.07
3360,3,0,1,0,0,0,0,0,0,1,0,1,44.88374,6.903333333,1620,7.430323403,0.117201383,1.651546,0.005298288,0.027107073,0.988166264,0.060666261,0.022919,0.183458462,9.04
3360,1,0,1,0,0,0,0,0,0,0,0,0,2.534527516,7.473833334,109,0.499941513,0.007885772,0.050683919,0.00035649,0.001823871,0.06648773,0.004081866,0.001654532,0.01234381,0.379
3360,3,0,1,0,0,0,0,0,0,0,0,0,698.1748313,7.473833334,30025.737,137.7166274,2.17225796,13.96166988,0.098200617,0.502413483,18.31507429,1.12441309,0.455766359,3.400293539,0.5741
3130,1,0,0,0,0,0,0,0,0,0,1,0,8.63,7.375,51,0.277677323,0.001813214,0.014363441,0.001649323,0.001139982,0,0.00126996,0.001320294,0.003518807,0.492
3360,1,0,1,0,0,0,0,0,0,1,0,1,18.777,7.500982161,863.59,3.960958634,0.062477742,0.401560784,0.002824413,0.014450245,0.526771916,0.032339986,0.013108596,0.097798082,9.947
3360,2,0,1,0,0,0,0,0,0,1,0,1,847.698724,7.473833334,36456.168,167.2105668,2.637477346,16.95175652,0.11923165,0.610012349,22.23750329,1.365221859,0.553375091,4.128513899,8.5511
2631,3,0,0,0,0,1,0,1,0,1,0,0,2234.32,6.868888889,22460,441.373095,21.44202001,27.2507,0,0,0,0,0,0,172.048
3360,1,1,0,1,1,0,0,0,0,0,0,1,66.33232773,7.473833334,1124.582,5.158029601,0.081359608,0.498306345,0.003678,0.003029218,0.685971601,0.074335177,0.002766489,0.127354373,11.684
2614,3,0,0,0,0,1,1,1,0,1,1,1,25429.03,6.836333333,93375.4,603.2545473,20.34,182.3514859,0,0,0,0,0,0,83.952
3360,2,1,0,1,1,0,0,0,0,0,0,1,37.61,7.672258065,907.77,4.163595479,0.065674012,5.64,0.002968905,0.08,0.553720796,0.074544688,0.08,0.14,22.35
2614,2,0,0,0,0,1,1,0,0,0,1,0,106.657,7.282903226,1462.525,9.448686236,0.481451165,1.484,0,0,0,0,0,0,0.0475
3360,1,0,1,0,0,0,0,0,0,1,0,1,0.809507254,7.473833334,34.813704,0.15967721,0.002518651,0.016188027,0.00011386,0.000582529,0.021235634,0.001303714,0.000528444,0.003942511,1.1
