industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Cr6,Cr,Fe,Cu ,Ni,Zn,HW17,HWsum
2614,202009,3,0,0,0,0,0,0,1,0,1,0,0,308.036698,7.564535843,2485,16.05441637,0.818041501,4.852921031,0,0,0,0,0,0,0,96.4
2614,202011,3,0,0,0,0,0,0,1,0,1,0,0,154.996201,7.564535843,904,5.840318871,0.297589343,1.765408697,0,0,0,0,0,0,0,105.12
2614,202012,3,0,0,0,0,0,0,1,0,1,0,0,98.614301,7.564535843,1221,7.888306794,0.401943128,2.384473472,0,0,0,0,0,0,0,196.1
2614,202207,1,0,0,0,0,0,1,0,0,1,0,0,0.975105,7.364516129,17.49042,0.112997378,0.005757702,0.101159,0,0,0,0,0,0,0,0.23
2614,202211,1,0,0,0,0,0,1,0,0,1,0,0,1.0198,7.619354839,24,0.155052713,0.007900602,0.138808331,0,0,0,0,0,0,0,0.29
2614,202008,1,0,0,0,0,0,1,0,0,1,0,0,0.5099,7.95,12,0.077526357,0.003950301,0.1518,0,0,0,0,0,0,0,0.5135
2614,202009,1,0,0,0,0,0,1,0,0,1,0,0,1.7855,8.04862069,49,0.316565957,0.016130396,0.06194,0,0,0,0,0,0,0,0.5142
2614,202209,1,0,0,0,0,0,1,0,0,1,0,0,3.187084,7.407333333,54.869234,0.354484317,0.018062499,0.134169,0,0,0,0,0,0,0,0.545
2614,202209,1,0,0,0,0,0,1,0,0,1,0,0,2.124583333,7.619354839,50,0.323026486,0.016459588,0.289184022,0,0,0,0,0,0,0,0.545
2614,202010,1,0,0,0,0,0,1,0,0,1,0,0,0.6694,8.323870968,41,0.264881719,0.013496862,0.06953,0,0,0,0,0,0,0,0.781
2614,202011,1,0,0,0,0,0,1,0,0,1,0,0,0.8556,8.446666667,40,0.258421189,0.01316767,0.07821,0,0,0,0,0,0,0,0.8266
2614,202206,1,0,0,0,0,0,1,0,0,1,0,0,1.69357,7.800666667,21.570508,0.139356908,0.007100833,0.434946,0,0,0,0,0,0,0,1.055
2614,202112,1,0,0,0,0,0,1,0,0,1,0,0,30.385572,7.550322581,173.541837,1.121172196,0.057128541,1.339797,0,0,0,0,0,0,0,1.08
2614,202204,1,0,0,0,0,0,1,0,0,1,0,0,1.240876,7.603458333,58.113328,0.375442883,0.019130428,0.590726,0,0,0,0,0,0,0,1.445
2614,202201,1,0,0,0,0,0,1,0,0,1,0,0,7.772061,7.80483871,125.326543,0.809675856,0.041256464,1.139103,0,0,0,0,0,0,0,1.81
2614,202205,1,0,0,0,0,0,1,0,0,1,0,0,2.885053,7.613225806,97.0661,0.627098424,0.031953359,1.419877,0,0,0,0,0,0,0,1.833
2614,202107,1,0,0,0,0,0,1,0,0,1,0,0,2.6855,7.619354839,33,0.213197481,0.010863328,0.01842,0,0,0,0,0,0,0,1.8815
2614,202202,1,0,0,0,0,0,1,0,0,1,0,0,4.402864,7.815714286,126.00163,0.814037276,0.041478697,0.414808,0,0,0,0,0,0,0,2.347
2614,202208,1,0,0,0,0,0,1,0,0,1,0,0,1.998252,7.507096774,71.898947,0.464505284,0.02366854,0.092992,0,0,0,0,0,0,0,2.765
2614,202208,1,0,0,0,0,0,1,0,0,1,0,0,1.619508942,7.619354839,38.113566,0.246233826,0.012546672,0.220436686,0,0,0,0,0,0,0,2.765
