"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Zn","Ni","NH3N","HW17logic"
"1","4","0","0","1","0","0","0","0","0","0","1","0",248.74,7.551709679,0.054080321,9288.89,76.41350817,1.204339305,1.369419885,0.247438103,0.088728283,0.213142098,2.22851873,"1"
"2","4","0","0","1","0","0","0","0","0","0","1","0",336.86,7.693870968,0.071653227,12307.23,101.24338,1.595678367,1.814400374,0.327840855,0.117559728,0.282400677,2.952655546,"1"
"3","4","0","0","1","0","0","0","0","0","0","1","0",156.57,7.549666667,0.072258953,12411.27,102.0992478,1.609167542,1.82973853,0.33061228,0.118553528,0.284787971,2.977616019,"1"
"4","4","0","0","1","0","0","0","0","0","0","1","0",118.58,7.931724138,0.070186538,12055.31,99.17100204,1.563015998,1.777260925,0.321130192,0.115153367,0.276620142,2.892216846,"1"
"5","4","0","0","1","0","0","0","0","0","0","1","0",250.28,7.550689655,0.05291894,9089.41,74.77251914,1.178475978,1.340011433,0.24212434,0.086822833,0.208564847,2.18066103,"1"
"6","4","0","0","1","0","0","0","0","0","0","1","0",417.8908,7.589666667,0.067640576,11618.0129,95.5736502,1.506318794,1.712792151,0.309481442,0.110976267,0.266585959,2.787303904,"1"
"7","4","0","0","1","0","0","0","0","0","0","1","0",717.25,6.958387097,0.101773336,17480.69,143.801988,2.266436792,2.577100653,0.465651845,0.166977067,0.401110461,4.193832103,"1"
"8","4","0","0","1","0","0","0","0","0","0","1","0",84.77,7.548666667,0.0870261,14947.69,122.9646849,1.938023875,2.203671689,0.398177614,0.142781631,0.342988453,3.586134311,"1"
"9","4","0","0","1","0","0","0","0","0","0","1","0",408.3464,7.147419355,0.091210944,15666.4829,128.8777151,2.031218061,2.309640141,0.417324869,0.149647603,0.359481815,3.758581551,"1"
"10","4","0","0","1","0","0","0","0","0","0","1","0",461.8419,7.525483871,0.099928612,17163.8383,141.1954602,2.225355785,2.530388611,0.457211527,0.163950472,0.393840008,4.117815491,"1"
"11","4","0","0","1","0","0","0","0","0","0","1","0",205.21,7.441612903,0.132527931,22763.13,187.2571018,2.951324881,3.355867371,0.606365852,0.217435392,0.52232089,5.4611543,"1"
"12","4","0","0","1","0","0","0","0","0","0","1","0",257.21,7.359966032,0.079655568,13681.72,112.5503933,1.773886133,2.017035343,0.364454616,0.130688976,0.313939611,3.282412568,"1"
"13","4","0","0","1","0","0","0","0","0","0","1","0",339.04,7.276292968,0.06221424,10685.98,87.90643662,1.385477245,1.575386672,0.284653884,0.102073408,0.24519961,2.56369777,"1"
"14","4","0","0","1","0","0","0","0","0","0","1","0",557.27,7.112580645,0.10842735,18623.59,153.2038647,2.414618048,2.745593335,0.496096495,0.177894147,0.427335349,4.468027842,"1"
"15","4","0","0","1","0","0","0","0","0","0","1","0",119.72,7.597777778,0.070376861,12088,99.43992089,1.567254378,1.782080267,0.322000991,0.115465624,0.277370244,2.900059578,"1"
"16","4","0","0","1","0","0","0","0","0","0","1","0",318.6888,7.929354839,0.071374108,12259.2882,100.8489948,1.589462534,1.807332527,0.326563778,0.117101784,0.281300609,2.941153719,"1"
"17","4","0","0","1","0","0","0","0","0","0","1","0",585.64,7.575172414,0.149369414,25655.84,211.0534993,3.326375544,3.782326786,0.683422063,0.245066809,0.588696774,6.155150936,"1"
"18","4","0","0","1","0","0","0","0","0","0","1","0",223.4136,7.011666667,0.095078689,16330.8107,134.3426972,2.117350643,2.407579044,0.43502128,0.15599332,0.374725426,3.917961944,"1"
"19","4","0","0","1","0","0","0","0","0","0","1","0",508.21,7.353,0.149969551,25758.92,211.9014698,3.339740251,3.797523413,0.686167916,0.246051438,0.591062039,6.179881094,"1"
"20","4","0","0","1","0","0","0","0","0","0","1","0",275.1,7.370322581,0.162672609,27940.81,229.8504249,3.622630444,4.119189786,0.744289254,0.266893041,0.641127506,6.703343287,"1"
"21","4","0","0","1","0","0","0","0","0","0","1","0",480.66,7.561666667,0.139318646,23929.51,196.8521328,3.102550407,3.527821605,0.637435964,0.228576755,0.549084549,5.740983179,"1"
"22","4","0","0","1","0","0","0","0","0","0","1","0",477.28,7.391612903,0.125554753,21565.41,177.4042575,2.796036006,3.17929282,0.574460903,0.205994667,0.494838107,5.17380657,"1"
"23","2","0","1","1","0","0","0","0","0","1","1","0",0.228970225,7.443790067,4.97e-05,8.529,0.0701624,0.001105817,0.001257393,0.000227196,8.15e-05,0.000195706,0.002046212,"1"
"24","4","0","1","1","0","0","0","0","0","0","1","0",36.68409584,7.443790067,0.007955589,1366.46,11.24095585,0.177166646,0.189,0.036399857,0.013052544,0.031354678,0.327830527,"1"
"25","4","0","1","1","0","0","0","0","0","0","1","0",34.4477636,7.443790067,0.007470602,1283.158,10.5556858,0.16636623,0.191,0.034180853,0.012256837,0.029443237,0.307845355,"1"
"26","4","0","1","1","0","0","0","0","0","0","1","0",48.52498941,7.443790067,0.010523495,1807.526,14.86931192,0.234352501,0.241,0.048149004,0.017265645,0.041475341,0.433647674,"1"
"27","4","0","1","1","0","0","0","0","0","0","1","0",55.33975968,7.443790067,0.012001397,2061.372,16.9575338,0.267264584,0.23,0.054910972,0.019690404,0.047300071,0.494548446,"1"
"28","4","0","1","1","0","0","0","0","0","0","1","0",42.82897586,7.443790067,0.009288214,1595.353,13.12390603,0.206843479,0.185,0.042497125,0.01523895,0.036606837,0.382744767,"1"
"29","4","0","1","1","0","0","0","0","0","0","1","0",47.20499445,7.443790067,0.010237231,1758.357,14.46483132,0.227977557,0.252,0.046839237,0.016795979,0.040347114,0.421851428,"1"
"30","4","0","1","1","0","0","0","0","0","0","1","0",48.96096976,7.443790067,0.010618045,1823.766,15.00290757,0.236458078,0.175,0.048581606,0.017420771,0.041847983,0.43754385,"1"
"31","4","0","1","1","0","0","0","0","0","0","1","0",48.14616436,7.443790067,0.01044134,1793.415,14.75323012,0.232522958,0.313,0.047773114,0.017130856,0.041151552,0.430262272,"1"
"32","4","0","1","1","0","0","0","0","0","0","1","0",60.70548589,7.443790067,0.013165049,2261.242,18.6017311,0.293178477,0.315,0.060235123,0.02159958,0.051886271,0.542499712,"1"
"33","4","0","1","1","0","0","0","0","0","0","1","0",54.39689847,7.443790067,0.011796921,2026.251,16.66861674,0.262711015,0.328,0.053975416,0.019354925,0.046494187,0.486122487,"1"
"34","4","0","1","1","0","0","0","0","0","0","1","0",65.27659495,7.443790067,0.014156374,2431.513,20.00243716,0.315254748,0.355,0.064770814,0.023226023,0.055793295,0.583349815,"1"
"35","4","0","1","1","0","0","0","0","0","0","1","0",78.14035105,7.443790067,0.016946105,2910.68,23.94422476,0.377380541,0.607,0.077534898,0.027803068,0.066788222,0.69830786,"1"
"36","4","0","1","1","0","0","0","0","0","0","1","0",61.21309159,7.443790067,0.013275132,2280.15,18.75727462,0.295629969,0.21,0.060738795,0.021780191,0.052320133,0.547035973,"1"
"37","4","0","1","1","0","0","0","0","0","0","1","0",27.62056359,7.443790067,0.005990004,1028.849,8.463655126,0.133394118,0.08,0.027406552,0.009827655,0.023607884,0.246833504,"1"
"38","4","0","1","1","0","0","0","0","0","0","1","0",15.08808814,7.443790067,0.003272116,562.022,4.623380478,0.072868253,0.236,0.014971181,0.005368483,0.01289611,0.134835977,"1"
"39","4","0","1","1","0","0","0","0","0","0","1","0",1.033466734,7.443790067,0.000224125,38.496,0.316680939,0.00499115,0.005,0.001025459,0.000367717,0.000883326,0.009235663,"1"
"40","4","0","1","1","0","0","0","0","0","0","1","0",67.66589616,7.443790067,0.014674536,2520.513,20.73458085,0.326793931,0.198,0.067141602,0.024076159,0.057835482,0.604702007,"1"
"41","4","0","1","1","0","0","0","0","0","0","1","0",75.90691818,7.443790067,0.016461746,2827.486,23.25984316,0.366594128,0.32,0.07531877,0.027008392,0.064879259,0.678348598,"1"
"42","4","0","1","1","0","0","0","0","0","0","1","0",71.81750836,7.443790067,0.015574886,2675.158,22.00674221,0.346844233,0.487,0.071261046,0.025553341,0.061383953,0.641803241,"1"
"43","2","0","0","1","0","0","0","0","0","0","1","0",20.96678926,8.422809536,0.004547016,781,6.424766563,0.101259569,0.115139369,0.020804333,0.00746018,0.017920761,0.187371487,"0"
"44","2","0","0","1","0","0","0","0","0","0","1","0",45.93364459,8.606666667,0.009961516,1711,14.07525684,0.221837545,0.252245147,0.045577738,0.01634362,0.039260464,0.410489902,"0"
"45","2","0","0","1","0","0","0","0","0","0","1","0",53.98746889,8.591612903,0.011708129,2011,16.54315692,0.260733666,0.296472817,0.053569159,0.019209246,0.046144239,0.482463585,"0"
"46","2","0","0","1","0","0","0","0","0","0","1","0",22.71178453,8.57483871,0.004925449,846,6.959478249,0.109687062,0.124722031,0.022535807,0.008081065,0.019412246,0.202965784,"0"
"47","2","0","0","1","0","0","0","0","0","0","1","0",19.16810183,8.587692308,0.004156939,714,5.87360221,0.092572769,0.105261856,0.019019582,0.00682019,0.016383385,0.171297364,"0"
"48","2","0","0","1","0","0","0","0","0","0","1","0",45.39672297,8.786774194,0.009845075,1691,13.91073016,0.21924447,0.249296636,0.045044976,0.016152579,0.038801546,0.405691657,"0"
"49","2","0","0","1","0","0","0","0","0","0","1","0",24.61785628,8.391724138,0.005338814,917,7.543547936,0.118892477,0.135189246,0.02442711,0.008759264,0.021041406,0.219999556,"0"
"50","2","0","0","1","0","0","0","0","0","0","1","0",23.62455128,8.480967742,0.005123398,880,7.239173592,0.114095289,0.1297345,0.023441502,0.008405836,0.020192407,0.211122802,"0"
"51","2","0","0","1","0","0","0","0","0","0","1","0",53.66531592,8.717419355,0.011638265,1999,16.44444092,0.259177821,0.294703711,0.053249502,0.019094621,0.045868888,0.479584637,"0"
"52","2","0","0","1","0","0","0","0","0","0","1","0",20.16140683,8.583103448,0.004372355,751,6.177976554,0.097369957,0.110716602,0.020005191,0.007173617,0.017232384,0.180174118,"0"
