"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Zn","Ni","NH3N","HW17"
"524","4","0","1","1","0","0","0","0","0","0","1","0",347.83,8.024516129,0.016366754,2811.17,23.1256223,0.364478697,0.002,0.074884143,0.001,0.064504873,0.67443419,36.942
"16","4","0","0","1","0","0","0","0","0","0","1","0",318.6888,7.929354839,0.071374108,12259.2882,100.8489948,1.589462534,1.807332527,0.326563778,0.117101784,0.281300609,2.941153719,45.8495
"124","3","0","0","1","0","0","0","0","0","0","0","0",32.02240811,7.3405,0.006944621,1192.815,9.812494146,0.154652923,0.175851429,0.03177429,0.011393872,0.027370234,0.28617096,68.9578
"322","2","0","1","1","0","0","0","0","0","0","1","0",9.331912525,7.443790067,0.002023789,347.608,2.85953938,0.045068676,0.051246307,0.009259606,0.003320382,0.007976184,0.083395426,10.22
"296","3","0","0","1","0","0","0","0","0","0","1","0",18.36119723,7.443790067,0.003981948,683.9433,5.626345768,0.088675805,0.10083073,0.01821893,0.006533086,0.015693706,0.164086393,12.6
"479","3","0","0","0","0","0","0","0","0","0","1","0",26.57389,7.67952381,0.007591945,1304,10.72713905,0.169068474,0.192242941,0.034736043,0.012455921,0.029921476,0.312845606,63.607
"223","2","1","0","1","0","0","0","0","0","0","1","0",26.93535702,7.443790067,9e-04,421.7426,1.321381192,0.142244175,0.077093068,0.0081,0.138392731,0.0113,0.101181227,16.171
"70","2","1","0","1","0","0","0","0","0","0","0","0",3667.73,7.586666667,0.144929058,24893.16,204.7794392,3.227491231,15.43,0.66310574,0.237781623,0.571196382,5.972174643,65.7
"108","5","0","0","0","0","0","0","0","0","0","1","0",737.177,8.026774194,0.02074542,3563.254,29.3125162,0.461989199,0.525314745,0.09491821,0.034036511,0.08176213,0.854868373,59.86
"327","2","0","1","1","0","0","0","0","0","0","1","0",11.16799654,7.443790067,0.002421976,416.001,3.422163015,0.053936084,0.061329184,0.011081464,0.003973678,0.009545524,0.099803746,9.515
"434","2","0","1","0","0","0","0","0","0","0","0","0",22.7,7.088333333,0.007702563,1323,10.88343939,0.171531895,0.195044027,0.035242167,0.012637411,0.030357448,0.31740394,10.354
"315","3","0","1","1","0","0","0","0","0","1","1","1",93.41132006,7.443790067,0.020257883,3479.5142,28.62364467,0.451132021,0.512969357,0.092687543,0.033236621,0.079840644,0.834778167,28.326
"427","2","0","1","0","0","0","0","0","0","0","0","0",156.7,7.239,0.02419059,4155,34.18041622,0.538711279,0.612553235,0.110681181,0.03968892,0.095340285,0.996835502,8.336
"531","4","0","1","1","0","0","0","0","0","0","1","0",172.25,7.749354839,0.012190311,2093.82,17.22446188,0.271471589,0.003861484,0.055775324,0.018518407,0.04804462,0.502333119,44.547
"320","2","0","1","1","0","0","0","0","0","0","1","0",9.706361662,7.443790067,0.002104995,361.556,2.974280281,0.046877087,0.053302599,0.009631154,0.003453614,0.008296234,0.086741722,7.1
"1","4","0","0","1","0","0","0","0","0","0","1","0",248.74,7.551709679,0.054080321,9288.89,76.41350817,1.204339305,1.369419885,0.247438103,0.088728283,0.213142098,2.22851873,54.514
"116","3","1","0","1","0","0","0","0","0","0","1","0",41.78985803,7.443790067,0.009062864,1556.6465,12.80549345,0.201825037,0.229489495,0.041466059,0.014869222,0.035718681,0.373458603,34.23
"91","5","0","0","0","0","0","0","0","0","0","1","0",503.855,7.123870968,0.015100477,2593.673,21.33641942,0.336279398,0.382373715,0.069090443,0.024774989,0.059514205,0.62225399,58.221
"41","4","0","1","1","0","0","0","0","0","0","1","0",75.90691818,7.443790067,0.016461746,2827.486,23.25984316,0.366594128,0.32,0.07531877,0.027008392,0.064879259,0.678348598,23.81
"292","3","0","0","1","0","0","0","0","0","0","1","0",1.666891962,7.443790067,0.000361495,62.0907,0.510778813,0.008050291,0.009153757,0.001653976,0.000593096,0.001424728,0.014896321,3.2
"193","1","1","1","0","0","0","0","0","0","1","0","0",3.180455216,7.443790067,0.000689737,118.47,0.974573745,0.015360078,0.017465507,0.003155812,0.001131636,0.002718403,0.028422407,0.081
"473","3","0","0","0","0","0","0","0","0","0","1","0",44.76384,7.717888889,0.014438668,2480,20.4013074,0.321541269,0.365615409,0.066062414,0.023689175,0.056905874,0.594982442,71.92
"263","3","0","0","1","0","0","0","0","0","0","1","0",61.10015282,7.443790067,0.01325064,2275.9431,18.72266726,0.295084529,0.335532204,0.060626732,0.021740006,0.052223601,0.546026686,18.93
"336","2","0","1","0","0","0","0","0","0","0","0","0",11.09470674,7.443790067,0.002406082,413.271,3.399705125,0.05358213,0.060926712,0.011008742,0.0039476,0.009482882,0.099148786,1.576
"497","1","0","0","1","0","0","0","0","0","0","1","0",61.37014117,7.611481481,0.013309191,2286,18.80539867,0.296388444,0.337014849,0.060894628,0.02183607,0.052454366,0.54843946,28.2
"388","3","0","0","0","0","0","0","0","0","1","1","0",119.233,7.180322581,0.0419012,7196.992,59.20485731,0.933116911,1.061020634,0.191713977,0.068746292,0.165141581,1.726646722,25.14
"420","2","0","0","1","0","0","0","0","0","0","1","0",39.69410529,6.910655914,0.008608363,1478.581,12.1633006,0.191703553,0.217980644,0.039386544,0.014123534,0.033927397,0.354729731,8.88
"32","4","0","1","1","0","0","0","0","0","0","1","0",60.70548589,7.443790067,0.013165049,2261.242,18.6017311,0.293178477,0.315,0.060235123,0.02159958,0.051886271,0.542499712,13.85
"303","3","0","0","1","0","0","0","0","0","0","1","0",6.602984229,7.443790067,0.001431973,245.9571,2.023325163,0.031889257,0.036260365,0.006551822,0.002349404,0.005643711,0.059008127,60
"345","3","0","1","1","0","0","0","0","0","0","1","0",6.527624595,7.443790067,0.00141563,243.15,2.000233021,0.031525306,0.035846527,0.006477047,0.00232259,0.0055793,0.05833467,3.88
"203","2","0","0","0","0","0","0","0","0","0","1","0",169.0228,7.080333333,0.030707728,5274.39,43.38889182,0.683844376,0.777579942,0.14049957,0.050381431,0.121025715,1.265390903,22.34
"4","4","0","0","1","0","0","0","0","0","0","1","0",118.58,7.931724138,0.070186538,12055.31,99.17100204,1.563015998,1.777260925,0.321130192,0.115153367,0.276620142,2.892216846,57.367
"393","3","0","0","0","0","0","0","0","0","1","1","0",89.4335,7.528,0.029993951,5151.791,42.38035154,0.667948958,0.759505715,0.13723377,0.049210354,0.118212568,1.235977898,40.65
