"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Fe","Cu","Cr","Zn","Ni","NH3N","HW17logic"
"1","2","0","1","0","0","0","0","0","0","0","0","0",1152.7,7.622258065,0.02645373,8088.47,70.67,3.92,4.93379826,0.302899527,0.135342436,0.915986585,0.122776421,3.761058322,"0"
"2","2","0","1","0","0","0","0","0","0","1","0","1",190.9,7.109,0.018627537,5695.54,39.21,0.75,3.474160792,0.213288344,0.09530211,0.644996919,0.086453682,2.648369607,"0"
"3","2","0","1","0","0","0","0","0","0","1","0","1",606.2,7.263,0.020272394,6198.47,59.32,2.84,3.780937619,0.232122222,0.103717518,0.701951712,0.094087752,2.882227068,"0"
"4","2","0","1","0","0","0","0","0","0","1","0","1",316.9,6.929354839,0.018006199,5505.56,14.58,2.57,3.358276949,0.206173914,0.09212322,0.623482451,0.08356994,2.560030791,"0"
"5","2","0","1","0","0","0","0","0","0","1","0","1",677.8,6.921724138,0.023433542,7165.02,65.72,7.28,4.370512991,0.268317886,0.119890568,0.811409599,0.108759198,3.331663231,"0"
"6","2","1","0","1","1","0","0","0","0","0","0","1",223.6,7.438,0.016061956,4911.09,75.83,1.47,2.995662628,0.183912018,0.082176096,0.556161123,0.074546367,2.283608138,"0"
"7","2","1","0","1","1","0","0","0","0","0","0","1",859.6,7.617096774,0.018035274,5514.45,29.67,2.42,3.363699664,0.20650683,0.092271974,0.624489208,0.083704883,2.564164553,"0"
"8","2","1","0","1","1","0","0","0","0","0","0","1",297.1,6.859677419,0.021738483,6646.74,74.2,2.94,4.054372984,0.248909176,0.111218312,0.752716481,0.100892128,3.090668172,"0"
"9","2","1","0","1","1","0","0","0","0","0","0","1",174.4,7.382258065,0.019203841,5871.75,81.21,1.68,3.581645223,0.219887111,0.09825059,0.664951991,0.089128407,2.730305509,"0"
"10","2","1","0","1","1","0","0","0","0","0","0","1",211.2,7.333870968,0.018728303,5726.35,84.47,0.65,3.492954251,0.214442127,0.095817646,0.648486027,0.086921353,2.662695951,"0"
"11","2","1","0","1","1","0","0","0","0","0","0","1",109.3,6.902258065,0.021406162,6545.13,22.52,2.36,3.992393,0.245104053,0.109518096,0.741209558,0.09934977,3.04342053,"0"
"12","2","1","0","1","1","0","0","0","0","0","0","1",369.6,7.339333333,0.02643777,8083.59,105.38,2.74,4.930821562,0.302716779,0.13526078,0.915433944,0.122702346,3.75878917,"0"
"13","2","1","0","1","1","0","0","0","0","0","0","1",499.9,7.160229167,0.017736477,5423.09,88.52,3.14,3.307971966,0.203085552,0.090743269,0.614143056,0.082318112,2.521683059,"0"
"14","2","1","0","1","1","0","0","0","0","0","0","1",1441.5,7.218108032,0.028420441,8689.81,80.9,6.15,5.300603138,0.325418694,0.145404514,0.984085913,0.131904275,4.040675457,"0"
"15","2","1","0","1","1","0","0","0","0","0","0","1",268.6,6.913666667,0.029167794,8918.32,59.21,4.43,5.439989479,0.333976007,0.149228118,1.009963748,0.135372871,4.146930341,"0"
"16","2","1","0","1","1","0","0","0","0","0","0","1",341.7,7.384516129,0.020018338,6120.79,41.6,1.24,3.733554437,0.229213238,0.102417717,0.693154766,0.092908633,2.846106639,"0"
"17","2","1","0","1","1","0","0","0","0","0","0","1",515.9,6.765769231,0.015668574,4790.81,55.55,2.64,2.922294333,0.179407735,0.080163479,0.542539898,0.072720614,2.227679131,"0"
"18","2","0","1","1","0","0","0","0","0","1","1","0",114.7,6.34962963,0.017626619,5389.5,9.89,0.04,3.287482766,0.201827664,0.090181216,0.610339124,0.081808243,2.506064042,"1"
"19","2","0","1","0","0","0","0","0","0","1","0","1",9.530682,8.362857143,0.00016882,51.618266,0.236753339,0.003734403,0.031486067,0.001933017,0.000863716,0.00584556,0.000783523,0.024001982,"1"
"20","2","0","1","0","0","0","0","0","0","1","0","1",91.834288,8.195666667,0.001388144,424.43774,1.946734366,0.030706599,0.258898183,0.015894476,0.007102015,0.048065861,0.006442621,0.197359339,"1"
"21","2","0","1","0","0","0","0","0","0","1","0","1",54.267632,8.658387097,0.000882495,269.830898,1.237611627,0.01952133,0.164591229,0.010104711,0.004515016,0.03055726,0.004095814,0.125468691,"1"
"22","4","1","1","1","1","0","0","0","0","1","1","0",709.154826,7.499523821,0.01527673,4671,21.42409915,0.337930654,2.849212728,0.174921053,0.078158727,0.528971899,0.070901995,2.171968669,"1"
"23","4","1","1","1","1","0","0","0","0","1","1","0",1304.148953,7.547419355,0.035021029,10708,49.11352037,0.774686671,6.53165701,0.400996497,0.179174406,1.212637785,0.162538764,4.979113789,"0"
"24","2","0","1","0","0","0","0","0","0","1","0","1",44.22634252,7.473833334,0.006220582,1902,8.72375007,0.137603105,1.160180392,0.071226685,0.031825712,0.215393824,0.028870819,0.884411134,"1"
"25","2","0","1","0","0","0","0","0","0","1","0","1",69.94365842,7.473833334,0.009837809,3008,13.79655111,0.21761837,1.834817359,0.112644515,0.050332145,0.340643861,0.045659003,1.398690164,"1"
"26","2","0","1","0","0","0","0","0","0","1","0","1",46.85388022,7.473833334,0.006590154,2015,9.24203806,0.145778263,1.229108038,0.075458343,0.033716514,0.228190618,0.030586067,0.936955014,"1"
"27","2","0","1","0","0","0","0","0","0","1","0","1",62.54934879,7.473833334,0.008797774,2690,12.33800614,0.194612173,1.640843982,0.100735952,0.045011127,0.304631644,0.04083202,1.250823318,"1"
"28","2","0","1","0","0","0","0","0","0","1","0","1",67.24636308,7.473833334,0.009458425,2892,13.26450326,0.209226172,1.764059775,0.108300511,0.048391145,0.327507329,0.043898217,1.344751315,"1"
"29","2","0","1","0","0","0","0","0","0","1","0","1",55.1782917,7.473833334,0.007761011,2373,10.8840478,0.171678322,1.447480583,0.088864838,0.039706842,0.268732673,0.036020217,1.103421463,"1"
"30","2","1","0","1","1","0","0","0","0","0","0","1",65.15363394,7.473833334,0.009164076,2802,12.85170752,0.202714984,1.709161649,0.104930163,0.046885197,0.317315192,0.04253209,1.302902207,"1"
"31","2","1","0","1","1","0","0","0","0","0","0","1",59.22423471,7.473833334,0.008330086,2547,11.68211957,0.184266618,1.55361696,0.095380844,0.042618342,0.288437471,0.038661396,1.184329737,"1"
"32","2","1","0","1","1","0","0","0","0","0","0","1",52.27172345,7.473833334,0.007352192,2248,10.31072038,0.162635005,1.371233186,0.0841838,0.037615247,0.254576928,0.034122819,1.045297702,"1"
"33","2","1","0","1","1","0","0","0","0","0","0","1",60.50312474,7.473833334,0.008509966,2602,11.93438364,0.188245678,1.587165814,0.097440501,0.043538644,0.294665999,0.039496252,1.209904191,"1"
"34","2","1","0","1","1","0","0","0","0","0","0","1",11.85879847,7.473833334,0.00166798,510,2.339175886,0.036896732,0.311089379,0.019098638,0.008533708,0.057755442,0.007741387,0.237144941,"1"
"35","2","1","0","1","1","0","0","0","0","0","0","1",45.87727329,7.473833334,0.006452791,1973,9.049400046,0.142739709,1.203488913,0.073885514,0.033013738,0.223434287,0.029948541,0.91742543,"1"
"36","2","1","0","1","1","0","0","0","0","0","0","1",62.73536915,7.473833334,0.008823939,2698,12.3746991,0.195190945,1.645723815,0.101035539,0.045144989,0.305537612,0.040953454,1.254543239,"1"
"37","2","1","0","1","1","0","0","0","0","0","0","1",66.45577652,7.473833334,0.009347226,2858,13.1085582,0.20676639,1.743320483,0.107027268,0.047822231,0.323656966,0.043382124,1.328941652,"1"
"38","4","1","0","1","1","0","0","0","0","0","0","1",22.71,6.918333333,0.006416147,1822,3.67,0.06,1.111382057,0.110457,0.056069264,0.123643,0.001256188,1.85,"1"
"39","4","1","0","1","1","0","0","0","0","0","0","1",24.09,7.1795,0.008500867,2414,1.95,0.05,1.472489729,0.154763,0.074287159,0.185194,0.001664346,1.04,"1"
"40","4","1","0","1","1","0","0","0","0","0","0","1",77.19,7.676129032,0.030221391,8582,5.75,0.28,5.234841283,0.07,0.264097927,0.60286,0.005916908,6.756295,"1"
"41","4","1","0","1","1","0","0","0","0","0","0","1",46,7.105,0.013231912,3757.48,4.28732,0.170198,2.291984552,0.0751,0.115630701,0.237077,0.002590616,0.9,"1"
"42","4","1","0","1","1","0","0","0","0","0","0","1",36.166788,7.369677419,0.014540215,4129,7.301934,0.274355,2.518604015,0.264064,0.127063661,0.433643,0.002846762,2.330305,"1"
"43","4","0","1","1","0","0","0","0","0","1","1","0",74.33,7.777419355,0.02763662,7848,11.303298,0.120557,4.787116568,0.102245,0.241510199,0.145759,0.005410848,3.2734,"1"
"44","4","0","1","1","0","0","0","0","0","1","1","0",106.486834,7.28,0.072604,13880,38.094562,0.989913,8.466510954,0.053959,0.528227,1.041904,0.006836,6.813056,"1"
"45","4","0","1","1","0","0","0","0","0","1","1","0",77.2,7.581,0.028171886,8000,15.75,0.15,4.879833403,0.086383,0.246187767,0.236173,0.005515645,1.688637,"1"
"46","4","0","1","1","0","0","0","0","0","1","1","0",103.622707,7.509677419,0.047867556,13593,30.59809,0.841702,8.291446931,0.07386,0.209755,1.041152,0.006346,4.451835,"1"
"47","4","0","1","1","0","0","0","0","0","1","1","0",87.02,7.472903226,0.028568546,8112.64,19.402396,0.241277,4.948541457,0.126758,0.249654091,0.271094,0.005593305,1.75,"1"
"48","4","0","1","1","0","0","0","0","0","1","1","0",61.82,7.37,0.020299006,5764.33,16.55466,0.12044,3.51612126,0.131436,0.177388441,0.22095,0.00397425,1.77,"1"
"49","4","0","1","1","0","0","0","0","0","1","1","0",91.899758,7.567741935,0.02643,14585,42.574945,0.833019,8.896546273,0.059316,0.418639,0.967924,0.005894,4.46409,"1"
"50","4","0","1","1","0","0","0","0","0","1","1","0",92.668281,7.603225806,0.044356634,12596,44.17069,0.631094,7.683297693,0.052434,0.410106,0.541628,0.012652,3.698262,"1"
"51","4","0","1","1","0","0","0","0","0","1","1","0",109.276735,7.646666667,0.051561594,14642,37.756772,0.987566,8.931315086,0.180042,0.508956,0.832727,0.023946,5.456688,"1"
"52","4","0","1","1","0","0","0","0","0","1","1","0",112.536477,7.753333333,0.051491165,14622,35.938518,1.064457,8.919115502,0.119048,0.42387,0.723459,0.012961,5.768262,"1"
"53","4","0","1","1","0","0","0","0","0","1","1","0",147.335554,7.823225806,0.048198575,13687,27.667938,0.525379,8.348784973,0.118816,0.421196496,0.641976,0.009436579,11.375823,"1"
"54","4","0","1","1","0","0","0","0","0","1","1","0",142.266078,7.603835129,0.047321725,13438,28.34221,0.408825,8.196900158,0.05,0.413533901,0.726414,0.009264905,9.418466,"1"
