"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Fe","Cu","Cr","Zn","Ni","NH3N","HW17"
"578","2","1","0","1","1","0","0","0","0","0","0","1",52.55749724,7.473833334,0.007392387,2260.29,10.36708993,0.163524144,1.37872983,0.084644039,0.037820893,0.255968721,0.034309371,1.051012431,31
"408","2","1","0","1","1","0","0","0","0","0","0","1",17.02314243,7.473833334,0.002394362,732.098,3.357854878,0.052964752,0.446564534,0.022539813,0.001868393,0.085,0.000565089,0.340418308,23.83
"1946","2","1","0","1","1","0","0","0","0","0","0","1",366.2,8.247096774,0.031241649,9552.42,43.81331474,7.47,5.826777274,0.58,0.176971701,0.27,0.01,24.26,26.675
"3606","2","0","1","0","0","0","0","0","0","1","0","1",31.375,6.505997467,0.006593278,2015.955,9.246418282,0.145847354,1.229690568,0.075494107,0.033732493,0.228298768,0.030600563,0.937399079,2.775
"4369","3","0","1","0","0","0","0","0","0","1","0","1",16.63184,7.473833334,0.00120574,772,3.540870165,0.055851523,0.470903923,0.028910095,0.012917692,0.087425884,0.011718334,0.358972343,1.5
"3314","2","1","0","1","1","0","0","0","0","0","0","1",17.001886,8.220333333,0.006050514,1850,0.11299,0.120086,1.128461474,0.069279372,0.030955608,0.209505034,0.028081501,0.132878,21.23
"221","3","1","0","1","1","0","0","0","0","0","0","1",31.75268,7.351290323,0.007731576,2364,10.84276823,0.171027203,1.441990771,0.088527803,0.039556247,0.26771346,0.013765265,1.0769,16.95
"1407","2","0","1","0","0","0","0","0","0","1","0","1",22.47497,7.396129032,0.006748605,2063.4478,9.464249679,0.149283293,1.258660187,0.077272632,0.034527179,0.233677136,0.012823,0.95948276,2.558
"1971","1","0","1","0","0","0","0","0","0","1","0","1",21.53185761,7.473833334,0.003028528,926,4.24720955,0.066992889,0.564840716,0.034677135,0.015494537,0.104865763,0.01405593,0.430580815,0.915
"1253","2","1","0","1","1","0","0","0","0","0","0","1",100.1882042,7.747466667,0.011601244,3547.1865,16.26959436,0.256626644,2.163709896,0.291289546,0.131049654,1.375518264,0.56314328,13.48257752,21.182
"2752","1","0","1","0","0","0","0","0","0","1","0","1",1.046364571,7.473833334,0.000147175,45,0.206397872,0.003255594,0.027449063,0.001685174,2.079,0.005096068,0.000683064,0.020924554,9.72
"2046","3","1","0","1","1","0","0","0","0","0","0","1",111.3584,8.059677419,0.000653015,4007,18.37858387,0.289892556,2.444186556,0.150055376,0.151033,0.356439,0.001674072,1.863215255,26.727
"1280","3","1","0","1","1","0","0","0","0","0","0","1",37.24786,6.99016129,0.012571987,3844,17.63096491,0.257874919,2.34475995,2.117794,0.064320734,0.435317487,0.003970675,0.959893,18.2
"1692","2","0","1","0","0","0","0","0","0","1","0","1",372.452,7.141290323,0.146696,5201,23.85500742,0.376274316,3.172501691,0.194768657,0.000388691,0.58899226,0.00298341,2.418413412,5.6
"1478","3","1","0","1","1","0","0","0","0","0","0","1",380.99,6.713153504,0.0063742,1948.97,8.939183582,3.283957962,1.188831113,0.072985632,0.032611649,0.220712987,0.029583785,72.18576371,12.34
"746","2","0","1","0","0","0","0","0","0","1","0","1",18.25603893,7.473833334,0.002567773,785.12,3.601046611,0.05680071,0.47890685,0.029401417,0.010391563,0.088911671,0.011917485,0.365073013,3.15
"218","3","1","0","1","1","0","0","0","0","0","0","1",29.74,7.268387097,0.006949915,2125,9.746566192,0.153736382,1.296205748,0.079577658,0.035557117,0.240647674,0.012373599,1.72,21
"4797","3","1","0","1","1","0","0","0","0","0","0","1",16.04100851,7.473833334,0.00033615,102.781,0.471417327,0.007435849,0.06269427,0.003848975,0.00171981,0.011639533,0.006,0.047792146,0.6
"3431","3","1","0","1","1","0","0","0","0","0","0","1",18.982396,7.198275862,0.003358853,1027,1.824495941,0.009418636,0.626448613,0.038459414,0.017184546,0.116303605,0.015589028,0.140072,33.44
"4715","2","0","1","0","0","0","0","0","0","1","0","1",20.65395774,7.199672131,0.002001374,888.245,4.074041735,0.064261446,0.541810953,0.033263274,0.001,0.100590162,0.008,0.413025115,10.763
"2269","1","1","0","1","1","0","0","0","0","0","0","1",9.301018407,7.473833334,0.001308219,400,1.834647754,0.028938613,0.24399167,0.014979324,0.006693104,0.045298386,0.006071676,0.185996032,15.75
"4712","2","0","1","0","0","0","0","0","0","1","0","1",11.98575737,7.632,0.001161423,515.46,2.364218828,0.037291744,0.314419866,0.019303106,0.002032291,0.058373765,0.005226792,0.239683787,8.94
"2357","2","0","1","0","0","0","0","0","0","1","0","1",87.17155,7.799677419,0.002551028,780,3.57756312,0.207045,0.475783757,0.029209681,0.013051554,0.088331852,0.011839768,2.043403,5.96
"1544","3","1","0","1","1","0","0","0","0","0","0","1",47.88854876,8.10516129,0.006735684,2059.497,9.446128863,0.148997467,1.256250282,0.077124681,0.034461071,0.233229724,0.031261496,0.957645677,15.43
"1314","4","0","1","0","0","0","0","0","0","1","0","1",0.28475,7.406333333,9.16e-05,28,0.128425343,0.002929232,0.017079417,0.001048553,0.000468517,0.003170887,0.000335631,0.004783,3.725
