"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Ni","NH3N","HW17logic"
"1","5","1","1","1","1","0","0","0","0","1","1","1",4752.97319,7.740344828,34944,222.6466667,3.480863651,0.602802052,0.008062738,622.925417,"0"
"2","5","1","1","1","1","0","0","0","0","1","1","1",67.606629,7.125483871,1441,9.181371528,0.143541796,0.03554,0.000332486,5.132813,"0"
"3","5","1","1","1","1","0","0","0","0","1","1","1",4056.753621,7.368,32861,209.3747743,3.273370548,0.840627,0.009179,466.169236,"0"
"4","5","1","1","1","1","0","0","0","0","1","1","1",6024.668716,7.251612903,45763,291.5802257,4.558572667,0.732356,0.006949,738.052896,"1"
"5","5","1","1","1","1","0","0","0","0","1","1","1",5210.664907,7.204285714,43425,276.6835938,4.325678344,0.749103683,0.006507,629.306553,"0"
"6","5","1","1","1","1","0","0","0","0","1","1","1",4887.717472,7.342580645,28632,182.4295833,2.852108747,0.58943,0.008375,393.266057,"1"
"7","5","1","1","1","1","0","0","0","0","1","1","1",15024.03453,7.212666667,74903,477.2465451,7.461284628,1.292115445,0.017282602,922.041111,"1"
"8","5","1","1","1","1","0","0","0","0","1","1","1",14446.24236,7.136774194,65133,414.9967188,6.488069259,1.123577898,0.01502834,964.351813,"1"
"9","5","1","1","1","1","0","0","0","0","1","1","1",9850.512695,7.708387097,54299,345.9675868,5.408866054,0.936685801,0.012528577,735.991022,"1"
"10","5","1","1","1","1","0","0","0","0","1","1","1",9826.196917,7.381290323,67785.18,431.8951573,6.752259877,0.556766,0.015640286,941.06356,"1"
"11","5","1","1","1","1","0","0","0","0","1","1","1",9314.89,7.585,76561,487.8105382,7.626442364,1.41621,0.017665158,1121.05,"1"
"12","5","1","1","1","1","0","0","0","0","1","1","1",27.18844,6.767096774,1431,9.11765625,0.14254567,0.004573,0.000330179,0.116092,"0"
"13","5","1","1","1","1","0","0","0","0","1","1","1",2554.004021,7.379333333,54067,344.4893924,5.385755924,1.082221,0.004026,720.844435,"1"
"14","5","1","1","1","1","0","0","0","0","1","1","1",15946.42493,7.106666667,78091,497.5589757,7.778849684,1.347110092,0.018018179,1292.537262,"1"
"15","5","1","1","1","1","0","0","0","0","1","1","1",14079.20434,7.914666667,72492,461.8847917,7.221118584,0.681897,0.016726305,948.866622,"1"
"16","5","1","1","1","1","0","0","0","0","1","1","1",9532.587318,7.219677419,78801,502.0827604,7.84957465,0.2,0.018182,1022.191264,"1"
"17","5","1","1","1","1","0","0","0","0","1","1","1",9773.632814,7.800967742,50713,323.1192882,5.051655172,0.874825448,0.011701168,1159.571908,"1"
"18","5","1","1","1","1","0","0","0","0","1","1","1",14628.18521,7.997741935,78598,500.7893403,7.829353286,1.247684,0.023767,1045.576703,"1"
"19","5","1","1","1","1","0","0","0","0","1","1","1",15976.286,7.47516129,95506,608.5191319,9.51360359,1.927679,0.022036397,1536.12,"1"
"20","5","1","1","1","1","0","0","0","0","1","1","1",13782.90872,7.799666667,68235,434.7611979,6.797067629,1.177089,0.015744074,1033.359009,"1"
"21","5","1","1","1","1","0","0","0","0","1","1","1",14644.46359,7.843,80770,514.6282986,8.045711913,1.393324226,0.018636313,1173.084747,"1"
"22","5","1","1","1","1","0","0","0","0","1","1","1",16690.97293,7.746774194,89204,568.3657639,8.885844812,1.538815083,0.020582317,1142.720413,"1"
"23","5","1","1","1","1","0","0","0","0","1","0","0",319.702195,7.41413919,19318,123.0851736,0.09008,0.069158,0.094276,2.224424,"1"
