"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Ni","NH3N","HW17"
"231","5","1","1","1","1","0","0","0","0","1","0","0",7841.358559,7.493988095,32938,209.8653819,4.906154,11.48503606,0.062247506,111.972467,19.574
"697","2","1","0","1","0","0","0","0","0","0","0","0",267.985,7.958064516,7579.124,48.2905991,0.754976455,0.827,0.396,15.11509434,4.17
"312","5","1","1","1","1","0","0","0","0","1","1","1",576.724547,7.957666667,20049,82.67762323,2.475373,0.38875,0.408357662,17.490823,39.4
"365","3","1","1","1","1","0","0","0","0","1","1","0",164.735959,7.493988095,1023,6.518072917,0.101903718,0.061701473,0.007821716,8.680286,4.04
"698","2","1","0","1","0","0","0","0","0","0","0","0",244.754,8.021666667,6245.4,39.79273958,0.622120703,0.483,0.31,12.45524023,4.28
"89","5","1","1","1","1","0","0","0","0","1","1","1",17844.633,7.235806452,118782,756.8228125,11.8321871,7.164246692,0.908190683,1497.6447,24.404
"468","2","1","1","1","1","0","0","0","0","1","1","1",40.359833,7.101,1634,10.41107639,0.24067,0.098553477,0.012493337,1.38337,2.86
"259","2","1","1","1","1","0","0","0","0","1","1","0",233.682,7.899677419,5898,37.57927083,0.587515276,0.355733419,0.045095289,1.352044,18.331
"558","4","1","1","1","1","0","0","0","0","1","1","1",611.186005,7.385666667,13668,91.606412,1.076539,1.716793,0.011147,16.784461,35.24
"382","3","1","1","1","1","0","0","0","0","1","1","0",360.666356,7.493988095,1834,11.68538194,0.182689559,0.110616326,0.014022509,11.536508,9.08
"574","4","0","0","1","0","0","0","0","0","0","0","0",53.5219,7.493988095,773.6692,4.929454799,0.077067222,0.046663274,0.005915367,1.542933318,0.013
"261","2","1","1","1","1","0","0","0","0","1","1","0",728.23982,7.958306452,6671.8513,42.50988589,0.664600637,0.402407676,0.051012049,1.064116,11.741
"366","3","1","1","1","1","0","0","0","0","1","1","0",292.471588,7.493988095,3122,19.89190972,0.310990623,0.188301074,0.023870379,19.221636,9.64
"690","5","0","0","1","1","0","0","0","0","0","1","0",4766.37,7.838666667,46868.49,325.0864606,34.93478881,2.826837605,0.358349968,4.99,68
"559","4","1","1","1","1","0","0","0","0","1","1","1",812.438241,7.770555556,12564,84.20712323,0.700432056,2.577002961,0.000345655,5.47971422,57.3
"605","5","1","1","1","1","0","0","0","0","1","1","1",2748.516,7.539,149208,950.6829167,14.86300091,4.0033,4.7776,297.5664464,67.48
"476","5","1","1","1","1","0","1","0","1","1","1","1",5791.453,7.039677419,151277.942,963.8716096,15.06919327,17.354,1.156650145,301.6945447,43.77
"353","5","1","1","1","1","0","0","0","0","1","0","1",11123.215,7.746774194,58455,372.4476563,24.21051222,1.125027638,2.592797021,906.87196,34.76
"35","4","1","1","1","1","0","0","0","0","1","0","0",0.019,7.493988095,0.793,0.005052622,7.9e-05,4.78e-05,6.06e-06,0.003,4.5
"135","4","0","1","1","0","0","0","0","0","0","0","0",62.091297,7.1868889,1697,10.81248264,0.169042629,0.102353274,0.012975026,3.3843377,5.824
"153","4","1","1","1","1","0","0","0","1","1","0","1",397.2571,7.493988095,9597.597,61.15135589,0.956041854,0.57887182,0.073381894,19.14054765,26.73
"532","4","1","1","1","1","0","0","0","0","1","0","0",258.0559,7.687741935,12535.23,79.86856615,1.248667195,0.056532,0.095842628,24.99908749,1.0355
"520","5","1","1","1","1","0","0","0","0","1","1","1",36911.2,7.048333333,194427,1238.797031,19.3673843,11.72671778,224.4700921,3500.76,21.1485
"349","5","1","1","1","1","0","0","0","0","1","0","1",10333.87438,8.008214286,55168,351.5044444,22.84912391,1.061765883,2.447000702,412.160155,17.18
"607","5","1","1","1","1","0","0","0","0","1","1","1",4765.967,7.746774194,206025,1312.69401,20.52269155,4.8652,6.1062,410.8769444,75.78
"343","4","0","1","1","0","0","0","0","0","0","0","0",35.18936398,7.493988095,7636.2119,48.65433624,0.760663131,0.460572358,0.101100878,15.22894509,9.05
"245","5","1","1","1","1","0","0","0","0","1","0","0",7815.666549,7.493988095,31239,199.0401563,3.087069,10.89261769,0.05903667,102.214464,21.743
"671","5","1","1","1","1","0","0","0","0","1","1","0",2038.129,6.830322581,48196.4,307.0847014,4.800970034,5.8312,0.368502984,664.291,28.987
"28","5","1","1","1","1","0","0","0","0","1","0","0",423.318692,7.29,29592.74526,188.5509984,0.979635,0.167193,0.200567,13.880201,75.155
"251","5","1","1","1","1","0","0","0","0","1","0","0",11080.25739,7.493988095,46851,298.5124479,8.29,19.489493,0.080908,185.285357,21.84
"676","5","0","0","1","1","0","0","0","0","0","1","0",2826.74,6.825806452,47108.56,326.75162,35.11373195,2.841317246,0.36018551,19.85,37.74
"72","5","0","0","1","0","0","0","0","0","0","0","0",1240.509,7.591774194,71910,458.1765625,7.163144034,2.8129,0.0592,174.67,68.549
"271","4","1","1","1","1","0","0","0","1","1","1","1",99.322482,6.702258065,3660.241792,23.32133225,1.398296486,0.031046677,0.020947623,4.603831,13.32
"560","4","0","0","1","0","0","0","0","0","0","1","0",92.766124,7.493988095,6118,26.23078328,0.101410687,0.230681049,0.043588774,3.619175,13.5
"456","1","1","1","1","1","0","1","0","0","1","0","1",89.01510805,7.493988095,1163,7.410086806,0.115849486,0.070145467,0.008892137,8.832312242,1.3
"538","4","1","1","1","1","0","0","0","0","1","0","0",1184.621,7.4976,18264.2,116.3708576,1.819344949,0.822104,0.139645538,36.42440815,22.552
"703","2","1","0","1","0","0","0","0","0","0","0","0",408.253,7.908076923,8759.781,55.81318797,0.872584801,0.57,0.442,17.46968597,6.17
"240","5","1","1","1","1","0","0","0","0","1","0","0",11328.47438,7.493988095,38895,247.8205729,4.411094,14.466534,0.061022,162.017069,19.451
"710","2","1","0","1","0","0","0","0","0","0","0","0",518.402,7.799333333,10466.924,66.69029701,1.0426378,1.334,0.845,20.87425192,6.69
"389","5","1","1","1","1","0","1","0","0","1","1","1",2183.728172,7.520666667,80202,511.0092708,7.989131941,4.837323106,0.613213359,39.108191,48.565
"455","1","1","1","1","1","0","1","0","0","1","0","1",120.460227,7.493988095,1041,6.632760417,0.103696745,0.062787129,0.007959341,9.477397,5.4
"264","2","1","1","1","1","0","0","0","0","1","1","0",641.194,7.884,7637.65,48.66349913,0.760806383,0.460659096,0.058396412,1.435274,17.767
"233","5","1","1","1","1","0","0","0","0","1","0","0",5022.263705,7.493988095,33896,215.9693056,4.295174368,11.81907773,0.064057972,228.343157,14.62
"157","5","1","1","1","1","0","0","0","0","1","1","0",488.330258,7.493988095,10390,66.20017361,1.034975198,2.946336,0.005234409,5.894518,3.9
"175","5","1","1","1","1","0","0","0","0","1","1","0",944.316092,7.493988095,11267,71.78800347,1.122335473,2.22939598,0.005676236,4.250486844,0.6
"563","4","0","0","1","0","0","0","0","0","0","1","0",31261.54063,7.493988095,787675,3377.138317,13.05633591,29.69952525,5.611930007,2293.494854,20.1
"438","5","1","1","1","1","0","0","0","0","1","0","0",29041.79433,7.493988095,693583,4419.183351,69.08962493,41.83293524,5.303039337,127.747593,21.11
"423","4","1","1","1","1","0","0","0","0","1","1","0",1105.683933,7.493988095,10975,69.92751736,1.093248585,0.661948843,0.083913326,4.340423,11.2
"58","5","1","1","1","1","0","0","0","0","1","1","0",1082.636291,7.50325,46765,297.9644965,4.658384519,2.820595684,0.357558698,11.104057,72.706
"493","5","1","1","1","1","0","0","0","0","1","1","0",1970.604588,7.977333333,119274,176.2375502,2.648344142,4.536403125,0.911952447,42.445958,26.4241
"172","5","1","1","1","1","0","0","0","0","1","1","0",428.292829,7.493988095,11381,72.51435764,1.133691312,3.9319,0.001088,4.963511,1.66
"573","4","0","0","1","0","0","0","0","0","0","0","0",57.6424,7.493988095,441.2965,2.811732908,0.043958704,0.026616465,0.003374092,0.880080367,0.019
"550","4","1","1","1","1","0","0","0","0","1","1","1",960.717974,7.390013452,11504,140.949477,0.641337979,2.417743,0.000209,18.475253,46.945
"82","5","0","0","1","0","0","0","0","0","0","0","0",883.5919,7.388421053,36910,235.1730903,3.676702076,1.443806689,0.00166272,37.5496,40.16
"238","5","1","1","1","1","0","0","0","0","1","0","0",6849.93713,7.493988095,29229,186.2333854,4.470009,5.95,0.06,80.407281,16.109
"680","5","0","0","1","1","0","0","0","0","0","1","0",2727.5,7.644574774,49189.054,353.923,64.125,2.966800672,0.376092679,30.554,29.602
"471","2","1","1","1","1","0","0","0","0","1","1","1",97.76037227,7.451333333,4050,25.8046875,0.3039444,0.244272694,0.030965738,11.02379451,7.26
"331","5","1","1","1","1","0","0","0","0","1","1","1",646.428273,7.867407407,19706,81.26316741,2.127285,0.196579,0.401371444,12.704389,60
"586","5","1","1","1","1","0","0","0","0","1","0","0",988.604,7.399354839,10806,68.85072917,1.076414051,0.651755735,0.0243,102.2579,3.114
